Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2020-12-22,LAL,LAC,30:53,18,2,7,True
2020-12-25,LAL,DAL,30:17,28,5,8,True
2020-12-27,LAL,MIN,N/A,N/A,N/A,N/A,False
2020-12-28,LAL,POR,37:49,13,5,10,True
2020-12-30,LAL,SAS,31:37,20,3,8,True
2021-01-01,LAL,SAS,35:03,34,5,11,True
2021-01-03,LAL,MEM,32:12,17,1,9,True
2021-01-05,LAL,MEM,34:24,26,4,10,True
2021-01-07,LAL,SAS,34:20,23,3,10,True
2021-01-08,LAL,CHI,N/A,N/A,N/A,N/A,False
2021-01-10,LAL,HOU,29:56,27,1,4,True
2021-01-12,LAL,HOU,28:53,19,2,10,True
2021-01-13,LAL,OKC,24:37,18,1,7,True
2021-01-15,LAL,NOP,33:06,17,5,6,True
2021-01-18,LAL,GSW,37:02,17,7,17,True
2021-01-21,LAL,MIL,37:48,18,6,9,True
2021-01-23,LAL,CHI,28:21,37,3,6,True
2021-01-25,LAL,CLE,35:38,17,4,10,True
2021-01-27,LAL,PHI,34:34,23,2,8,True
2021-01-28,LAL,DET,N/A,N/A,N/A,N/A,False
2021-01-30,LAL,BOS,35:48,27,2,14,True
2021-02-01,LAL,ATL,35:54,25,2,2,True
2021-02-04,LAL,DEN,33:14,13,2,9,True
2021-02-06,LAL,DET,44:31,30,3,5,True
2021-02-08,LAL,OKC,N/A,N/A,N/A,N/A,False
2021-02-10,LAL,OKC,N/A,N/A,N/A,N/A,False
2021-02-12,LAL,MEM,34:50,35,1,9,True
2021-02-14,LAL,DEN,14:14,15,1,4,True
2021-02-16,LAL,MIN,N/A,N/A,N/A,N/A,False
2021-02-18,LAL,BRK,N/A,N/A,N/A,N/A,False
2021-02-20,LAL,MIA,N/A,N/A,N/A,N/A,False
2021-02-22,LAL,WAS,N/A,N/A,N/A,N/A,False
2021-02-24,LAL,UTA,N/A,N/A,N/A,N/A,False
2021-02-26,LAL,POR,N/A,N/A,N/A,N/A,False
2021-02-28,LAL,GSW,N/A,N/A,N/A,N/A,False
2021-03-02,LAL,PHO,N/A,N/A,N/A,N/A,False
2021-03-03,LAL,SAC,N/A,N/A,N/A,N/A,False
2021-03-12,LAL,IND,N/A,N/A,N/A,N/A,False
2021-03-15,LAL,GSW,N/A,N/A,N/A,N/A,False
2021-03-16,LAL,MIN,N/A,N/A,N/A,N/A,False
2021-03-18,LAL,CHO,N/A,N/A,N/A,N/A,False
2021-03-20,LAL,ATL,N/A,N/A,N/A,N/A,False
2021-03-21,LAL,PHO,N/A,N/A,N/A,N/A,False
2021-03-23,LAL,NOP,N/A,N/A,N/A,N/A,False
2021-03-25,LAL,PHI,N/A,N/A,N/A,N/A,False
2021-03-26,LAL,CLE,N/A,N/A,N/A,N/A,False
2021-03-28,LAL,ORL,N/A,N/A,N/A,N/A,False
2021-03-31,LAL,MIL,N/A,N/A,N/A,N/A,False
2021-04-02,LAL,SAC,N/A,N/A,N/A,N/A,False
2021-04-04,LAL,LAC,N/A,N/A,N/A,N/A,False
2021-04-06,LAL,TOR,N/A,N/A,N/A,N/A,False
2021-04-08,LAL,MIA,N/A,N/A,N/A,N/A,False
2021-04-10,LAL,BRK,N/A,N/A,N/A,N/A,False
2021-04-12,LAL,NYK,N/A,N/A,N/A,N/A,False
2021-04-13,LAL,CHO,N/A,N/A,N/A,N/A,False
2021-04-15,LAL,BOS,N/A,N/A,N/A,N/A,False
2021-04-17,LAL,UTA,N/A,N/A,N/A,N/A,False
2021-04-19,LAL,UTA,N/A,N/A,N/A,N/A,False
2021-04-22,LAL,DAL,16:40,4,1,4,True
2021-04-24,LAL,DAL,28:19,17,3,3,True
2021-04-26,LAL,ORL,31:22,18,3,8,True
2021-04-28,LAL,WAS,31:04,26,2,5,True
2021-04-30,LAL,SAC,34:11,22,3,11,True
2021-05-02,LAL,TOR,33:27,12,7,9,True
2021-05-03,LAL,DEN,33:06,25,1,7,True
2021-05-06,LAL,LAC,9:10,4,0,1,True
2021-05-07,LAL,POR,39:04,36,5,12,True
2021-05-09,LAL,PHO,40:46,42,5,12,True
2021-05-11,LAL,NYK,43:27,20,4,6,True
2021-05-12,LAL,HOU,N/A,N/A,N/A,N/A,False
2021-05-15,LAL,IND,35:50,28,5,10,True
2021-05-16,LAL,NOP,30:17,14,1,5,True
