Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2018-10-17,MIL,CHO,22:04,8,1,2,False
2018-10-19,MIL,IND,20:14,8,0,2,False
2018-10-22,MIL,NYK,19:44,1,1,3,False
2018-10-24,MIL,PHI,19:34,5,2,6,False
2018-10-26,MIL,MIN,18:33,9,5,4,False
2018-10-27,MIL,ORL,17:56,15,0,3,False
2018-10-29,MIL,TOR,22:47,12,2,8,False
2018-11-01,MIL,BOS,24:24,8,2,5,False
2018-11-04,MIL,SAC,16:33,5,3,3,False
2018-11-06,MIL,POR,23:27,6,0,1,False
2018-11-08,MIL,GSW,14:00,4,3,3,False
2018-11-10,MIL,LAC,15:04,4,0,2,False
2018-11-11,MIL,DEN,12:54,2,2,1,False
2018-11-14,MIL,MEM,6:24,3,0,0,False
2018-11-16,MIL,CHI,N/A,N/A,N/A,N/A,False
2018-11-19,MIL,DEN,N/A,N/A,N/A,N/A,False
2018-11-21,MIL,POR,N/A,N/A,N/A,N/A,False
2018-11-23,MIL,PHO,N/A,N/A,N/A,N/A,False
2018-11-24,MIL,SAS,N/A,N/A,N/A,N/A,False
2018-11-26,MIL,CHO,10:51,8,1,2,False
2018-11-28,MIL,CHI,13:31,0,1,1,False
2018-12-01,MIL,NYK,12:53,0,1,0,False
2018-12-05,MIL,DET,16:44,3,1,2,False
2018-12-07,MIL,GSW,N/A,N/A,N/A,N/A,False
2018-12-09,MIL,TOR,N/A,N/A,N/A,N/A,False
2018-12-10,MIL,CLE,13:19,3,1,4,False
2018-12-12,MIL,IND,N/A,N/A,N/A,N/A,False
2018-12-14,MIL,CLE,23:19,6,0,3,False
2018-12-17,MIL,DET,7:31,0,0,1,False
2018-12-19,MIL,NOP,N/A,N/A,N/A,N/A,False
2018-12-21,MIL,BOS,N/A,N/A,N/A,N/A,False
2018-12-22,MIL,MIA,N/A,N/A,N/A,N/A,False
2018-12-25,MIL,NYK,2:42,0,0,0,False
2018-12-27,MIL,NYK,N/A,N/A,N/A,N/A,False
2018-12-29,MIL,BRK,N/A,N/A,N/A,N/A,False
2019-01-01,MIL,DET,3:36,0,1,0,False
2019-01-04,MIL,ATL,N/A,N/A,N/A,N/A,False
2019-01-05,MIL,TOR,N/A,N/A,N/A,N/A,False
2019-01-07,MIL,UTA,N/A,N/A,N/A,N/A,False
2019-01-09,MIL,HOU,N/A,N/A,N/A,N/A,False
2019-01-11,MIL,WAS,N/A,N/A,N/A,N/A,False
2019-01-13,MIL,ATL,N/A,N/A,N/A,N/A,False
2019-01-15,MIL,MIA,N/A,N/A,N/A,N/A,False
2019-01-16,MIL,MEM,N/A,N/A,N/A,N/A,False
2019-01-19,MIL,ORL,N/A,N/A,N/A,N/A,False
2019-01-21,MIL,DAL,N/A,N/A,N/A,N/A,False
2019-01-25,MIL,CHO,N/A,N/A,N/A,N/A,False
2019-01-27,MIL,OKC,N/A,N/A,N/A,N/A,False
2019-01-29,MIL,DET,N/A,N/A,N/A,N/A,False
2019-01-31,MIL,TOR,N/A,N/A,N/A,N/A,False
2019-02-02,MIL,WAS,N/A,N/A,N/A,N/A,False
2019-02-04,MIL,BRK,N/A,N/A,N/A,N/A,False
2019-02-06,MIL,WAS,N/A,N/A,N/A,N/A,False
2019-02-08,MIL,DAL,N/A,N/A,N/A,N/A,False
2019-02-09,MIL,ORL,N/A,N/A,N/A,N/A,False
2019-02-11,MIL,CHI,N/A,N/A,N/A,N/A,False
2019-02-13,MIL,IND,N/A,N/A,N/A,N/A,False
2019-02-21,MIL,BOS,N/A,N/A,N/A,N/A,False
2019-02-23,MIL,MIN,N/A,N/A,N/A,N/A,False
2019-02-25,MIL,CHI,N/A,N/A,N/A,N/A,False
2019-02-27,MIL,SAC,N/A,N/A,N/A,N/A,False
2019-03-01,MIL,LAL,N/A,N/A,N/A,N/A,False
2019-03-02,MIL,UTA,N/A,N/A,N/A,N/A,False
2019-03-04,MIL,PHO,N/A,N/A,N/A,N/A,False
2019-03-07,MIL,IND,8:38,5,1,2,False
2019-03-09,MIL,CHO,17:48,11,1,4,False
2019-03-10,MIL,SAS,13:26,2,2,1,False
2019-03-12,MIL,NOP,13:19,3,0,2,False
2019-03-15,MIL,MIA,N/A,N/A,N/A,N/A,False
2019-03-17,MIL,PHI,N/A,N/A,N/A,N/A,False
2019-03-19,MIL,LAL,N/A,N/A,N/A,N/A,False
2019-03-20,MIL,CLE,N/A,N/A,N/A,N/A,False
2019-03-22,MIL,MIA,N/A,N/A,N/A,N/A,False
2019-03-24,MIL,CLE,N/A,N/A,N/A,N/A,False
2019-03-26,MIL,HOU,N/A,N/A,N/A,N/A,False
2019-03-28,MIL,LAC,N/A,N/A,N/A,N/A,False
2019-03-31,MIL,ATL,N/A,N/A,N/A,N/A,False
2019-04-01,MIL,BRK,N/A,N/A,N/A,N/A,False
2019-04-04,MIL,PHI,N/A,N/A,N/A,N/A,False
2019-04-06,MIL,BRK,N/A,N/A,N/A,N/A,False
2019-04-07,MIL,ATL,N/A,N/A,N/A,N/A,False
2019-04-10,MIL,OKC,N/A,N/A,N/A,N/A,False
