Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2018-10-17,DAL,PHO,31:47,10,4,8,True
2018-10-20,DAL,MIN,36:14,26,3,6,True
2018-10-22,DAL,CHI,35:48,19,6,3,True
2018-10-24,DAL,ATL,34:11,21,2,9,True
2018-10-26,DAL,TOR,35:09,22,4,5,True
2018-10-28,DAL,UTA,36:53,14,5,6,True
2018-10-29,DAL,SAS,39:55,31,4,8,True
2018-10-31,DAL,LAL,28:08,14,7,5,True
2018-11-02,DAL,NYK,34:58,18,6,9,True
2018-11-06,DAL,WAS,33:16,23,3,7,True
2018-11-07,DAL,UTA,35:12,24,2,6,True
2018-11-10,DAL,OKC,31:22,22,8,6,True
2018-11-12,DAL,CHI,31:47,11,3,6,True
2018-11-14,DAL,UTA,25:09,13,2,6,True
2018-11-17,DAL,GSW,35:47,24,4,9,True
2018-11-19,DAL,MEM,36:32,15,3,10,True
2018-11-21,DAL,BRK,33:52,21,4,9,True
2018-11-24,DAL,BOS,30:52,15,8,0,True
2018-11-28,DAL,HOU,24:17,20,2,6,True
2018-11-30,DAL,LAL,31:43,6,5,6,True
2018-12-02,DAL,LAC,N/A,N/A,N/A,N/A,False
2018-12-04,DAL,POR,31:43,21,3,9,True
2018-12-05,DAL,NOP,22:00,8,6,4,True
2018-12-08,DAL,HOU,32:00,21,1,7,True
2018-12-10,DAL,ORL,25:36,7,9,11,True
2018-12-12,DAL,ATL,34:46,24,6,10,True
2018-12-13,DAL,PHO,31:14,13,6,5,True
2018-12-16,DAL,SAC,35:02,28,9,6,True
2018-12-18,DAL,DEN,34:30,23,12,6,True
2018-12-20,DAL,LAC,31:00,32,5,4,True
2018-12-22,DAL,GSW,29:40,19,5,3,True
2018-12-23,DAL,POR,35:26,23,6,11,True
2018-12-26,DAL,NOP,31:21,21,10,9,True
2018-12-28,DAL,NOP,33:33,34,3,2,True
2018-12-30,DAL,OKC,33:48,25,7,3,True
2018-12-31,DAL,OKC,22:32,17,3,6,True
2019-01-02,DAL,CHO,26:18,18,4,10,True
2019-01-04,DAL,BOS,28:55,19,4,9,True
2019-01-05,DAL,PHI,26:18,14,4,9,True
2019-01-07,DAL,LAL,34:52,27,2,8,True
2019-01-09,DAL,PHO,35:53,30,5,5,True
2019-01-11,DAL,MIN,34:55,29,12,8,True
2019-01-13,DAL,GSW,31:57,26,5,6,True
2019-01-16,DAL,SAS,35:48,25,8,8,True
2019-01-19,DAL,IND,24:29,8,6,5,True
2019-01-21,DAL,MIL,32:55,18,10,11,True
2019-01-22,DAL,LAC,32:18,17,6,7,True
2019-01-25,DAL,DET,35:04,32,8,8,True
2019-01-27,DAL,TOR,35:53,35,10,12,True
2019-01-30,DAL,NYK,28:40,16,5,8,True
2019-01-31,DAL,DET,N/A,N/A,N/A,N/A,False
2019-02-02,DAL,CLE,32:44,35,6,11,True
2019-02-06,DAL,CHO,34:40,19,11,10,True
2019-02-08,DAL,MIL,26:42,20,2,3,True
2019-02-10,DAL,POR,37:30,28,6,9,True
2019-02-11,DAL,HOU,36:12,21,8,10,True
2019-02-13,DAL,MIA,33:21,18,9,12,True
2019-02-22,DAL,DEN,N/A,N/A,N/A,N/A,False
2019-02-23,DAL,UTA,N/A,N/A,N/A,N/A,False
2019-02-25,DAL,LAC,32:40,28,10,10,True
2019-02-27,DAL,IND,31:43,26,7,10,True
2019-03-02,DAL,MEM,26:14,22,2,4,True
2019-03-04,DAL,BRK,28:37,16,1,6,True
2019-03-06,DAL,WAS,35:47,31,7,11,True
2019-03-08,DAL,ORL,32:38,24,5,8,True
2019-03-10,DAL,HOU,37:16,19,9,15,True
2019-03-12,DAL,SAS,33:42,12,7,6,True
2019-03-14,DAL,DEN,35:04,24,9,11,True
2019-03-16,DAL,CLE,N/A,N/A,N/A,N/A,False
2019-03-18,DAL,NOP,38:40,29,10,13,True
2019-03-20,DAL,POR,28:50,24,6,5,True
2019-03-21,DAL,SAC,26:02,13,3,10,True
2019-03-23,DAL,GSW,27:21,23,10,11,True
2019-03-26,DAL,SAC,36:09,28,12,12,True
2019-03-28,DAL,MIA,30:42,19,7,8,True
2019-03-31,DAL,OKC,N/A,N/A,N/A,N/A,False
2019-04-01,DAL,PHI,N/A,N/A,N/A,N/A,False
2019-04-03,DAL,MIN,31:45,27,6,12,True
2019-04-05,DAL,MEM,N/A,N/A,N/A,N/A,False
2019-04-07,DAL,MEM,N/A,N/A,N/A,N/A,False
2019-04-09,DAL,PHO,32:11,21,11,16,True
2019-04-10,DAL,SAS,N/A,N/A,N/A,N/A,False
