Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2019-10-23,CHI,CHO,23:50,11,2,2,False
2019-10-25,CHI,MEM,26:03,6,4,2,False
2019-10-26,CHI,TOR,18:50,1,1,5,False
2019-10-28,CHI,NYK,17:46,3,1,1,False
2019-10-30,CHI,CLE,20:45,8,4,1,False
2019-11-01,CHI,DET,18:59,2,3,4,False
2019-11-03,CHI,IND,19:02,2,6,2,False
2019-11-05,CHI,LAL,17:16,9,2,2,False
2019-11-06,CHI,ATL,20:10,13,1,3,False
2019-11-09,CHI,HOU,21:41,7,4,3,False
2019-11-12,CHI,NYK,19:15,13,2,5,False
2019-11-14,CHI,MIL,21:42,5,2,3,False
2019-11-16,CHI,BRK,16:16,7,2,5,False
2019-11-18,CHI,MIL,25:03,8,9,6,False
2019-11-20,CHI,DET,21:49,6,5,3,False
2019-11-22,CHI,MIA,22:05,8,5,3,False
2019-11-23,CHI,CHO,20:27,2,2,1,False
2019-11-25,CHI,POR,10:52,4,1,0,False
2019-11-27,CHI,GSW,18:42,0,3,3,False
2019-11-29,CHI,POR,29:26,9,2,7,True
2019-12-02,CHI,SAC,30:12,6,4,3,True
2019-12-04,CHI,MEM,24:30,10,4,4,True
2019-12-06,CHI,GSW,28:32,9,1,4,True
2019-12-08,CHI,MIA,33:34,16,2,5,True
2019-12-09,CHI,TOR,15:26,3,1,3,True
2019-12-11,CHI,ATL,22:54,9,2,3,True
2019-12-13,CHI,CHO,23:39,3,3,3,True
2019-12-14,CHI,LAC,28:56,9,4,9,True
2019-12-16,CHI,OKC,30:29,5,5,3,True
2019-12-18,CHI,WAS,34:43,15,5,5,True
2019-12-21,CHI,DET,34:23,9,4,3,True
2019-12-23,CHI,ORL,31:33,8,6,4,True
2019-12-28,CHI,ATL,30:16,4,4,2,True
2019-12-30,CHI,MIL,19:08,4,2,2,True
2020-01-02,CHI,UTA,30:43,5,4,8,True
2020-01-04,CHI,BOS,40:26,13,7,4,True
2020-01-06,CHI,DAL,23:09,6,2,2,True
2020-01-08,CHI,NOP,30:32,15,7,4,True
2020-01-10,CHI,IND,29:24,5,2,4,True
2020-01-11,CHI,DET,32:58,9,2,6,True
2020-01-13,CHI,BOS,30:01,9,1,5,True
2020-01-15,CHI,WAS,29:41,2,7,2,True
2020-01-17,CHI,PHI,15:19,0,2,2,True
2020-01-18,CHI,CLE,32:44,10,4,3,True
2020-01-20,CHI,MIL,31:58,15,2,5,True
2020-01-22,CHI,MIN,31:39,14,4,6,True
2020-01-24,CHI,SAC,27:04,10,6,6,True
2020-01-25,CHI,CLE,32:42,10,4,5,True
2020-01-27,CHI,SAS,35:26,10,8,6,True
2020-01-29,CHI,IND,16:21,6,3,4,True
2020-01-31,CHI,BRK,0:13,0,0,0,True
2020-02-02,CHI,TOR,N/A,N/A,N/A,N/A,False
2020-02-06,CHI,NOP,N/A,N/A,N/A,N/A,False
2020-02-09,CHI,PHI,N/A,N/A,N/A,N/A,False
2020-02-11,CHI,WAS,N/A,N/A,N/A,N/A,False
2020-02-20,CHI,CHO,N/A,N/A,N/A,N/A,False
2020-02-22,CHI,PHO,N/A,N/A,N/A,N/A,False
2020-02-23,CHI,WAS,N/A,N/A,N/A,N/A,False
2020-02-25,CHI,OKC,N/A,N/A,N/A,N/A,False
2020-02-29,CHI,NYK,N/A,N/A,N/A,N/A,False
2020-03-02,CHI,DAL,N/A,N/A,N/A,N/A,False
2020-03-04,CHI,MIN,N/A,N/A,N/A,N/A,False
2020-03-06,CHI,IND,N/A,N/A,N/A,N/A,False
2020-03-08,CHI,BRK,N/A,N/A,N/A,N/A,False
2020-03-10,CHI,CLE,N/A,N/A,N/A,N/A,False
