Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2023-10-25,DET,MIA,31:49,17,4,14,True
2023-10-27,DET,CHO,34:51,14,3,17,True
2023-10-28,DET,CHI,33:13,23,5,15,True
2023-10-30,DET,OKC,23:19,8,1,7,True
2023-11-01,DET,POR,N/A,N/A,N/A,N/A,False
2023-11-02,DET,NOP,25:04,12,1,5,True
2023-11-05,DET,PHO,31:05,12,3,11,True
2023-11-06,DET,GSW,N/A,N/A,N/A,N/A,False
2023-11-08,DET,MIL,28:27,11,5,12,True
2023-11-10,DET,PHI,22:42,4,3,4,True
2023-11-12,DET,CHI,N/A,N/A,N/A,N/A,False
2023-11-14,DET,ATL,N/A,N/A,N/A,N/A,False
2023-11-17,DET,CLE,N/A,N/A,N/A,N/A,False
2023-11-19,DET,TOR,N/A,N/A,N/A,N/A,False
2023-11-20,DET,DEN,N/A,N/A,N/A,N/A,False
2023-11-24,DET,IND,28:58,13,4,13,False
2023-11-27,DET,WAS,33:23,12,3,14,True
2023-11-29,DET,LAL,17:30,6,0,7,True
2023-11-30,DET,NYK,33:32,10,2,12,True
2023-12-02,DET,CLE,29:48,17,1,11,True
2023-12-06,DET,MEM,30:08,17,0,11,True
2023-12-08,DET,ORL,N/A,N/A,N/A,N/A,False
2023-12-11,DET,IND,N/A,N/A,N/A,N/A,False
2023-12-13,DET,PHI,N/A,N/A,N/A,N/A,False
2023-12-15,DET,PHI,N/A,N/A,N/A,N/A,False
2023-12-16,DET,MIL,N/A,N/A,N/A,N/A,False
2023-12-18,DET,ATL,N/A,N/A,N/A,N/A,False
2023-12-21,DET,UTA,N/A,N/A,N/A,N/A,False
2023-12-23,DET,BRK,N/A,N/A,N/A,N/A,False
2023-12-26,DET,BRK,33:21,12,4,15,True
2023-12-28,DET,BOS,39:39,15,2,14,True
2023-12-30,DET,TOR,34:14,18,2,17,True
2024-01-01,DET,HOU,22:20,12,1,14,True
2024-01-03,DET,UTA,36:11,17,3,10,True
2024-01-05,DET,GSW,32:46,13,2,12,True
2024-01-07,DET,DEN,29:59,20,4,5,True
2024-01-09,DET,SAC,23:58,16,3,10,True
2024-01-10,DET,SAS,30:19,21,2,12,True
2024-01-12,DET,HOU,31:32,15,3,8,True
2024-01-15,DET,WAS,26:00,20,4,19,True
2024-01-17,DET,MIN,30:57,16,3,11,True
2024-01-20,DET,MIL,30:12,8,1,9,True
2024-01-22,DET,MIL,32:47,12,1,12,True
2024-01-24,DET,CHO,21:55,14,2,8,True
2024-01-27,DET,WAS,36:03,10,3,18,True
2024-01-28,DET,OKC,30:36,22,6,21,True
2024-01-31,DET,CLE,30:24,10,0,9,True
2024-02-02,DET,LAC,31:10,11,2,13,True
2024-02-04,DET,ORL,26:53,15,2,5,True
2024-02-07,DET,SAC,37:13,20,6,15,True
2024-02-08,DET,POR,37:27,27,1,22,True
2024-02-10,DET,LAC,35:26,10,1,18,True
2024-02-13,DET,LAL,23:18,8,0,8,True
2024-02-14,DET,PHO,23:29,7,5,9,True
2024-02-22,DET,IND,30:09,15,2,13,True
2024-02-24,DET,ORL,32:50,16,3,11,True
2024-02-26,DET,NYK,31:20,11,4,16,True
2024-02-27,DET,CHI,31:18,14,5,10,True
2024-03-01,DET,CLE,30:52,14,2,10,True
2024-03-03,DET,ORL,24:34,11,2,4,True
2024-03-05,DET,MIA,31:55,14,3,10,True
2024-03-07,DET,BRK,29:51,12,4,14,True
2024-03-09,DET,DAL,15:46,6,3,8,True
2024-03-11,DET,CHO,30:19,20,1,10,True
2024-03-13,DET,TOR,28:18,24,5,23,True
2024-03-15,DET,MIA,33:53,15,1,17,True
2024-03-17,DET,MIA,29:29,11,1,10,True
2024-03-18,DET,BOS,21:55,8,0,9,True
2024-03-20,DET,IND,27:23,11,1,12,True
2024-03-22,DET,BOS,N/A,N/A,N/A,N/A,False
2024-03-24,DET,NOP,N/A,N/A,N/A,N/A,False
2024-03-25,DET,NYK,N/A,N/A,N/A,N/A,False
2024-03-27,DET,MIN,25:17,11,4,11,True
2024-03-29,DET,WAS,34:41,20,1,17,True
2024-04-01,DET,MEM,5:05,0,1,1,True
2024-04-03,DET,ATL,27:51,11,1,4,True
2024-04-05,DET,MEM,24:23,17,0,10,True
2024-04-06,DET,BRK,N/A,N/A,N/A,N/A,False
2024-04-09,DET,PHI,27:32,15,2,11,True
2024-04-11,DET,CHI,30:48,20,3,11,True
2024-04-12,DET,DAL,N/A,N/A,N/A,N/A,False
2024-04-14,DET,SAS,N/A,N/A,N/A,N/A,False
