Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2023-10-25,MIN,TOR,38:18,26,1,14,True
2023-10-28,MIN,MIA,33:22,19,7,2,True
2023-10-30,MIN,ATL,37:47,31,7,5,True
2023-11-01,MIN,DEN,31:50,24,1,2,True
2023-11-04,MIN,UTA,35:44,31,6,8,True
2023-11-06,MIN,BOS,38:08,38,7,9,True
2023-11-08,MIN,NOP,33:04,26,8,3,True
2023-11-10,MIN,SAS,37:07,28,5,7,True
2023-11-12,MIN,GSW,37:46,33,7,6,True
2023-11-14,MIN,GSW,36:18,20,4,4,True
2023-11-15,MIN,PHO,30:31,13,4,4,True
2023-11-18,MIN,NOP,30:08,23,4,3,True
2023-11-20,MIN,NYK,39:08,23,5,10,True
2023-11-22,MIN,PHI,35:48,31,6,6,True
2023-11-24,MIN,SAC,39:32,35,5,7,True
2023-11-26,MIN,MEM,33:59,24,7,5,True
2023-11-28,MIN,OKC,28:01,21,1,5,True
2023-11-30,MIN,UTA,N/A,N/A,N/A,N/A,False
2023-12-02,MIN,CHO,N/A,N/A,N/A,N/A,False
2023-12-06,MIN,SAS,36:53,17,6,7,True
2023-12-08,MIN,MEM,3:43,0,1,0,True
2023-12-11,MIN,NOP,N/A,N/A,N/A,N/A,False
2023-12-14,MIN,DAL,34:34,9,11,2,True
2023-12-16,MIN,IND,33:38,37,4,2,True
2023-12-18,MIN,MIA,39:59,32,5,8,True
2023-12-20,MIN,PHI,36:16,27,5,7,True
2023-12-21,MIN,LAL,38:18,27,5,7,True
2023-12-23,MIN,SAC,39:05,34,10,5,True
2023-12-26,MIN,OKC,34:06,25,6,7,True
2023-12-28,MIN,DAL,37:52,44,4,3,True
2023-12-30,MIN,LAL,38:09,31,3,3,True
2024-01-01,MIN,NYK,37:31,35,2,4,True
2024-01-03,MIN,NOP,37:04,35,5,4,True
2024-01-05,MIN,HOU,32:33,24,5,3,True
2024-01-07,MIN,DAL,36:55,36,3,10,True
2024-01-09,MIN,ORL,25:37,6,3,4,True
2024-01-10,MIN,BOS,45:43,29,3,6,True
2024-01-12,MIN,POR,27:18,9,6,3,True
2024-01-14,MIN,LAC,38:13,33,6,9,True
2024-01-17,MIN,DET,33:29,27,8,5,True
2024-01-18,MIN,MEM,34:27,28,5,5,True
2024-01-20,MIN,OKC,38:00,19,5,5,True
2024-01-22,MIN,CHO,36:38,9,11,5,True
2024-01-24,MIN,WAS,34:02,38,5,3,True
2024-01-25,MIN,BRK,35:41,24,3,1,True
2024-01-27,MIN,SAS,38:24,32,12,6,True
2024-01-29,MIN,OKC,40:22,27,4,4,True
2024-01-31,MIN,DAL,29:56,9,5,5,True
2024-02-02,MIN,ORL,35:28,22,5,1,True
2024-02-04,MIN,HOU,33:30,32,1,6,True
2024-02-06,MIN,CHI,43:33,38,5,12,True
2024-02-08,MIN,MIL,35:39,26,9,3,True
2024-02-12,MIN,LAC,32:24,23,8,7,True
2024-02-13,MIN,POR,34:18,41,2,4,True
2024-02-15,MIN,POR,32:37,34,7,6,True
2024-02-23,MIN,MIL,37:51,28,5,9,True
2024-02-24,MIN,BRK,37:50,29,3,8,True
2024-02-27,MIN,SAS,33:05,34,5,5,True
2024-02-28,MIN,MEM,39:32,34,4,2,True
2024-03-01,MIN,SAC,18:48,11,2,2,True
2024-03-03,MIN,LAC,36:43,27,2,5,True
2024-03-04,MIN,POR,34:42,13,6,4,False
2024-03-07,MIN,IND,38:36,44,3,6,True
2024-03-08,MIN,CLE,42:22,19,3,5,True
2024-03-10,MIN,LAL,39:53,25,7,7,True
2024-03-12,MIN,LAC,36:30,37,4,8,True
2024-03-16,MIN,UTA,35:12,31,5,10,True
2024-03-18,MIN,UTA,37:51,32,8,7,True
2024-03-19,MIN,DEN,37:40,30,8,8,True
2024-03-22,MIN,CLE,34:43,16,5,13,True
2024-03-24,MIN,GSW,37:33,23,8,6,True
2024-03-27,MIN,DET,29:11,9,5,3,True
2024-03-29,MIN,DEN,39:20,25,5,4,True
2024-03-31,MIN,CHI,36:07,22,5,11,True
2024-04-02,MIN,HOU,36:12,21,3,5,True
2024-04-03,MIN,TOR,30:07,28,6,3,True
2024-04-05,MIN,PHO,32:35,17,3,8,True
2024-04-07,MIN,LAL,34:44,26,8,1,True
2024-04-09,MIN,WAS,37:34,51,7,6,True
2024-04-10,MIN,DEN,34:52,25,4,2,True
2024-04-12,MIN,ATL,27:16,14,4,4,True
2024-04-14,MIN,PHO,35:10,13,4,6,True
