Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2023-10-25,SAC,UTA,1:16,0,0,0,False
2023-10-27,SAC,GSW,N/A,N/A,N/A,N/A,False
2023-10-29,SAC,LAL,0:13,0,0,0,False
2023-11-01,SAC,GSW,N/A,N/A,N/A,N/A,False
2023-11-04,SAC,HOU,1:22,0,0,0,False
2023-11-06,SAC,HOU,12:22,4,2,1,False
2023-11-08,SAC,POR,16:14,0,1,4,False
2023-11-10,SAC,OKC,2:47,0,0,0,False
2023-11-13,SAC,CLE,1:14,0,0,0,False
2023-11-15,SAC,LAL,0:11,0,0,0,False
2023-11-17,SAC,SAS,N/A,N/A,N/A,N/A,False
2023-11-19,SAC,DAL,8:57,0,1,1,False
2023-11-20,SAC,NOP,15:02,3,0,4,False
2023-11-22,SAC,NOP,0:55,0,0,0,False
2023-11-24,SAC,MIN,18:08,10,1,2,False
2023-11-28,SAC,GSW,4:47,0,0,2,False
2023-11-29,SAC,LAC,6:30,0,0,1,False
2023-12-02,SAC,DEN,N/A,N/A,N/A,N/A,False
2023-12-04,SAC,NOP,N/A,N/A,N/A,N/A,False
2023-12-08,SAC,PHO,0:55,0,0,0,False
2023-12-11,SAC,BRK,3:03,0,0,0,False
2023-12-12,SAC,LAC,8:10,7,0,0,False
2023-12-14,SAC,OKC,0:07,0,0,0,False
2023-12-16,SAC,UTA,2:24,0,0,0,False
2023-12-18,SAC,WAS,3:56,3,1,1,False
2023-12-20,SAC,BOS,6:11,7,0,2,False
2023-12-22,SAC,PHO,2:24,0,0,0,False
2023-12-23,SAC,MIN,0:07,0,0,0,False
2023-12-26,SAC,POR,2:01,0,0,0,False
2023-12-29,SAC,ATL,N/A,N/A,N/A,N/A,False
2023-12-31,SAC,MEM,3:46,0,0,0,False
2024-01-02,SAC,CHO,N/A,N/A,N/A,N/A,False
2024-01-03,SAC,ORL,N/A,N/A,N/A,N/A,False
2024-01-05,SAC,TOR,N/A,N/A,N/A,N/A,False
2024-01-07,SAC,NOP,8:08,10,0,2,False
2024-01-09,SAC,DET,1:17,0,1,0,False
2024-01-10,SAC,CHO,N/A,N/A,N/A,N/A,False
2024-01-12,SAC,PHI,5:46,2,0,1,False
2024-01-14,SAC,MIL,N/A,N/A,N/A,N/A,False
2024-01-16,SAC,PHO,N/A,N/A,N/A,N/A,False
2024-01-18,SAC,IND,N/A,N/A,N/A,N/A,False
2024-01-22,SAC,ATL,N/A,N/A,N/A,N/A,False
2024-01-25,SAC,GSW,6:07,0,1,1,False
2024-01-27,SAC,DAL,0:40,0,0,0,False
2024-01-29,SAC,MEM,N/A,N/A,N/A,N/A,False
2024-01-31,SAC,MIA,1:21,0,0,0,False
2024-02-02,SAC,IND,14:36,0,1,4,False
2024-02-03,SAC,CHI,0:06,0,0,0,False
2024-02-05,SAC,CLE,8:48,5,0,0,False
2024-02-07,SAC,DET,N/A,N/A,N/A,N/A,False
2024-02-09,SAC,DEN,5:47,6,0,1,False
2024-02-11,SAC,OKC,N/A,N/A,N/A,N/A,False
2024-02-13,SAC,PHO,2:07,0,0,1,False
2024-02-14,SAC,DEN,N/A,N/A,N/A,N/A,False
2024-02-22,SAC,SAS,0:01,0,0,0,False
2024-02-25,SAC,LAC,1:25,0,0,0,False
2024-02-26,SAC,MIA,N/A,N/A,N/A,N/A,False
2024-02-28,SAC,DEN,10:05,1,0,2,False
2024-03-01,SAC,MIN,N/A,N/A,N/A,N/A,False
2024-03-04,SAC,CHI,N/A,N/A,N/A,N/A,False
2024-03-06,SAC,LAL,N/A,N/A,N/A,N/A,False
2024-03-07,SAC,SAS,N/A,N/A,N/A,N/A,False
2024-03-10,SAC,HOU,N/A,N/A,N/A,N/A,False
2024-03-12,SAC,MIL,3:54,0,0,0,False
2024-03-13,SAC,LAL,0:57,2,0,0,False
2024-03-16,SAC,NYK,0:32,0,0,0,False
2024-03-18,SAC,MEM,N/A,N/A,N/A,N/A,False
2024-03-20,SAC,TOR,12:00,9,1,3,False
2024-03-21,SAC,WAS,9:12,3,1,3,False
2024-03-23,SAC,ORL,N/A,N/A,N/A,N/A,False
2024-03-25,SAC,PHI,2:27,0,0,0,False
2024-03-26,SAC,DAL,5:29,0,0,1,False
2024-03-29,SAC,DAL,11:01,9,0,2,False
2024-03-31,SAC,UTA,10:17,3,0,0,False
2024-04-02,SAC,LAC,1:39,0,0,0,False
2024-04-04,SAC,NYK,1:34,0,2,1,False
2024-04-05,SAC,BOS,10:03,3,0,1,False
2024-04-07,SAC,BRK,3:36,6,1,0,False
2024-04-09,SAC,OKC,N/A,N/A,N/A,N/A,False
2024-04-11,SAC,NOP,1:14,0,0,0,False
2024-04-12,SAC,PHO,N/A,N/A,N/A,N/A,False
2024-04-14,SAC,POR,11:21,0,1,1,False
