Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2020-12-23,CLE,CHO,N/A,N/A,N/A,N/A,False
2020-12-26,CLE,DET,13:09,4,4,3,False
2020-12-27,CLE,PHI,23:05,6,6,4,False
2020-12-29,CLE,NYK,16:13,0,2,1,False
2020-12-31,CLE,IND,28:16,7,0,4,True
2021-01-02,CLE,ATL,34:37,6,1,5,True
2021-01-04,CLE,ORL,0:49,0,0,0,True
2021-01-06,CLE,ORL,N/A,N/A,N/A,N/A,False
2021-01-07,CLE,MEM,N/A,N/A,N/A,N/A,False
2021-01-09,CLE,MIL,N/A,N/A,N/A,N/A,False
2021-01-11,CLE,MEM,N/A,N/A,N/A,N/A,False
2021-01-12,CLE,UTA,N/A,N/A,N/A,N/A,False
2021-01-14,HOU,SAS,N/A,N/A,N/A,N/A,False
2021-01-16,HOU,SAS,N/A,N/A,N/A,N/A,False
2021-01-18,HOU,CHI,N/A,N/A,N/A,N/A,False
2021-01-20,HOU,PHO,N/A,N/A,N/A,N/A,False
2021-01-22,HOU,DET,N/A,N/A,N/A,N/A,False
2021-01-23,HOU,DAL,N/A,N/A,N/A,N/A,False
2021-01-26,HOU,WAS,N/A,N/A,N/A,N/A,False
2021-01-28,HOU,POR,N/A,N/A,N/A,N/A,False
2021-01-30,HOU,NOP,N/A,N/A,N/A,N/A,False
2021-02-01,HOU,OKC,N/A,N/A,N/A,N/A,False
2021-02-03,HOU,OKC,N/A,N/A,N/A,N/A,False
2021-02-04,HOU,MEM,N/A,N/A,N/A,N/A,False
2021-02-06,HOU,SAS,N/A,N/A,N/A,N/A,False
2021-02-08,HOU,CHO,N/A,N/A,N/A,N/A,False
2021-02-09,HOU,NOP,N/A,N/A,N/A,N/A,False
2021-02-11,HOU,MIA,N/A,N/A,N/A,N/A,False
2021-02-13,HOU,NYK,N/A,N/A,N/A,N/A,False
2021-02-15,HOU,WAS,N/A,N/A,N/A,N/A,False
2021-02-17,HOU,PHI,N/A,N/A,N/A,N/A,False
2021-02-22,HOU,CHI,N/A,N/A,N/A,N/A,False
2021-02-24,HOU,CLE,N/A,N/A,N/A,N/A,False
2021-02-26,HOU,TOR,N/A,N/A,N/A,N/A,False
2021-02-28,HOU,MEM,N/A,N/A,N/A,N/A,False
2021-03-01,HOU,CLE,N/A,N/A,N/A,N/A,False
2021-03-03,HOU,BRK,N/A,N/A,N/A,N/A,False
2021-03-11,HOU,SAC,N/A,N/A,N/A,N/A,False
2021-03-12,HOU,UTA,N/A,N/A,N/A,N/A,False
2021-03-14,HOU,BOS,N/A,N/A,N/A,N/A,False
2021-03-16,HOU,ATL,N/A,N/A,N/A,N/A,False
2021-03-17,HOU,GSW,N/A,N/A,N/A,N/A,False
2021-03-19,HOU,DET,N/A,N/A,N/A,N/A,False
2021-03-21,HOU,OKC,N/A,N/A,N/A,N/A,False
2021-03-22,HOU,TOR,N/A,N/A,N/A,N/A,False
2021-03-24,HOU,CHO,N/A,N/A,N/A,N/A,False
2021-03-26,HOU,MIN,N/A,N/A,N/A,N/A,False
2021-03-27,HOU,MIN,N/A,N/A,N/A,N/A,False
2021-03-29,HOU,MEM,N/A,N/A,N/A,N/A,False
2021-03-31,HOU,BRK,N/A,N/A,N/A,N/A,False
2021-04-02,HOU,BOS,N/A,N/A,N/A,N/A,False
2021-04-04,HOU,NOP,N/A,N/A,N/A,N/A,False
2021-04-05,HOU,PHO,N/A,N/A,N/A,N/A,False
2021-04-07,HOU,DAL,N/A,N/A,N/A,N/A,False
2021-04-09,HOU,LAC,N/A,N/A,N/A,N/A,False
2021-04-10,HOU,GSW,N/A,N/A,N/A,N/A,False
2021-04-12,HOU,PHO,N/A,N/A,N/A,N/A,False
2021-04-14,HOU,IND,N/A,N/A,N/A,N/A,False
2021-04-16,HOU,DEN,N/A,N/A,N/A,N/A,False
2021-04-18,HOU,ORL,N/A,N/A,N/A,N/A,False
2021-04-19,HOU,MIA,N/A,N/A,N/A,N/A,False
2021-04-21,HOU,UTA,N/A,N/A,N/A,N/A,False
2021-04-23,HOU,LAC,N/A,N/A,N/A,N/A,False
2021-04-24,HOU,DEN,N/A,N/A,N/A,N/A,False
2021-04-27,HOU,MIN,N/A,N/A,N/A,N/A,False
2021-04-29,HOU,MIL,N/A,N/A,N/A,N/A,False
2021-05-01,HOU,GSW,N/A,N/A,N/A,N/A,False
2021-05-02,HOU,NYK,N/A,N/A,N/A,N/A,False
2021-05-05,HOU,PHI,N/A,N/A,N/A,N/A,False
2021-05-07,HOU,MIL,N/A,N/A,N/A,N/A,False
2021-05-08,HOU,UTA,N/A,N/A,N/A,N/A,False
2021-05-10,HOU,POR,N/A,N/A,N/A,N/A,False
2021-05-12,HOU,LAL,N/A,N/A,N/A,N/A,False
2021-05-14,HOU,LAC,N/A,N/A,N/A,N/A,False
2021-05-16,HOU,ATL,N/A,N/A,N/A,N/A,False
