Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2021-10-20,BOS,NYK,N/A,N/A,N/A,N/A,False
2021-10-22,BOS,TOR,N/A,N/A,N/A,N/A,False
2021-10-24,BOS,HOU,N/A,N/A,N/A,N/A,False
2021-10-25,BOS,CHO,N/A,N/A,N/A,N/A,False
2021-10-27,BOS,WAS,N/A,N/A,N/A,N/A,False
2021-10-30,BOS,WAS,N/A,N/A,N/A,N/A,False
2021-11-01,BOS,CHI,1:02,0,0,0,False
2021-11-03,BOS,ORL,2:29,0,1,0,False
2021-11-04,BOS,MIA,2:31,0,0,0,False
2021-11-06,BOS,DAL,N/A,N/A,N/A,N/A,False
2021-11-10,BOS,TOR,N/A,N/A,N/A,N/A,False
2021-11-12,BOS,MIL,N/A,N/A,N/A,N/A,False
2021-11-13,BOS,CLE,N/A,N/A,N/A,N/A,False
2021-11-15,BOS,CLE,N/A,N/A,N/A,N/A,False
2021-11-17,BOS,ATL,1:32,0,0,0,False
2021-11-19,BOS,LAL,N/A,N/A,N/A,N/A,False
2021-11-20,BOS,OKC,0:40,0,0,0,False
2021-11-22,BOS,HOU,2:14,0,0,1,False
2021-11-24,BOS,BRK,2:39,0,0,0,False
2021-11-26,BOS,SAS,N/A,N/A,N/A,N/A,False
2021-11-28,BOS,TOR,N/A,N/A,N/A,N/A,False
2021-12-01,BOS,PHI,N/A,N/A,N/A,N/A,False
2021-12-03,BOS,UTA,N/A,N/A,N/A,N/A,False
2021-12-04,BOS,POR,4:50,4,0,1,False
2021-12-07,BOS,LAL,N/A,N/A,N/A,N/A,False
2021-12-08,BOS,LAC,N/A,N/A,N/A,N/A,False
2021-12-10,BOS,PHO,N/A,N/A,N/A,N/A,False
2021-12-13,BOS,MIL,N/A,N/A,N/A,N/A,False
2021-12-17,BOS,GSW,N/A,N/A,N/A,N/A,False
2021-12-18,BOS,NYK,N/A,N/A,N/A,N/A,False
2021-12-20,BOS,PHI,7:11,0,0,1,False
2021-12-22,BOS,CLE,1:57,0,0,1,False
2021-12-25,BOS,MIL,N/A,N/A,N/A,N/A,False
2021-12-27,BOS,MIN,N/A,N/A,N/A,N/A,False
2021-12-29,BOS,LAC,N/A,N/A,N/A,N/A,False
2021-12-31,BOS,PHO,N/A,N/A,N/A,N/A,False
2022-01-02,BOS,ORL,3:47,2,0,1,False
2022-01-05,BOS,SAS,N/A,N/A,N/A,N/A,False
2022-01-06,BOS,NYK,N/A,N/A,N/A,N/A,False
2022-01-08,BOS,NYK,1:30,0,0,1,False
2022-01-10,BOS,IND,N/A,N/A,N/A,N/A,False
2022-01-12,BOS,IND,3:06,2,0,1,False
2022-01-14,BOS,PHI,2:43,2,0,1,False
2022-01-15,BOS,CHI,N/A,N/A,N/A,N/A,False
2022-01-17,BOS,NOP,N/A,N/A,N/A,N/A,False
2022-01-19,BOS,CHO,N/A,N/A,N/A,N/A,False
2022-01-21,BOS,POR,N/A,N/A,N/A,N/A,False
2022-01-23,BOS,WAS,N/A,N/A,N/A,N/A,False
2022-01-25,BOS,SAC,N/A,N/A,N/A,N/A,False
2022-01-28,BOS,ATL,2:56,2,0,3,False
2022-01-29,BOS,NOP,2:07,0,0,0,False
2022-01-31,BOS,MIA,2:33,3,1,1,False
2022-02-02,BOS,CHO,N/A,N/A,N/A,N/A,False
2022-02-04,BOS,DET,3:50,0,0,0,False
2022-02-06,BOS,ORL,3:55,0,2,2,False
2022-02-08,BOS,BRK,4:43,4,0,1,False
2022-02-14,HOU,UTA,4:24,0,0,1,False
2022-02-16,HOU,PHO,N/A,N/A,N/A,N/A,False
2022-02-17,HOU,LAC,9:01,10,0,5,False
2022-02-25,HOU,ORL,N/A,N/A,N/A,N/A,False
2022-02-27,HOU,LAC,N/A,N/A,N/A,N/A,False
2022-03-01,HOU,LAC,N/A,N/A,N/A,N/A,False
2022-03-02,HOU,UTA,N/A,N/A,N/A,N/A,False
2022-03-04,HOU,DEN,N/A,N/A,N/A,N/A,False
2022-03-06,HOU,MEM,N/A,N/A,N/A,N/A,False
2022-03-07,HOU,MIA,3:08,4,0,1,False
2022-03-09,HOU,LAL,N/A,N/A,N/A,N/A,False
2022-03-11,HOU,DAL,22:46,16,0,11,False
2022-03-13,HOU,NOP,2:25,0,0,1,False
2022-03-16,HOU,PHO,N/A,N/A,N/A,N/A,False
2022-03-18,HOU,IND,N/A,N/A,N/A,N/A,False
2022-03-20,HOU,MEM,5:47,6,0,3,False
2022-03-21,HOU,WAS,N/A,N/A,N/A,N/A,False
2022-03-23,HOU,DAL,3:18,4,0,1,False
2022-03-25,HOU,POR,2:56,0,0,0,False
2022-03-26,HOU,POR,N/A,N/A,N/A,N/A,False
2022-03-28,HOU,SAS,N/A,N/A,N/A,N/A,False
2022-03-30,HOU,SAC,22:11,17,2,10,False
2022-04-01,HOU,SAC,18:24,12,1,7,False
2022-04-03,HOU,MIN,N/A,N/A,N/A,N/A,False
2022-04-05,HOU,BRK,N/A,N/A,N/A,N/A,False
2022-04-08,HOU,TOR,N/A,N/A,N/A,N/A,False
2022-04-10,HOU,ATL,N/A,N/A,N/A,N/A,False
