Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2024-02-13,OKC,ORL,N/A,N/A,N/A,N/A,False
2024-02-22,OKC,LAC,N/A,N/A,N/A,N/A,False
2024-02-23,OKC,WAS,5:30,0,1,0,False
2024-02-25,OKC,HOU,N/A,N/A,N/A,N/A,False
2024-02-27,OKC,HOU,N/A,N/A,N/A,N/A,False
2024-02-29,OKC,SAS,N/A,N/A,N/A,N/A,False
2024-03-03,OKC,PHO,N/A,N/A,N/A,N/A,False
2024-03-04,OKC,LAL,N/A,N/A,N/A,N/A,False
2024-03-06,OKC,POR,N/A,N/A,N/A,N/A,False
2024-03-08,OKC,MIA,N/A,N/A,N/A,N/A,False
2024-03-10,OKC,MEM,N/A,N/A,N/A,N/A,False
2024-03-12,OKC,IND,N/A,N/A,N/A,N/A,False
2024-03-14,OKC,DAL,N/A,N/A,N/A,N/A,False
2024-03-16,OKC,MEM,N/A,N/A,N/A,N/A,False
2024-03-20,OKC,UTA,N/A,N/A,N/A,N/A,False
2024-03-22,OKC,TOR,N/A,N/A,N/A,N/A,False
2024-03-24,OKC,MIL,N/A,N/A,N/A,N/A,False
2024-03-26,OKC,NOP,N/A,N/A,N/A,N/A,False
2024-03-27,OKC,HOU,N/A,N/A,N/A,N/A,False
2024-03-29,OKC,PHO,N/A,N/A,N/A,N/A,False
2024-03-31,OKC,NYK,N/A,N/A,N/A,N/A,False
2024-04-02,OKC,PHI,N/A,N/A,N/A,N/A,False
2024-04-03,OKC,BOS,N/A,N/A,N/A,N/A,False
2024-04-05,OKC,IND,N/A,N/A,N/A,N/A,False
2024-04-07,OKC,CHO,N/A,N/A,N/A,N/A,False
2024-04-09,OKC,SAC,N/A,N/A,N/A,N/A,False
2024-04-10,OKC,SAS,8:31,3,3,0,False
2024-04-12,OKC,MIL,N/A,N/A,N/A,N/A,False
2024-04-14,OKC,DAL,N/A,N/A,N/A,N/A,False
