Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2022-10-19,TOR,CLE,N/A,N/A,N/A,N/A,False
2022-10-21,TOR,BRK,N/A,N/A,N/A,N/A,False
2022-10-22,TOR,MIA,8:32,6,0,0,False
2022-10-24,TOR,MIA,5:59,3,0,0,False
2022-10-26,TOR,PHI,N/A,N/A,N/A,N/A,False
2022-10-28,TOR,PHI,5:07,0,0,0,False
2022-10-31,TOR,ATL,9:23,4,1,1,False
2022-11-02,TOR,SAS,9:52,8,2,2,False
2022-11-04,TOR,DAL,N/A,N/A,N/A,N/A,False
2022-11-06,TOR,CHI,N/A,N/A,N/A,N/A,False
2022-11-07,TOR,CHI,6:02,4,1,1,False
2022-11-09,TOR,HOU,N/A,N/A,N/A,N/A,False
2022-11-11,TOR,OKC,11:57,12,0,2,False
2022-11-12,TOR,IND,22:48,8,1,2,False
2022-11-14,TOR,DET,15:16,12,4,3,False
2022-11-16,TOR,MIA,N/A,N/A,N/A,N/A,False
2022-11-19,TOR,ATL,28:13,17,3,5,False
2022-11-23,TOR,BRK,30:04,8,3,1,True
2022-11-26,TOR,DAL,6:04,0,1,1,False
2022-11-28,TOR,CLE,1:52,0,0,0,False
2022-11-30,TOR,NOP,2:37,0,2,0,False
2022-12-02,TOR,BRK,N/A,N/A,N/A,N/A,False
2022-12-03,TOR,ORL,6:15,5,0,0,False
2022-12-05,TOR,BOS,N/A,N/A,N/A,N/A,False
2022-12-07,TOR,LAL,4:51,5,0,1,False
2022-12-09,TOR,ORL,N/A,N/A,N/A,N/A,False
2022-12-11,TOR,ORL,N/A,N/A,N/A,N/A,False
2022-12-14,TOR,SAC,N/A,N/A,N/A,N/A,False
2022-12-16,TOR,BRK,28:17,13,1,1,False
2022-12-18,TOR,GSW,37:10,16,2,6,False
2022-12-19,TOR,PHI,18:55,5,3,1,False
2022-12-21,TOR,NYK,25:51,8,2,0,False
2022-12-23,TOR,CLE,22:48,9,3,3,False
2022-12-27,TOR,LAC,25:53,10,0,1,False
2022-12-29,TOR,MEM,30:12,6,5,8,False
2022-12-30,TOR,PHO,18:14,0,2,3,False
2023-01-02,TOR,IND,8:56,0,0,0,False
2023-01-04,TOR,MIL,11:35,0,0,4,False
2023-01-06,TOR,NYK,3:03,0,1,0,False
2023-01-08,TOR,POR,12:47,2,3,0,False
2023-01-10,TOR,CHO,18:10,4,3,2,False
2023-01-12,TOR,CHO,13:30,0,3,0,False
2023-01-14,TOR,ATL,19:17,7,3,2,False
2023-01-16,TOR,NYK,2:34,0,0,0,False
2023-01-17,TOR,MIL,N/A,N/A,N/A,N/A,False
2023-01-19,TOR,MIN,N/A,N/A,N/A,N/A,False
2023-01-21,TOR,BOS,5:26,0,0,1,False
2023-01-22,TOR,NYK,N/A,N/A,N/A,N/A,False
2023-01-25,TOR,SAC,N/A,N/A,N/A,N/A,False
2023-01-27,TOR,GSW,N/A,N/A,N/A,N/A,False
2023-01-28,TOR,POR,10:23,0,0,2,False
2023-01-30,TOR,PHO,7:09,6,1,2,False
2023-02-01,TOR,UTA,6:25,2,2,0,False
2023-02-03,TOR,HOU,15:37,0,2,2,False
2023-02-05,TOR,MEM,17:19,5,5,1,False
2023-02-08,TOR,SAS,10:12,0,1,1,False
2023-02-10,TOR,UTA,6:27,0,1,1,False
2023-02-12,TOR,DET,18:05,5,1,2,False
2023-02-14,TOR,ORL,12:36,10,1,2,False
2023-02-23,TOR,NOP,N/A,N/A,N/A,N/A,False
2023-02-25,TOR,DET,N/A,N/A,N/A,N/A,False
2023-02-26,TOR,CLE,9:09,7,1,1,False
2023-02-28,TOR,CHI,N/A,N/A,N/A,N/A,False
2023-03-02,TOR,WAS,N/A,N/A,N/A,N/A,False
2023-03-04,TOR,WAS,N/A,N/A,N/A,N/A,False
2023-03-06,TOR,DEN,N/A,N/A,N/A,N/A,False
2023-03-08,TOR,LAC,N/A,N/A,N/A,N/A,False
2023-03-10,TOR,LAL,N/A,N/A,N/A,N/A,False
2023-03-14,TOR,DEN,1:21,0,0,0,False
2023-03-16,TOR,OKC,2:52,0,1,0,False
2023-03-18,TOR,MIN,3:01,2,0,3,False
2023-03-19,TOR,MIL,N/A,N/A,N/A,N/A,False
2023-03-22,TOR,IND,17:54,8,0,1,False
2023-03-24,TOR,DET,17:26,5,0,2,False
2023-03-26,TOR,WAS,7:13,0,0,0,False
2023-03-28,TOR,MIA,N/A,N/A,N/A,N/A,False
2023-03-31,TOR,PHI,N/A,N/A,N/A,N/A,False
2023-04-02,TOR,CHO,4:03,0,0,0,False
2023-04-04,TOR,CHO,3:42,0,0,1,False
2023-04-05,TOR,BOS,N/A,N/A,N/A,N/A,False
2023-04-07,TOR,BOS,6:23,4,1,0,False
2023-04-09,TOR,MIL,36:00,20,4,4,True
