Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2018-10-17,ORL,MIA,23:32,13,5,2,True
2018-10-19,ORL,CHO,25:05,12,1,2,True
2018-10-20,ORL,PHI,33:40,31,3,4,True
2018-10-22,ORL,BOS,32:44,14,10,6,True
2018-10-25,ORL,POR,31:23,17,6,3,True
2018-10-27,ORL,MIL,26:57,10,1,0,True
2018-10-30,ORL,SAC,27:57,9,2,2,True
2018-11-02,ORL,LAC,28:05,19,4,3,True
2018-11-04,ORL,SAS,32:46,16,7,1,True
2018-11-05,ORL,CLE,31:58,15,5,1,True
2018-11-07,ORL,DET,31:01,27,3,5,True
2018-11-09,ORL,WAS,36:42,15,6,4,True
2018-11-11,ORL,NYK,19:00,12,4,2,True
2018-11-12,ORL,WAS,29:13,20,5,2,True
2018-11-14,ORL,PHI,27:41,9,0,4,True
2018-11-17,ORL,LAL,33:31,15,4,5,True
2018-11-18,ORL,NYK,29:34,19,6,4,True
2018-11-20,ORL,TOR,34:46,27,4,3,True
2018-11-23,ORL,DEN,31:53,5,5,1,True
2018-11-25,ORL,LAL,27:52,6,2,2,True
2018-11-26,ORL,GSW,31:47,9,2,1,True
2018-11-28,ORL,POR,35:40,17,4,3,True
2018-11-30,ORL,PHO,32:12,7,4,5,True
2018-12-04,ORL,MIA,26:54,13,0,3,True
2018-12-05,ORL,DEN,38:27,26,4,8,True
2018-12-07,ORL,IND,29:03,9,3,0,True
2018-12-10,ORL,DAL,N/A,N/A,N/A,N/A,False
2018-12-13,ORL,CHI,30:18,10,4,3,True
2018-12-15,ORL,UTA,32:59,24,0,7,True
2018-12-19,ORL,SAS,24:40,12,1,2,True
2018-12-21,ORL,CHI,34:23,24,6,3,True
2018-12-23,ORL,MIA,26:43,17,4,6,True
2018-12-26,ORL,PHO,35:03,16,5,4,True
2018-12-28,ORL,TOR,32:41,7,1,3,True
2018-12-30,ORL,DET,29:36,13,3,5,True
2018-12-31,ORL,CHO,25:10,9,4,3,True
2019-01-02,ORL,CHI,30:09,13,7,1,True
2019-01-04,ORL,MIN,29:59,21,4,2,True
2019-01-06,ORL,LAC,30:47,12,2,3,True
2019-01-07,ORL,SAC,25:59,15,1,1,True
2019-01-09,ORL,UTA,36:51,1,0,0,True
2019-01-12,ORL,BOS,38:46,18,5,3,True
2019-01-13,ORL,HOU,36:52,19,2,5,True
2019-01-16,ORL,DET,39:32,18,5,2,True
2019-01-18,ORL,BRK,38:25,16,3,8,True
2019-01-19,ORL,MIL,31:20,11,5,1,True
2019-01-21,ORL,ATL,36:37,29,7,3,True
2019-01-23,ORL,BRK,32:54,9,1,2,True
2019-01-25,ORL,WAS,28:05,2,1,1,True
2019-01-27,ORL,HOU,30:40,18,2,3,True
2019-01-29,ORL,OKC,30:38,17,1,4,True
2019-01-31,ORL,IND,36:01,7,6,1,True
2019-02-02,ORL,BRK,33:24,16,4,3,True
2019-02-05,ORL,OKC,34:34,25,5,5,True
2019-02-07,ORL,MIN,34:28,18,1,2,True
2019-02-09,ORL,MIL,32:02,7,5,5,True
2019-02-10,ORL,ATL,33:41,17,7,3,True
2019-02-12,ORL,NOP,34:42,22,4,6,True
2019-02-14,ORL,CHO,27:17,12,6,3,True
2019-02-22,ORL,CHI,37:35,22,5,3,True
2019-02-24,ORL,TOR,31:13,11,1,3,True
2019-02-26,ORL,NYK,36:59,15,8,5,True
2019-02-28,ORL,GSW,28:30,8,2,2,True
2019-03-02,ORL,IND,35:20,19,8,5,True
2019-03-03,ORL,CLE,35:02,11,1,2,True
2019-03-05,ORL,PHI,34:05,25,2,2,True
2019-03-08,ORL,DAL,32:44,10,4,1,True
2019-03-10,ORL,MEM,13:42,0,1,4,True
2019-03-13,ORL,WAS,31:56,8,4,4,True
2019-03-14,ORL,CLE,29:22,10,3,4,True
2019-03-17,ORL,ATL,29:21,11,4,4,True
2019-03-20,ORL,NOP,28:17,22,3,5,True
2019-03-22,ORL,MEM,39:29,27,6,8,True
2019-03-25,ORL,PHI,31:41,24,7,0,True
2019-03-26,ORL,MIA,32:35,11,3,4,True
2019-03-28,ORL,DET,29:07,13,3,1,True
2019-03-30,ORL,IND,31:49,9,6,3,True
2019-04-01,ORL,TOR,30:18,21,4,4,True
2019-04-03,ORL,NYK,35:13,19,1,4,True
2019-04-05,ORL,ATL,26:46,25,1,4,True
2019-04-07,ORL,BOS,35:52,24,3,5,True
2019-04-10,ORL,CHO,31:43,14,3,2,True
