Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2018-10-17,SAC,UTA,N/A,N/A,N/A,N/A,False
2018-10-19,SAC,NOP,N/A,N/A,N/A,N/A,False
2018-10-21,SAC,OKC,N/A,N/A,N/A,N/A,False
2018-10-23,SAC,DEN,N/A,N/A,N/A,N/A,False
2018-10-24,SAC,MEM,N/A,N/A,N/A,N/A,False
2018-10-26,SAC,WAS,N/A,N/A,N/A,N/A,False
2018-10-29,SAC,MIA,N/A,N/A,N/A,N/A,False
2018-10-30,SAC,ORL,N/A,N/A,N/A,N/A,False
2018-11-01,SAC,ATL,N/A,N/A,N/A,N/A,False
2018-11-04,SAC,MIL,N/A,N/A,N/A,N/A,False
2018-11-07,SAC,TOR,N/A,N/A,N/A,N/A,False
2018-11-09,SAC,MIN,N/A,N/A,N/A,N/A,False
2018-11-10,SAC,LAL,N/A,N/A,N/A,N/A,False
2018-11-12,SAC,SAS,N/A,N/A,N/A,N/A,False
2018-11-16,SAC,MEM,N/A,N/A,N/A,N/A,False
2018-11-17,SAC,HOU,N/A,N/A,N/A,N/A,False
2018-11-19,SAC,OKC,N/A,N/A,N/A,N/A,False
2018-11-21,SAC,UTA,N/A,N/A,N/A,N/A,False
2018-11-24,SAC,GSW,N/A,N/A,N/A,N/A,False
2018-11-25,SAC,UTA,N/A,N/A,N/A,N/A,False
2018-11-29,SAC,LAC,N/A,N/A,N/A,N/A,False
2018-12-01,SAC,IND,N/A,N/A,N/A,N/A,False
2018-12-04,SAC,PHO,N/A,N/A,N/A,N/A,False
2018-12-07,SAC,CLE,N/A,N/A,N/A,N/A,False
2018-12-08,SAC,IND,N/A,N/A,N/A,N/A,False
2018-12-10,SAC,CHI,N/A,N/A,N/A,N/A,False
2018-12-12,SAC,MIN,N/A,N/A,N/A,N/A,False
2018-12-14,SAC,GSW,N/A,N/A,N/A,N/A,False
2018-12-16,SAC,DAL,N/A,N/A,N/A,N/A,False
2018-12-17,SAC,MIN,N/A,N/A,N/A,N/A,False
2018-12-19,SAC,OKC,N/A,N/A,N/A,N/A,False
2018-12-21,SAC,MEM,N/A,N/A,N/A,N/A,False
2018-12-23,SAC,NOP,N/A,N/A,N/A,N/A,False
2018-12-26,SAC,LAC,N/A,N/A,N/A,N/A,False
2018-12-27,SAC,LAL,N/A,N/A,N/A,N/A,False
2018-12-30,SAC,LAL,N/A,N/A,N/A,N/A,False
2019-01-01,SAC,POR,N/A,N/A,N/A,N/A,False
2019-01-03,SAC,DEN,N/A,N/A,N/A,N/A,False
2019-01-05,SAC,GSW,N/A,N/A,N/A,N/A,False
2019-01-07,SAC,ORL,N/A,N/A,N/A,N/A,False
2019-01-08,SAC,PHO,N/A,N/A,N/A,N/A,False
2019-01-10,SAC,DET,N/A,N/A,N/A,N/A,False
2019-01-12,SAC,CHO,N/A,N/A,N/A,N/A,False
2019-01-14,SAC,POR,N/A,N/A,N/A,N/A,False
2019-01-17,SAC,CHO,N/A,N/A,N/A,N/A,False
2019-01-19,SAC,DET,N/A,N/A,N/A,N/A,False
2019-01-21,SAC,BRK,N/A,N/A,N/A,N/A,False
2019-01-22,SAC,TOR,N/A,N/A,N/A,N/A,False
2019-01-25,SAC,MEM,N/A,N/A,N/A,N/A,False
2019-01-27,SAC,LAC,N/A,N/A,N/A,N/A,False
2019-01-30,SAC,ATL,N/A,N/A,N/A,N/A,False
2019-02-02,SAC,PHI,N/A,N/A,N/A,N/A,False
2019-02-04,SAC,SAS,N/A,N/A,N/A,N/A,False
2019-02-06,SAC,HOU,N/A,N/A,N/A,N/A,False
2019-02-08,SAC,MIA,N/A,N/A,N/A,N/A,False
2019-02-10,SAC,PHO,N/A,N/A,N/A,N/A,False
2019-02-13,SAC,DEN,N/A,N/A,N/A,N/A,False
2019-02-21,SAC,GSW,N/A,N/A,N/A,N/A,False
2019-02-23,SAC,OKC,N/A,N/A,N/A,N/A,False
2019-02-25,SAC,MIN,N/A,N/A,N/A,N/A,False
2019-02-27,SAC,MIL,N/A,N/A,N/A,N/A,False
2019-03-01,SAC,LAC,N/A,N/A,N/A,N/A,False
2019-03-04,SAC,NYK,N/A,N/A,N/A,N/A,False
2019-03-06,SAC,BOS,N/A,N/A,N/A,N/A,False
2019-03-09,SAC,NYK,N/A,N/A,N/A,N/A,False
2019-03-11,SAC,WAS,N/A,N/A,N/A,N/A,False
2019-03-14,SAC,BOS,N/A,N/A,N/A,N/A,False
2019-03-15,SAC,PHI,N/A,N/A,N/A,N/A,False
2019-03-17,SAC,CHI,N/A,N/A,N/A,N/A,False
2019-03-19,SAC,BRK,N/A,N/A,N/A,N/A,False
2019-03-21,SAC,DAL,N/A,N/A,N/A,N/A,False
2019-03-23,SAC,PHO,N/A,N/A,N/A,N/A,False
2019-03-24,SAC,LAL,N/A,N/A,N/A,N/A,False
2019-03-26,SAC,DAL,N/A,N/A,N/A,N/A,False
2019-03-28,SAC,NOP,N/A,N/A,N/A,N/A,False
2019-03-30,SAC,HOU,N/A,N/A,N/A,N/A,False
2019-03-31,SAC,SAS,N/A,N/A,N/A,N/A,False
2019-04-02,SAC,HOU,N/A,N/A,N/A,N/A,False
2019-04-04,SAC,CLE,N/A,N/A,N/A,N/A,False
2019-04-05,SAC,UTA,N/A,N/A,N/A,N/A,False
2019-04-07,SAC,NOP,N/A,N/A,N/A,N/A,False
2019-04-10,SAC,POR,N/A,N/A,N/A,N/A,False
