Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2020-12-23,ATL,CHI,24:26,13,3,4,True
2020-12-26,ATL,MEM,N/A,N/A,N/A,N/A,False
2020-12-28,ATL,DET,N/A,N/A,N/A,N/A,False
2020-12-30,ATL,BRK,3:09,5,0,1,False
2021-01-01,ATL,BRK,N/A,N/A,N/A,N/A,False
2021-01-02,ATL,CLE,N/A,N/A,N/A,N/A,False
2021-01-04,ATL,NYK,N/A,N/A,N/A,N/A,False
2021-01-06,ATL,CHO,N/A,N/A,N/A,N/A,False
2021-01-09,ATL,CHO,N/A,N/A,N/A,N/A,False
2021-01-11,ATL,PHI,N/A,N/A,N/A,N/A,False
2021-01-15,ATL,UTA,N/A,N/A,N/A,N/A,False
2021-01-16,ATL,POR,N/A,N/A,N/A,N/A,False
2021-01-18,ATL,MIN,N/A,N/A,N/A,N/A,False
2021-01-20,ATL,DET,N/A,N/A,N/A,N/A,False
2021-01-22,ATL,MIN,14:41,10,0,4,False
2021-01-24,ATL,MIL,18:40,17,2,2,False
2021-01-26,ATL,LAC,14:27,2,0,1,False
2021-01-27,ATL,BRK,14:25,11,0,0,False
2021-01-29,ATL,WAS,18:18,11,0,3,False
2021-02-01,ATL,LAL,19:06,6,2,1,False
2021-02-03,ATL,DAL,20:50,19,2,2,False
2021-02-04,ATL,UTA,18:04,5,0,4,False
2021-02-06,ATL,TOR,24:35,14,4,5,False
2021-02-10,ATL,DAL,30:07,11,3,3,False
2021-02-12,ATL,SAS,16:36,2,1,2,False
2021-02-13,ATL,IND,26:20,20,0,7,False
2021-02-15,ATL,NYK,26:01,16,0,5,False
2021-02-17,ATL,BOS,24:59,9,1,2,False
2021-02-19,ATL,BOS,24:08,9,3,2,False
2021-02-21,ATL,DEN,20:51,12,3,5,False
2021-02-23,ATL,CLE,23:13,5,1,0,False
2021-02-24,ATL,BOS,33:29,38,2,6,False
2021-02-26,ATL,OKC,25:18,8,2,5,False
2021-02-28,ATL,MIA,19:29,6,2,4,False
2021-03-02,ATL,MIA,24:55,8,0,4,False
2021-03-03,ATL,ORL,39:19,23,6,9,True
2021-03-11,ATL,TOR,29:07,20,1,5,False
2021-03-13,ATL,SAC,29:26,15,1,7,False
2021-03-14,ATL,CLE,28:23,20,0,5,True
2021-03-16,ATL,HOU,34:09,29,0,6,True
2021-03-18,ATL,OKC,24:51,8,1,9,False
2021-03-20,ATL,LAL,30:03,18,3,4,False
2021-03-22,ATL,LAC,23:38,6,2,4,False
2021-03-24,ATL,SAC,25:40,12,2,3,False
2021-03-26,ATL,GSW,20:40,12,1,0,False
2021-03-28,ATL,DEN,23:06,14,2,2,False
2021-03-30,ATL,PHO,23:29,13,3,3,False
2021-04-01,ATL,SAS,36:13,16,1,12,False
2021-04-02,ATL,NOP,N/A,N/A,N/A,N/A,False
2021-04-04,ATL,GSW,28:59,25,0,10,False
2021-04-06,ATL,NOP,21:24,14,0,1,False
2021-04-07,ATL,MEM,N/A,N/A,N/A,N/A,False
2021-04-09,ATL,CHI,30:18,20,1,6,False
2021-04-11,ATL,CHO,N/A,N/A,N/A,N/A,False
2021-04-13,ATL,TOR,N/A,N/A,N/A,N/A,False
2021-04-15,ATL,MIL,N/A,N/A,N/A,N/A,False
2021-04-18,ATL,IND,N/A,N/A,N/A,N/A,False
2021-04-20,ATL,ORL,N/A,N/A,N/A,N/A,False
2021-04-21,ATL,NYK,N/A,N/A,N/A,N/A,False
2021-04-23,ATL,MIA,22:03,17,1,5,False
2021-04-25,ATL,MIL,20:57,15,2,3,False
2021-04-26,ATL,DET,23:45,12,1,2,False
2021-04-28,ATL,PHI,21:50,4,1,5,False
2021-04-30,ATL,PHI,24:28,16,2,1,False
2021-05-01,ATL,CHI,21:44,9,1,5,False
2021-05-03,ATL,POR,31:43,28,2,8,False
2021-05-05,ATL,PHO,23:52,16,4,5,False
2021-05-06,ATL,IND,28:29,15,3,7,False
2021-05-10,ATL,WAS,21:16,8,2,3,False
2021-05-12,ATL,WAS,23:00,4,1,5,False
2021-05-13,ATL,ORL,23:55,10,1,4,False
2021-05-16,ATL,HOU,N/A,N/A,N/A,N/A,False
