Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2018-10-17,MIN,SAS,26:57,6,0,11,True
2018-10-19,MIN,CLE,28:10,13,2,8,True
2018-10-20,MIN,DAL,31:11,9,1,6,True
2018-10-22,MIN,IND,32:39,13,1,7,True
2018-10-24,MIN,TOR,19:57,13,1,6,True
2018-10-26,MIN,MIL,19:19,11,1,7,True
2018-10-29,MIN,LAL,28:52,8,0,6,True
2018-10-31,MIN,UTA,24:14,10,2,2,True
2018-11-02,MIN,GSW,24:08,12,3,3,True
2018-11-04,MIN,POR,22:45,8,2,8,True
2018-11-05,MIN,LAC,32:14,15,1,9,True
2018-11-07,MIN,LAL,37:21,16,3,11,True
2018-11-09,MIN,SAC,29:37,9,2,9,True
2018-11-12,MIN,BRK,33:13,17,1,9,True
2018-11-14,MIN,NOP,27:50,10,1,4,True
2018-11-16,MIN,POR,20:59,12,5,4,True
2018-11-18,MIN,MEM,19:13,5,0,5,True
2018-11-21,MIN,DEN,19:08,7,1,4,True
2018-11-23,MIN,BRK,25:55,16,1,11,True
2018-11-24,MIN,CHI,23:24,6,2,2,True
2018-11-26,MIN,CLE,29:40,7,2,8,True
2018-11-28,MIN,SAS,23:59,13,1,8,True
2018-12-01,MIN,BOS,23:09,8,1,8,True
2018-12-03,MIN,HOU,27:05,15,3,11,True
2018-12-05,MIN,CHO,25:08,11,1,10,True
2018-12-08,MIN,POR,25:24,12,0,5,True
2018-12-10,MIN,GSW,17:21,4,0,3,True
2018-12-12,MIN,SAC,16:43,6,0,7,True
2018-12-15,MIN,PHO,N/A,N/A,N/A,N/A,False
2018-12-17,MIN,SAC,21:45,12,2,9,True
2018-12-19,MIN,DET,22:19,6,1,8,True
2018-12-21,MIN,SAS,23:35,9,1,7,True
2018-12-23,MIN,OKC,25:20,11,1,5,True
2018-12-26,MIN,CHI,26:18,16,2,3,True
2018-12-28,MIN,ATL,25:31,4,0,5,True
2018-12-30,MIN,MIA,29:39,14,1,7,True
2018-12-31,MIN,NOP,31:38,17,2,5,True
2019-01-02,MIN,BOS,25:33,8,1,5,True
2019-01-04,MIN,ORL,22:24,14,1,10,True
2019-01-06,MIN,LAL,26:11,12,0,11,True
2019-01-08,MIN,OKC,24:21,5,2,5,True
2019-01-11,MIN,DAL,29:56,10,1,15,True
2019-01-12,MIN,NOP,27:16,10,1,2,True
2019-01-15,MIN,PHI,17:58,10,1,5,True
2019-01-18,MIN,SAS,31:45,14,3,11,True
2019-01-20,MIN,PHO,23:50,17,0,5,True
2019-01-22,MIN,PHO,24:30,13,1,7,True
2019-01-24,MIN,LAL,27:50,14,1,10,True
2019-01-25,MIN,UTA,20:43,8,1,4,True
2019-01-27,MIN,UTA,18:11,4,1,3,True
2019-01-30,MIN,MEM,36:24,10,1,5,True
2019-02-02,MIN,DEN,22:53,8,0,5,True
2019-02-05,MIN,MEM,13:07,2,0,1,True
2019-02-07,MIN,ORL,20:40,10,0,4,True
2019-02-08,MIN,NOP,23:06,9,0,4,True
2019-02-11,MIN,LAC,21:11,14,1,3,False
2019-02-13,MIN,HOU,22:05,10,0,8,False
2019-02-22,MIN,NYK,31:22,19,3,10,True
2019-02-23,MIN,MIL,24:59,20,1,6,True
2019-02-25,MIN,SAC,17:11,8,1,7,False
2019-02-27,MIN,ATL,11:26,9,2,4,False
2019-02-28,MIN,IND,20:33,12,1,9,False
2019-03-03,MIN,WAS,20:35,14,2,10,False
2019-03-05,MIN,OKC,19:53,9,2,6,False
2019-03-06,MIN,DET,15:20,10,1,1,False
2019-03-09,MIN,WAS,23:50,15,0,13,False
2019-03-10,MIN,NYK,30:05,25,1,8,True
2019-03-12,MIN,DEN,20:47,8,0,4,False
2019-03-14,MIN,UTA,17:59,6,5,5,False
2019-03-17,MIN,HOU,21:37,15,1,10,False
2019-03-19,MIN,GSW,9:16,0,0,1,False
2019-03-21,MIN,CHO,N/A,N/A,N/A,N/A,False
2019-03-23,MIN,MEM,N/A,N/A,N/A,N/A,False
2019-03-26,MIN,LAC,N/A,N/A,N/A,N/A,False
2019-03-29,MIN,GSW,N/A,N/A,N/A,N/A,False
2019-03-30,MIN,PHI,N/A,N/A,N/A,N/A,False
2019-04-01,MIN,POR,N/A,N/A,N/A,N/A,False
2019-04-03,MIN,DAL,N/A,N/A,N/A,N/A,False
2019-04-05,MIN,MIA,N/A,N/A,N/A,N/A,False
2019-04-07,MIN,OKC,N/A,N/A,N/A,N/A,False
2019-04-09,MIN,TOR,N/A,N/A,N/A,N/A,False
2019-04-10,MIN,DEN,N/A,N/A,N/A,N/A,False
