Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2018-10-17,LAC,DEN,28:12,11,4,2,False
2018-10-19,LAC,OKC,23:16,2,4,3,False
2018-10-21,LAC,HOU,25:35,12,4,5,False
2018-10-23,LAC,NOP,22:11,9,2,4,False
2018-10-26,LAC,HOU,31:09,10,1,1,False
2018-10-28,LAC,WAS,28:22,10,7,8,False
2018-10-30,LAC,OKC,22:40,5,3,0,False
2018-11-01,LAC,PHI,17:31,7,2,2,False
2018-11-02,LAC,ORL,24:47,8,1,1,False
2018-11-05,LAC,MIN,24:33,6,5,3,True
2018-11-08,LAC,POR,35:21,19,2,3,True
2018-11-10,LAC,MIL,39:51,16,4,6,True
2018-11-12,LAC,GSW,38:27,18,3,5,True
2018-11-15,LAC,SAS,27:05,9,0,5,True
2018-11-17,LAC,BRK,20:01,4,2,2,True
2018-11-19,LAC,ATL,29:09,16,1,2,True
2018-11-20,LAC,WAS,28:54,17,3,3,True
2018-11-23,LAC,MEM,29:05,8,5,2,True
2018-11-25,LAC,POR,29:37,12,2,4,True
2018-11-28,LAC,PHO,28:55,13,6,7,True
2018-11-29,LAC,SAC,32:28,17,4,5,True
2018-12-02,LAC,DAL,24:17,8,0,1,True
2018-12-03,LAC,NOP,23:16,7,2,2,True
2018-12-05,LAC,MEM,28:40,12,4,4,True
2018-12-08,LAC,MIA,19:21,8,2,3,True
2018-12-10,LAC,PHO,33:35,16,5,4,True
2018-12-11,LAC,TOR,21:55,7,2,2,True
2018-12-13,LAC,SAS,28:15,13,2,2,True
2018-12-15,LAC,OKC,21:12,2,2,2,True
2018-12-17,LAC,POR,37:49,24,3,2,True
2018-12-20,LAC,DAL,19:12,4,1,1,True
2018-12-22,LAC,DEN,32:34,14,6,2,True
2018-12-23,LAC,GSW,27:41,3,2,0,True
2018-12-26,LAC,SAC,26:09,13,1,4,True
2018-12-28,LAC,LAL,17:23,7,0,1,True
2018-12-29,LAC,SAS,20:54,5,1,2,True
2019-01-01,LAC,PHI,20:07,8,5,2,True
2019-01-04,LAC,PHO,18:31,3,9,3,True
2019-01-06,LAC,ORL,23:01,13,2,2,True
2019-01-08,LAC,CHO,21:07,8,2,3,True
2019-01-10,LAC,DEN,20:26,3,1,2,True
2019-01-12,LAC,DET,16:52,7,4,1,True
2019-01-14,LAC,NOP,12:59,0,2,0,True
2019-01-16,LAC,UTA,22:04,8,2,1,True
2019-01-18,LAC,GSW,42:30,24,5,3,True
2019-01-20,LAC,SAS,37:40,7,3,4,True
2019-01-22,LAC,DAL,20:22,8,1,1,True
2019-01-23,LAC,MIA,30:50,10,3,2,True
2019-01-25,LAC,CHI,21:50,6,5,0,True
2019-01-27,LAC,SAC,31:14,17,5,4,True
2019-01-28,LAC,ATL,24:27,11,2,2,True
2019-01-31,LAC,LAL,21:12,10,3,2,True
2019-02-02,LAC,DET,30:01,14,5,7,True
2019-02-03,LAC,TOR,26:11,19,3,5,True
2019-02-05,LAC,CHO,17:39,6,3,2,True
2019-02-07,LAC,IND,26:00,8,6,1,True
2019-02-09,LAC,BOS,25:49,14,5,4,True
2019-02-11,LAC,MIN,22:00,10,1,1,True
2019-02-13,LAC,PHO,21:38,10,3,4,True
2019-02-22,LAC,MEM,15:21,6,4,2,True
2019-02-24,LAC,DEN,29:49,1,4,1,True
2019-02-25,LAC,DAL,17:25,0,0,2,True
2019-02-27,LAC,UTA,19:20,13,1,1,True
2019-03-01,LAC,SAC,32:23,15,1,6,True
2019-03-03,LAC,NYK,29:13,15,4,3,True
2019-03-04,LAC,LAL,24:06,14,4,1,True
2019-03-08,LAC,OKC,25:37,9,1,1,True
2019-03-11,LAC,BOS,21:54,12,3,5,True
2019-03-12,LAC,POR,26:56,15,4,2,True
2019-03-15,LAC,CHI,29:54,17,7,7,True
2019-03-17,LAC,BRK,35:34,14,10,2,True
2019-03-19,LAC,IND,28:35,17,3,3,True
2019-03-22,LAC,CLE,34:32,16,5,2,True
2019-03-24,LAC,NYK,37:44,10,8,2,True
2019-03-26,LAC,MIN,30:46,10,4,4,True
2019-03-28,LAC,MIL,31:46,21,2,6,True
2019-03-30,LAC,CLE,27:40,22,8,2,True
2019-03-31,LAC,MEM,28:13,6,3,4,True
2019-04-03,LAC,HOU,32:55,20,4,4,True
2019-04-05,LAC,LAL,37:00,20,6,8,True
2019-04-07,LAC,GSW,29:34,12,3,1,True
2019-04-10,LAC,UTA,24:06,8,3,2,True
