Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2023-10-25,WAS,IND,N/A,N/A,N/A,N/A,False
2023-10-28,WAS,MEM,N/A,N/A,N/A,N/A,False
2023-10-30,WAS,BOS,9:44,5,1,2,False
2023-11-01,WAS,ATL,7:09,2,2,1,False
2023-11-03,WAS,MIA,6:36,6,0,2,False
2023-11-06,WAS,PHI,8:01,5,0,1,False
2023-11-08,WAS,CHO,4:07,0,0,1,False
2023-11-10,WAS,CHO,N/A,N/A,N/A,N/A,False
2023-11-12,WAS,BRK,N/A,N/A,N/A,N/A,False
2023-11-13,WAS,TOR,N/A,N/A,N/A,N/A,False
2023-11-15,WAS,DAL,5:20,0,0,1,False
2023-11-17,WAS,NYK,2:19,2,1,1,False
2023-11-20,WAS,MIL,1:15,0,0,0,False
2023-11-22,WAS,CHO,N/A,N/A,N/A,N/A,False
2023-11-24,WAS,MIL,N/A,N/A,N/A,N/A,False
2023-11-25,WAS,ATL,17:30,10,1,3,False
2023-11-27,WAS,DET,1:50,0,0,0,False
2023-11-29,WAS,ORL,4:35,0,0,1,False
2023-12-01,WAS,ORL,N/A,N/A,N/A,N/A,False
2023-12-06,WAS,PHI,N/A,N/A,N/A,N/A,False
2023-12-08,WAS,BRK,3:56,2,0,3,False
2023-12-11,WAS,PHI,10:26,3,0,4,False
2023-12-13,WAS,NOP,9:46,2,2,2,False
2023-12-15,WAS,IND,2:59,0,0,0,False
2023-12-17,WAS,PHO,0:20,0,0,0,False
2023-12-18,WAS,SAC,19:33,4,3,4,False
2023-12-21,WAS,POR,0:12,0,0,0,False
2023-12-22,WAS,GSW,10:42,8,0,3,False
2023-12-26,WAS,ORL,N/A,N/A,N/A,N/A,False
2023-12-27,WAS,TOR,4:33,0,0,0,False
2023-12-29,WAS,BRK,N/A,N/A,N/A,N/A,False
2023-12-31,WAS,ATL,N/A,N/A,N/A,N/A,False
2024-01-03,WAS,CLE,4:35,2,0,1,False
2024-01-05,WAS,CLE,5:24,1,0,1,False
2024-01-06,WAS,NYK,3:27,3,0,2,False
2024-01-08,WAS,OKC,N/A,N/A,N/A,N/A,False
2024-01-10,WAS,IND,N/A,N/A,N/A,N/A,False
2024-01-13,WAS,ATL,N/A,N/A,N/A,N/A,False
2024-01-15,WAS,DET,2:37,3,0,1,False
2024-01-18,WAS,NYK,N/A,N/A,N/A,N/A,False
2024-01-20,WAS,SAS,N/A,N/A,N/A,N/A,False
2024-01-21,WAS,DEN,N/A,N/A,N/A,N/A,False
2024-01-24,WAS,MIN,0:39,0,1,0,False
2024-01-25,WAS,UTA,0:50,0,0,0,False
2024-01-27,WAS,DET,N/A,N/A,N/A,N/A,False
2024-01-29,WAS,SAS,N/A,N/A,N/A,N/A,False
2024-01-31,WAS,LAC,7:35,3,0,2,False
2024-02-02,WAS,MIA,0:05,0,0,0,False
2024-02-04,WAS,PHO,6:56,0,0,1,False
2024-02-07,WAS,CLE,N/A,N/A,N/A,N/A,False
2024-02-09,WAS,BOS,N/A,N/A,N/A,N/A,False
2024-02-10,WAS,PHI,N/A,N/A,N/A,N/A,False
2024-02-12,WAS,DAL,N/A,N/A,N/A,N/A,False
2024-02-14,WAS,NOP,N/A,N/A,N/A,N/A,False
2024-02-22,WAS,DEN,4:22,3,0,2,False
2024-02-23,WAS,OKC,5:30,0,3,0,False
2024-02-25,WAS,CLE,N/A,N/A,N/A,N/A,False
2024-02-27,WAS,GSW,N/A,N/A,N/A,N/A,False
2024-02-29,WAS,LAL,0:04,0,0,0,False
2024-03-01,WAS,LAC,N/A,N/A,N/A,N/A,False
2024-03-04,WAS,UTA,N/A,N/A,N/A,N/A,False
2024-03-06,WAS,ORL,N/A,N/A,N/A,N/A,False
2024-03-08,WAS,CHO,2:23,2,0,0,False
2024-03-10,WAS,MIA,0:06,0,0,0,False
2024-03-12,WAS,MEM,4:13,2,0,1,False
2024-03-14,WAS,HOU,3:59,0,0,0,False
2024-03-16,WAS,CHI,4:36,2,0,2,False
2024-03-17,WAS,BOS,24:44,13,3,4,False
2024-03-19,WAS,HOU,22:03,12,3,8,False
2024-03-21,WAS,SAC,18:16,8,1,2,False
2024-03-23,WAS,TOR,N/A,N/A,N/A,N/A,False
2024-03-25,WAS,CHI,0:02,0,0,0,False
2024-03-27,WAS,BRK,15:58,5,2,3,False
2024-03-29,WAS,DET,17:51,6,0,3,False
2024-03-31,WAS,MIA,20:01,18,0,4,False
2024-04-02,WAS,MIL,38:01,12,0,9,True
2024-04-03,WAS,LAL,20:44,6,3,2,False
2024-04-05,WAS,POR,30:36,8,1,3,False
2024-04-07,WAS,TOR,N/A,N/A,N/A,N/A,False
2024-04-09,WAS,MIN,35:32,15,3,9,True
2024-04-12,WAS,CHI,16:56,4,1,0,False
2024-04-14,WAS,BOS,17:26,12,3,5,True
