Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2022-10-19,DEN,UTA,32:58,22,2,10,True
2022-10-21,DEN,GSW,28:47,10,3,3,True
2022-10-22,DEN,OKC,28:22,11,2,10,True
2022-10-24,DEN,POR,27:37,26,1,6,True
2022-10-26,DEN,LAL,28:30,6,5,9,True
2022-10-28,DEN,UTA,21:19,3,0,1,True
2022-10-30,DEN,LAL,30:41,18,0,6,True
2022-11-03,DEN,OKC,35:32,27,3,5,True
2022-11-05,DEN,SAS,22:33,8,2,6,True
2022-11-07,DEN,SAS,29:42,9,5,5,True
2022-11-09,DEN,IND,34:23,18,6,16,True
2022-11-11,DEN,BOS,30:24,17,2,7,True
2022-11-13,DEN,CHI,25:59,13,2,5,True
2022-11-16,DEN,NYK,N/A,N/A,N/A,N/A,False
2022-11-18,DEN,DAL,N/A,N/A,N/A,N/A,False
2022-11-20,DEN,DAL,N/A,N/A,N/A,N/A,False
2022-11-22,DEN,DET,28:35,17,1,7,True
2022-11-23,DEN,OKC,37:43,31,4,8,True
2022-11-25,DEN,LAC,27:59,29,3,7,True
2022-11-28,DEN,HOU,13:50,4,0,3,True
2022-11-30,DEN,HOU,31:15,20,2,6,True
2022-12-02,DEN,ATL,30:50,14,3,5,True
2022-12-04,DEN,NOP,37:02,19,0,8,True
2022-12-06,DEN,DAL,31:30,27,2,8,True
2022-12-08,DEN,POR,30:50,20,0,5,True
2022-12-10,DEN,UTA,30:12,15,1,1,True
2022-12-14,DEN,WAS,31:04,22,3,7,True
2022-12-16,DEN,LAL,32:27,17,1,3,True
2022-12-18,DEN,CHO,28:25,19,1,10,True
2022-12-20,DEN,MEM,27:30,24,4,7,True
2022-12-23,DEN,POR,31:58,13,1,6,True
2022-12-25,DEN,PHO,41:26,28,2,13,True
2022-12-27,DEN,SAC,N/A,N/A,N/A,N/A,False
2022-12-28,DEN,SAC,N/A,N/A,N/A,N/A,False
2022-12-30,DEN,MIA,33:06,11,3,5,True
2023-01-01,DEN,BOS,36:58,18,7,6,True
2023-01-02,DEN,MIN,33:25,12,6,16,True
2023-01-05,DEN,LAC,21:09,13,3,7,True
2023-01-06,DEN,CLE,29:57,12,1,10,True
2023-01-09,DEN,LAL,22:04,9,0,10,True
2023-01-11,DEN,PHO,23:52,12,2,0,True
2023-01-13,DEN,LAC,31:44,17,5,5,True
2023-01-15,DEN,ORL,32:24,25,5,8,True
2023-01-17,DEN,POR,31:33,11,8,7,True
2023-01-18,DEN,MIN,29:04,12,1,3,True
2023-01-20,DEN,IND,30:24,28,6,5,True
2023-01-22,DEN,OKC,38:05,15,1,10,True
2023-01-24,DEN,NOP,23:39,11,3,4,True
2023-01-25,DEN,MIL,37:11,26,4,14,True
2023-01-28,DEN,PHI,29:23,18,3,5,True
2023-01-31,DEN,NOP,35:56,15,6,6,True
2023-02-02,DEN,GSW,N/A,N/A,N/A,N/A,False
2023-02-04,DEN,ATL,29:46,15,4,6,True
2023-02-05,DEN,MIN,N/A,N/A,N/A,N/A,False
2023-02-07,DEN,MIN,25:56,24,8,3,True
2023-02-09,DEN,ORL,37:51,37,3,13,True
2023-02-11,DEN,CHO,N/A,N/A,N/A,N/A,False
2023-02-13,DEN,MIA,N/A,N/A,N/A,N/A,False
2023-02-15,DEN,DAL,N/A,N/A,N/A,N/A,False
2023-02-23,DEN,CLE,N/A,N/A,N/A,N/A,False
2023-02-25,DEN,MEM,N/A,N/A,N/A,N/A,False
2023-02-26,DEN,LAC,28:57,6,6,6,True
2023-02-28,DEN,HOU,21:04,11,5,7,True
2023-03-03,DEN,MEM,28:11,13,0,5,True
2023-03-06,DEN,TOR,29:44,19,5,6,True
2023-03-08,DEN,CHI,28:48,17,2,9,True
2023-03-10,DEN,SAS,33:35,14,3,6,True
2023-03-12,DEN,BRK,29:24,13,2,4,True
2023-03-14,DEN,TOR,34:22,18,3,1,True
2023-03-16,DEN,DET,28:50,15,1,8,True
2023-03-18,DEN,NYK,31:13,14,7,5,True
2023-03-19,DEN,BRK,29:54,10,2,4,True
2023-03-22,DEN,WAS,30:44,12,1,1,True
2023-03-25,DEN,MIL,25:12,9,1,7,True
2023-03-27,DEN,PHI,24:18,12,2,4,True
2023-03-30,DEN,NOP,31:31,11,4,6,True
2023-03-31,DEN,PHO,36:25,26,6,8,True
2023-04-02,DEN,GSW,38:56,13,7,10,True
2023-04-04,DEN,HOU,32:39,13,4,9,True
2023-04-06,DEN,PHO,N/A,N/A,N/A,N/A,False
2023-04-08,DEN,UTA,28:28,15,2,4,True
2023-04-09,DEN,SAC,N/A,N/A,N/A,N/A,False
