Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2020-12-23,PHI,WAS,18:16,2,2,0,True
2020-12-26,PHI,NYK,28:02,6,3,5,True
2020-12-27,PHI,CLE,17:30,4,1,3,True
2020-12-29,PHI,TOR,28:34,7,0,2,True
2020-12-31,PHI,ORL,18:17,3,0,0,True
2021-01-02,PHI,CHO,25:47,13,4,2,True
2021-01-04,PHI,CHO,22:53,13,3,6,True
2021-01-06,PHI,WAS,30:18,15,5,3,True
2021-01-07,PHI,BRK,32:17,9,1,5,True
2021-01-09,PHI,DEN,36:10,11,5,3,True
2021-01-11,PHI,ATL,28:10,2,3,3,True
2021-01-12,PHI,MIA,49:49,29,6,10,True
2021-01-14,PHI,MIA,25:28,12,3,6,True
2021-01-16,PHI,MEM,35:56,8,3,3,True
2021-01-20,PHI,BOS,28:35,12,1,6,True
2021-01-22,PHI,BOS,24:34,5,1,3,True
2021-01-23,PHI,DET,31:47,7,1,2,True
2021-01-25,PHI,DET,22:04,6,0,1,True
2021-01-27,PHI,LAL,36:14,14,1,6,True
2021-01-29,PHI,MIN,23:02,3,2,3,True
2021-01-31,PHI,IND,21:57,6,2,5,True
2021-02-03,PHI,CHO,30:58,16,1,1,True
2021-02-04,PHI,POR,26:52,3,1,5,True
2021-02-06,PHI,BRK,26:10,11,0,3,True
2021-02-09,PHI,SAC,27:51,4,0,5,True
2021-02-11,PHI,POR,31:13,5,0,4,True
2021-02-13,PHI,PHO,30:30,10,0,4,True
2021-02-15,PHI,UTA,28:32,3,1,4,True
2021-02-17,PHI,HOU,36:04,12,0,3,True
2021-02-19,PHI,CHI,37:04,13,5,2,True
2021-02-21,PHI,TOR,23:43,9,1,2,True
2021-02-23,PHI,TOR,31:58,11,2,5,True
2021-02-25,PHI,DAL,23:16,6,1,4,True
2021-02-27,PHI,CLE,36:41,9,1,4,True
2021-03-01,PHI,IND,19:15,3,1,1,True
2021-03-03,PHI,UTA,22:16,3,0,4,True
2021-03-11,PHI,CHI,33:03,9,4,6,True
2021-03-12,PHI,WAS,31:28,12,4,6,True
2021-03-14,PHI,SAS,22:31,16,0,5,True
2021-03-16,PHI,NYK,22:19,3,2,1,True
2021-03-17,PHI,MIL,34:30,18,0,6,True
2021-03-20,PHI,SAC,32:14,18,2,3,True
2021-03-21,PHI,NYK,32:57,11,1,3,True
2021-03-23,PHI,GSW,32:41,11,1,2,True
2021-03-25,PHI,LAL,32:33,28,0,5,True
2021-03-27,PHI,LAC,27:48,17,0,0,True
2021-03-30,PHI,DEN,22:59,8,3,4,True
2021-04-01,PHI,CLE,26:05,11,2,6,True
2021-04-03,PHI,MIN,27:15,9,3,6,True
2021-04-04,PHI,MEM,23:23,6,1,3,True
2021-04-06,PHI,BOS,24:04,17,1,2,True
2021-04-09,PHI,NOP,29:44,8,2,7,True
2021-04-10,PHI,OKC,N/A,N/A,N/A,N/A,False
2021-04-12,PHI,DAL,25:24,6,2,3,True
2021-04-14,PHI,BRK,30:36,7,0,1,True
2021-04-16,PHI,LAC,35:59,11,3,7,True
2021-04-19,PHI,GSW,32:41,12,2,7,True
2021-04-21,PHI,PHO,34:29,18,4,4,True
2021-04-22,PHI,MIL,14:50,0,2,1,True
2021-04-24,PHI,MIL,21:01,5,2,4,True
2021-04-26,PHI,OKC,N/A,N/A,N/A,N/A,False
2021-04-28,PHI,ATL,25:09,5,1,3,True
2021-04-30,PHI,ATL,20:48,5,0,4,True
2021-05-02,PHI,SAS,34:04,11,3,5,True
2021-05-03,PHI,CHI,28:43,14,3,4,True
2021-05-05,PHI,HOU,23:33,9,1,8,True
2021-05-07,PHI,NOP,31:19,8,0,5,True
2021-05-08,PHI,DET,31:32,11,4,3,True
2021-05-11,PHI,IND,29:01,6,1,2,True
2021-05-13,PHI,MIA,20:06,11,1,4,True
2021-05-14,PHI,ORL,21:28,8,2,2,True
2021-05-16,PHI,ORL,N/A,N/A,N/A,N/A,False
