Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2018-10-16,GSW,OKC,32:45,2,5,13,True
2018-10-19,GSW,UTA,33:12,14,6,9,True
2018-10-21,GSW,DEN,33:14,4,4,5,True
2018-10-22,GSW,PHO,27:34,5,8,5,True
2018-10-24,GSW,WAS,28:01,5,12,5,True
2018-10-26,GSW,NYK,32:13,18,6,4,True
2018-10-28,GSW,BRK,36:19,8,13,4,True
2018-10-29,GSW,CHI,25:07,3,12,7,True
2018-10-31,GSW,NOP,34:12,16,8,14,True
2018-11-02,GSW,MIN,33:04,9,11,9,True
2018-11-05,GSW,MEM,13:41,0,2,4,True
2018-11-08,GSW,MIL,N/A,N/A,N/A,N/A,False
2018-11-10,GSW,BRK,N/A,N/A,N/A,N/A,False
2018-11-12,GSW,LAC,42:42,6,1,14,True
2018-11-13,GSW,ATL,N/A,N/A,N/A,N/A,False
2018-11-15,GSW,HOU,23:47,0,5,5,True
2018-11-17,GSW,DAL,N/A,N/A,N/A,N/A,False
2018-11-18,GSW,SAS,N/A,N/A,N/A,N/A,False
2018-11-21,GSW,OKC,N/A,N/A,N/A,N/A,False
2018-11-23,GSW,POR,N/A,N/A,N/A,N/A,False
2018-11-24,GSW,SAC,N/A,N/A,N/A,N/A,False
2018-11-26,GSW,ORL,N/A,N/A,N/A,N/A,False
2018-11-29,GSW,TOR,N/A,N/A,N/A,N/A,False
2018-12-01,GSW,DET,N/A,N/A,N/A,N/A,False
2018-12-03,GSW,ATL,N/A,N/A,N/A,N/A,False
2018-12-05,GSW,CLE,N/A,N/A,N/A,N/A,False
2018-12-07,GSW,MIL,N/A,N/A,N/A,N/A,False
2018-12-10,GSW,MIN,29:27,7,7,10,True
2018-12-12,GSW,TOR,24:47,2,7,5,True
2018-12-14,GSW,SAC,31:24,2,10,14,True
2018-12-17,GSW,MEM,33:34,8,5,7,True
2018-12-19,GSW,UTA,37:21,8,1,12,True
2018-12-22,GSW,DAL,35:15,14,5,10,True
2018-12-23,GSW,LAC,32:24,14,6,4,True
2018-12-25,GSW,LAL,25:20,4,5,5,True
2018-12-27,GSW,POR,40:49,15,7,11,True
2018-12-29,GSW,POR,33:53,3,6,9,True
2018-12-31,GSW,PHO,32:58,7,7,3,True
2019-01-03,GSW,HOU,36:56,9,8,11,True
2019-01-05,GSW,SAC,31:57,12,7,7,True
2019-01-08,GSW,NYK,33:27,2,10,11,True
2019-01-11,GSW,CHI,20:40,2,7,7,True
2019-01-13,GSW,DAL,32:20,4,7,6,True
2019-01-15,GSW,DEN,31:18,4,13,6,True
2019-01-16,GSW,NOP,35:52,17,14,6,True
2019-01-18,GSW,LAC,28:48,7,9,8,True
2019-01-21,GSW,LAL,22:33,5,7,3,True
2019-01-24,GSW,WAS,33:08,7,7,15,True
2019-01-26,GSW,BOS,34:09,5,8,11,True
2019-01-28,GSW,IND,N/A,N/A,N/A,N/A,False
2019-01-31,GSW,PHI,34:48,4,10,8,True
2019-02-02,GSW,LAL,27:24,4,7,3,True
2019-02-06,GSW,SAS,24:26,7,4,5,True
2019-02-08,GSW,PHO,25:43,13,3,4,True
2019-02-10,GSW,MIA,35:21,5,14,7,True
2019-02-12,GSW,UTA,33:34,6,6,7,True
2019-02-13,GSW,POR,32:10,9,7,5,True
2019-02-21,GSW,SAC,33:41,12,8,6,True
2019-02-23,GSW,HOU,24:15,4,3,4,True
2019-02-25,GSW,CHO,34:26,14,10,8,True
2019-02-27,GSW,MIA,22:44,5,2,3,True
2019-02-28,GSW,ORL,38:45,5,3,6,True
2019-03-02,GSW,PHI,34:53,6,10,9,True
2019-03-05,GSW,BOS,24:38,5,5,6,True
2019-03-08,GSW,DEN,36:27,4,5,10,True
2019-03-10,GSW,PHO,31:37,6,8,11,True
2019-03-13,GSW,HOU,36:43,2,5,5,True
2019-03-16,GSW,OKC,34:24,9,6,8,True
2019-03-18,GSW,SAS,35:37,10,7,3,True
2019-03-19,GSW,MIN,32:35,5,9,10,True
2019-03-21,GSW,IND,29:28,10,5,7,True
2019-03-23,GSW,DAL,25:12,6,2,3,True
2019-03-24,GSW,DET,34:53,14,8,5,True
2019-03-27,GSW,MEM,32:33,6,6,7,True
2019-03-29,GSW,MIN,41:59,9,5,10,True
2019-03-31,GSW,CHO,29:05,10,9,5,True
2019-04-02,GSW,DEN,30:07,6,9,9,True
2019-04-04,GSW,LAL,29:29,12,6,4,True
2019-04-05,GSW,CLE,36:06,20,5,8,True
2019-04-07,GSW,LAC,29:35,10,9,10,True
2019-04-09,GSW,NOP,17:52,0,2,6,True
2019-04-10,GSW,MEM,N/A,N/A,N/A,N/A,False
