Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2018-10-18,WAS,MIA,32:30,17,1,4,False
2018-10-20,WAS,TOR,20:37,2,1,2,False
2018-10-22,WAS,POR,24:12,12,1,6,False
2018-10-24,WAS,GSW,28:07,10,1,3,False
2018-10-26,WAS,SAC,26:45,13,3,9,False
2018-10-28,WAS,LAC,21:28,12,2,8,False
2018-10-30,WAS,MEM,29:25,4,1,5,True
2018-11-02,WAS,OKC,15:11,2,0,0,False
2018-11-04,WAS,NYK,27:28,14,0,9,False
2018-11-06,WAS,DAL,15:04,8,1,2,False
2018-11-09,WAS,ORL,24:24,14,0,3,False
2018-11-10,WAS,MIA,33:40,19,0,10,False
2018-11-12,WAS,ORL,20:57,18,1,6,False
2018-11-14,WAS,CLE,24:14,8,3,3,False
2018-11-16,WAS,BRK,23:12,6,2,1,False
2018-11-18,WAS,POR,25:14,7,1,13,False
2018-11-20,WAS,LAC,26:04,20,3,7,False
2018-11-23,WAS,TOR,23:24,8,0,6,False
2018-11-24,WAS,NOP,20:31,4,4,4,False
2018-11-26,WAS,HOU,29:14,13,3,3,False
2018-11-28,WAS,NOP,19:27,10,0,2,False
2018-11-30,WAS,PHI,21:53,4,0,3,True
2018-12-01,WAS,BRK,N/A,N/A,N/A,N/A,False
2018-12-03,WAS,NYK,15:12,0,1,2,False
2018-12-05,WAS,ATL,N/A,N/A,N/A,N/A,False
2018-12-08,WAS,CLE,19:39,17,0,0,False
2018-12-10,WAS,IND,30:33,8,2,3,False
2018-12-12,WAS,BOS,45:27,22,2,10,True
2018-12-14,WAS,BRK,25:21,12,0,2,True
2018-12-16,WAS,LAL,33:16,20,1,7,True
2018-12-18,WAS,ATL,37:46,12,2,7,True
2018-12-19,WAS,HOU,26:23,12,2,3,True
2018-12-22,WAS,PHO,48:58,20,0,8,True
2018-12-23,WAS,IND,25:53,10,2,3,True
2018-12-26,WAS,DET,9:06,4,2,1,True
2018-12-28,WAS,CHI,32:57,11,4,7,True
2018-12-29,WAS,CHO,38:06,13,7,7,True
2019-01-02,WAS,ATL,36:15,22,6,6,True
2019-01-04,WAS,MIA,35:15,10,3,6,True
2019-01-06,WAS,OKC,33:57,16,2,6,True
2019-01-08,WAS,PHI,27:27,15,1,1,True
2019-01-09,WAS,PHI,24:34,8,3,5,True
2019-01-11,WAS,MIL,39:07,20,3,5,True
2019-01-13,WAS,TOR,34:39,12,2,2,True
2019-01-17,WAS,NYK,20:58,3,1,3,True
2019-01-21,WAS,DET,24:40,11,2,3,True
2019-01-24,WAS,GSW,27:56,15,2,2,True
2019-01-25,WAS,ORL,37:40,24,3,6,True
2019-01-27,WAS,SAS,30:31,15,3,1,True
2019-01-29,WAS,CLE,25:01,9,0,3,True
2019-01-30,WAS,IND,29:14,23,6,5,False
2019-02-02,WAS,MIL,33:45,20,2,3,False
2019-02-04,WAS,ATL,36:16,26,5,5,False
2019-02-06,WAS,MIL,37:08,22,3,4,True
2019-02-08,WAS,CLE,26:10,15,4,8,True
2019-02-09,WAS,CHI,9:12,0,3,1,True
2019-02-11,WAS,DET,28:04,4,5,1,True
2019-02-13,WAS,TOR,39:34,23,2,7,True
2019-02-22,WAS,CHO,31:18,16,3,2,True
2019-02-23,WAS,IND,20:13,4,0,1,True
2019-02-27,WAS,BRK,27:22,15,1,5,True
2019-03-01,WAS,BOS,32:41,15,0,4,True
2019-03-03,WAS,MIN,22:24,13,3,3,True
2019-03-06,WAS,DAL,28:59,16,1,1,True
2019-03-08,WAS,CHO,29:16,11,1,3,True
2019-03-09,WAS,MIN,38:24,10,0,5,True
2019-03-11,WAS,SAC,29:28,11,2,2,True
2019-03-13,WAS,ORL,27:33,8,0,1,True
2019-03-15,WAS,CHO,34:09,20,1,2,True
2019-03-16,WAS,MEM,32:23,15,3,1,True
2019-03-18,WAS,UTA,22:40,5,2,2,True
2019-03-20,WAS,CHI,22:35,10,1,5,True
2019-03-21,WAS,DEN,21:09,5,1,2,False
2019-03-23,WAS,MIA,24:11,25,0,6,False
2019-03-26,WAS,LAL,20:30,4,0,2,False
2019-03-27,WAS,PHO,9:33,5,0,0,False
2019-03-29,WAS,UTA,N/A,N/A,N/A,N/A,False
2019-03-31,WAS,DEN,N/A,N/A,N/A,N/A,False
2019-04-03,WAS,CHI,N/A,N/A,N/A,N/A,False
2019-04-05,WAS,SAS,22:32,14,0,3,False
2019-04-07,WAS,NYK,16:17,19,1,2,False
2019-04-09,WAS,BOS,24:00,6,3,5,False
