Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2020-12-23,WAS,PHI,N/A,N/A,N/A,N/A,False
2020-12-26,WAS,ORL,N/A,N/A,N/A,N/A,False
2020-12-27,WAS,ORL,N/A,N/A,N/A,N/A,False
2020-12-29,WAS,CHI,N/A,N/A,N/A,N/A,False
2020-12-31,WAS,CHI,25:13,17,3,5,True
2021-01-01,WAS,MIN,19:29,11,2,4,True
2021-01-03,WAS,BRK,33:24,15,3,2,True
2021-01-06,WAS,PHI,24:09,8,0,2,True
2021-01-08,WAS,BOS,37:12,17,3,5,True
2021-01-09,WAS,MIA,25:48,17,2,5,True
2021-01-11,WAS,PHO,28:22,10,3,9,True
2021-01-24,WAS,SAS,N/A,N/A,N/A,N/A,False
2021-01-26,WAS,HOU,N/A,N/A,N/A,N/A,False
2021-01-27,WAS,NOP,N/A,N/A,N/A,N/A,False
2021-01-29,WAS,ATL,24:05,9,1,5,True
2021-01-31,WAS,BRK,28:39,9,2,5,True
2021-02-02,WAS,POR,34:00,24,1,5,True
2021-02-03,WAS,MIA,35:24,11,5,9,True
2021-02-05,WAS,MIA,27:00,12,3,2,True
2021-02-07,WAS,CHO,22:55,5,0,6,True
2021-02-08,WAS,CHI,36:19,19,0,10,True
2021-02-10,WAS,TOR,32:17,15,3,7,True
2021-02-12,WAS,NYK,32:45,10,0,5,True
2021-02-14,WAS,BOS,22:18,15,1,4,True
2021-02-15,WAS,HOU,36:40,13,3,9,True
2021-02-17,WAS,DEN,29:27,14,3,4,True
2021-02-20,WAS,POR,36:55,17,0,7,True
2021-02-22,WAS,LAL,37:14,15,0,6,True
2021-02-23,WAS,LAC,36:29,10,2,9,True
2021-02-25,WAS,DEN,38:11,20,2,5,True
2021-02-27,WAS,MIN,26:13,6,2,6,True
2021-02-28,WAS,BOS,25:08,2,1,6,True
2021-03-02,WAS,MEM,25:19,7,1,2,True
2021-03-04,WAS,LAC,32:06,9,1,3,True
2021-03-10,WAS,MEM,25:23,11,0,6,True
2021-03-12,WAS,PHI,21:04,9,0,0,True
2021-03-13,WAS,MIL,38:20,29,1,11,True
2021-03-15,WAS,MIL,36:45,22,5,7,True
2021-03-17,WAS,SAC,37:37,17,0,9,True
2021-03-18,WAS,UTA,39:09,12,0,7,True
2021-03-21,WAS,BRK,40:13,20,0,10,True
2021-03-23,WAS,NYK,34:10,11,1,7,True
2021-03-25,WAS,NYK,41:25,21,2,9,True
2021-03-27,WAS,DET,35:05,14,0,6,True
2021-03-29,WAS,IND,36:25,26,3,8,True
2021-03-30,WAS,CHO,40:19,30,3,4,True
2021-04-01,WAS,DET,30:13,10,2,2,True
2021-04-03,WAS,DAL,N/A,N/A,N/A,N/A,False
2021-04-05,WAS,TOR,N/A,N/A,N/A,N/A,False
2021-04-07,WAS,ORL,30:27,9,2,7,True
2021-04-09,WAS,GSW,37:49,22,1,5,True
2021-04-10,WAS,PHO,24:41,6,0,7,True
2021-04-12,WAS,UTA,30:09,4,1,6,True
2021-04-14,WAS,SAC,34:35,12,0,4,True
2021-04-16,WAS,NOP,42:22,6,3,3,True
2021-04-17,WAS,DET,23:00,6,0,2,True
2021-04-19,WAS,OKC,N/A,N/A,N/A,N/A,False
2021-04-21,WAS,GSW,N/A,N/A,N/A,N/A,False
2021-04-23,WAS,OKC,N/A,N/A,N/A,N/A,False
2021-04-25,WAS,CLE,N/A,N/A,N/A,N/A,False
2021-04-26,WAS,SAS,31:41,13,1,6,True
2021-04-28,WAS,LAL,29:32,12,2,1,True
2021-04-30,WAS,CLE,22:33,11,1,5,True
2021-05-01,WAS,DAL,28:34,18,0,2,True
2021-05-03,WAS,IND,31:19,27,2,7,True
2021-05-05,WAS,MIL,N/A,N/A,N/A,N/A,False
2021-05-06,WAS,TOR,N/A,N/A,N/A,N/A,False
2021-05-08,WAS,IND,34:56,13,1,6,True
2021-05-10,WAS,ATL,27:31,20,0,3,True
2021-05-12,WAS,ATL,30:23,11,3,6,True
2021-05-14,WAS,CLE,34:10,14,1,3,True
2021-05-16,WAS,CHO,34:21,16,0,6,True
