Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2019-10-23,DAL,WAS,21:25,4,1,1,False
2019-10-25,DAL,NOP,21:37,8,2,1,False
2019-10-27,DAL,POR,21:56,11,1,1,False
2019-10-29,DAL,DEN,23:02,14,2,3,False
2019-11-01,DAL,LAL,26:58,11,1,5,False
2019-11-03,DAL,CLE,21:56,12,2,3,False
2019-11-06,DAL,ORL,26:29,13,2,3,False
2019-11-08,DAL,NYK,23:48,14,1,2,False
2019-11-09,DAL,MEM,22:13,20,1,0,False
2019-11-11,DAL,BOS,20:38,9,1,4,False
2019-11-14,DAL,NYK,24:52,12,0,4,False
2019-11-16,DAL,TOR,19:06,4,3,1,False
2019-11-18,DAL,SAS,14:34,0,2,0,False
2019-11-20,DAL,GSW,22:05,20,4,0,True
2019-11-22,DAL,CLE,18:01,16,4,1,True
2019-11-24,DAL,HOU,38:14,31,5,4,True
2019-11-26,DAL,LAC,29:28,8,1,1,True
2019-11-29,DAL,PHO,36:09,26,0,3,True
2019-12-01,DAL,LAL,30:31,8,1,2,True
2019-12-03,DAL,NOP,25:28,12,2,3,True
2019-12-04,DAL,MIN,25:46,7,0,3,True
2019-12-07,DAL,NOP,19:32,14,3,3,True
2019-12-08,DAL,SAC,36:21,29,2,1,True
2019-12-12,DAL,DET,25:24,2,0,5,True
2019-12-14,DAL,MIA,41:48,28,3,5,True
2019-12-16,DAL,MIL,24:15,6,1,4,True
2019-12-18,DAL,BOS,30:25,13,2,3,True
2019-12-20,DAL,PHI,31:34,27,1,4,True
2019-12-22,DAL,TOR,35:28,16,5,8,True
2019-12-26,DAL,SAS,28:02,17,0,3,True
2019-12-28,DAL,GSW,22:49,25,1,0,True
2019-12-29,DAL,LAL,6:34,2,0,1,True
2019-12-31,DAL,OKC,N/A,N/A,N/A,N/A,False
2020-01-02,DAL,BRK,N/A,N/A,N/A,N/A,False
2020-01-04,DAL,CHO,N/A,N/A,N/A,N/A,False
2020-01-06,DAL,CHI,21:37,15,2,4,True
2020-01-08,DAL,DEN,30:25,15,2,0,True
2020-01-10,DAL,LAL,31:53,22,1,7,True
2020-01-11,DAL,PHI,30:03,12,1,9,True
2020-01-14,DAL,GSW,23:48,12,4,3,True
2020-01-15,DAL,SAC,30:31,18,2,6,True
2020-01-17,DAL,POR,31:55,29,0,4,True
2020-01-21,DAL,LAC,30:21,13,0,3,True
2020-01-23,DAL,POR,28:58,11,4,1,True
2020-01-25,DAL,UTA,29:30,11,0,5,True
2020-01-27,DAL,OKC,35:19,15,0,3,True
2020-01-28,DAL,PHO,26:00,9,1,2,True
2020-01-31,DAL,HOU,31:44,15,4,3,True
2020-02-01,DAL,ATL,26:55,7,1,1,True
2020-02-03,DAL,IND,33:21,25,5,4,True
2020-02-05,DAL,MEM,34:01,14,1,6,True
2020-02-07,DAL,WAS,35:03,19,7,4,True
2020-02-08,DAL,CHO,26:06,14,5,2,True
2020-02-10,DAL,UTA,37:01,33,3,3,True
2020-02-12,DAL,SAC,33:04,19,6,3,True
2020-02-21,DAL,ORL,32:45,16,0,6,True
2020-02-22,DAL,ATL,35:14,33,5,4,True
2020-02-24,DAL,MIN,27:31,23,1,4,True
2020-02-26,DAL,SAS,35:39,17,0,2,True
2020-02-28,DAL,MIA,37:17,15,3,3,True
2020-03-01,DAL,MIN,31:46,19,0,6,True
2020-03-02,DAL,CHI,35:46,26,3,1,True
2020-03-04,DAL,NOP,39:23,18,4,1,True
2020-03-06,DAL,MEM,N/A,N/A,N/A,N/A,False
2020-03-08,DAL,IND,38:45,30,1,4,True
2020-03-10,DAL,SAS,37:14,20,3,7,True
2020-03-11,DAL,DEN,39:10,14,1,5,True
2020-07-31,DAL,HOU,41:18,24,3,5,True
2020-08-02,DAL,PHO,29:38,2,3,10,True
2020-08-04,DAL,SAC,41:46,22,0,5,True
2020-08-06,DAL,LAC,35:45,8,0,3,True
2020-08-08,DAL,MIL,37:00,8,0,2,True
2020-08-10,DAL,UTA,34:16,27,4,3,True
2020-08-11,DAL,POR,36:54,24,3,4,True
2020-08-13,DAL,PHO,20:03,8,0,2,True
