Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2020-12-23,DEN,SAC,41:33,10,2,2,True
2020-12-25,DEN,LAC,22:24,2,2,1,True
2020-12-28,DEN,HOU,28:56,14,2,3,True
2020-12-29,DEN,SAC,31:26,11,0,1,True
2021-01-01,DEN,PHO,35:38,7,2,1,True
2021-01-03,DEN,MIN,24:42,2,0,2,True
2021-01-05,DEN,MIN,32:45,10,3,3,True
2021-01-07,DEN,DAL,39:57,15,1,4,True
2021-01-09,DEN,PHI,28:17,21,1,3,True
2021-01-10,DEN,NYK,31:46,14,1,3,True
2021-01-12,DEN,BRK,N/A,N/A,N/A,N/A,False
2021-01-14,DEN,GSW,N/A,N/A,N/A,N/A,False
2021-01-17,DEN,UTA,24:41,8,0,5,True
2021-01-19,DEN,OKC,25:37,11,3,3,True
2021-01-22,DEN,PHO,38:43,19,3,2,True
2021-01-23,DEN,PHO,36:38,10,0,3,True
2021-01-25,DEN,DAL,32:29,10,2,3,True
2021-01-27,DEN,MIA,35:07,7,7,2,True
2021-01-29,DEN,SAS,33:41,11,1,3,True
2021-01-31,DEN,UTA,8:45,0,1,1,True
2021-02-04,DEN,LAL,N/A,N/A,N/A,N/A,False
2021-02-06,DEN,SAC,N/A,N/A,N/A,N/A,False
2021-02-08,DEN,MIL,N/A,N/A,N/A,N/A,False
2021-02-10,DEN,CLE,N/A,N/A,N/A,N/A,False
2021-02-12,DEN,OKC,N/A,N/A,N/A,N/A,False
2021-02-14,DEN,LAL,N/A,N/A,N/A,N/A,False
2021-02-16,DEN,BOS,N/A,N/A,N/A,N/A,False
2021-02-17,DEN,WAS,28:20,2,1,2,True
2021-02-19,DEN,CLE,N/A,N/A,N/A,N/A,False
2021-02-21,DEN,ATL,N/A,N/A,N/A,N/A,False
2021-02-23,DEN,POR,N/A,N/A,N/A,N/A,False
2021-02-25,DEN,WAS,N/A,N/A,N/A,N/A,False
2021-02-27,DEN,OKC,N/A,N/A,N/A,N/A,False
2021-03-01,DEN,CHI,N/A,N/A,N/A,N/A,False
2021-03-02,DEN,MIL,N/A,N/A,N/A,N/A,False
2021-03-04,DEN,IND,N/A,N/A,N/A,N/A,False
2021-03-12,DEN,MEM,N/A,N/A,N/A,N/A,False
2021-03-13,DEN,DAL,N/A,N/A,N/A,N/A,False
2021-03-15,DEN,IND,N/A,N/A,N/A,N/A,False
2021-03-17,DEN,CHO,N/A,N/A,N/A,N/A,False
2021-03-19,DEN,CHI,N/A,N/A,N/A,N/A,False
2021-03-21,DEN,NOP,N/A,N/A,N/A,N/A,False
2021-03-23,DEN,ORL,N/A,N/A,N/A,N/A,False
2021-03-24,DEN,TOR,N/A,N/A,N/A,N/A,False
2021-03-26,ORL,POR,N/A,N/A,N/A,N/A,False
2021-03-28,ORL,LAL,N/A,N/A,N/A,N/A,False
2021-03-30,ORL,LAC,N/A,N/A,N/A,N/A,False
2021-04-01,ORL,NOP,N/A,N/A,N/A,N/A,False
2021-04-03,ORL,UTA,N/A,N/A,N/A,N/A,False
2021-04-04,ORL,DEN,N/A,N/A,N/A,N/A,False
2021-04-07,ORL,WAS,N/A,N/A,N/A,N/A,False
2021-04-09,ORL,IND,17:49,8,1,3,False
2021-04-11,ORL,MIL,26:49,9,2,0,True
2021-04-12,ORL,SAS,N/A,N/A,N/A,N/A,False
2021-04-14,ORL,CHI,30:13,15,6,2,True
2021-04-16,ORL,TOR,26:57,7,4,1,True
2021-04-18,ORL,HOU,26:28,16,3,1,True
2021-04-20,ORL,ATL,27:00,14,0,0,True
2021-04-22,ORL,NOP,23:31,11,0,2,True
2021-04-25,ORL,IND,32:07,6,3,3,True
2021-04-26,ORL,LAL,34:47,17,1,1,True
2021-04-28,ORL,CLE,34:11,19,7,6,True
2021-04-30,ORL,MEM,30:35,8,4,3,True
2021-05-01,ORL,MEM,23:44,5,4,1,True
2021-05-03,ORL,DET,9:59,11,1,1,True
2021-05-05,ORL,BOS,23:07,4,1,3,True
2021-05-07,ORL,CHO,30:11,12,1,3,True
2021-05-09,ORL,MIN,23:08,6,1,1,True
2021-05-11,ORL,MIL,28:48,14,2,0,True
2021-05-13,ORL,ATL,19:45,7,2,1,True
2021-05-14,ORL,PHI,15:25,8,1,0,True
2021-05-16,ORL,PHI,14:13,7,2,0,True
