Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2020-12-22,BRK,GSW,20:46,10,2,7,True
2020-12-25,BRK,BOS,26:12,9,0,1,True
2020-12-27,BRK,CHO,32:19,13,1,2,True
2020-12-28,BRK,MEM,41:46,14,3,8,True
2020-12-30,BRK,ATL,30:34,23,2,2,True
2021-01-01,BRK,ATL,28:13,12,3,7,True
2021-01-03,BRK,WAS,26:46,16,0,2,True
2021-01-05,BRK,UTA,23:04,10,1,0,False
2021-01-07,BRK,PHI,30:14,28,4,6,False
2021-01-08,BRK,MEM,28:05,13,2,2,False
2021-01-10,BRK,OKC,31:41,10,3,5,True
2021-01-12,BRK,DEN,30:39,15,4,3,True
2021-01-13,BRK,NYK,25:59,15,3,2,True
2021-01-16,BRK,ORL,30:28,17,0,5,True
2021-01-18,BRK,MIL,37:03,20,1,6,True
2021-01-20,BRK,CLE,41:53,6,2,9,False
2021-01-22,BRK,CLE,31:18,8,1,7,True
2021-01-23,BRK,MIA,36:53,23,2,2,True
2021-01-25,BRK,MIA,35:48,12,3,2,True
2021-01-27,BRK,ATL,39:05,6,2,1,True
2021-01-29,BRK,OKC,33:03,20,2,1,True
2021-01-31,BRK,WAS,31:46,30,5,1,True
2021-02-02,BRK,LAC,34:37,13,3,4,True
2021-02-05,BRK,TOR,36:33,19,2,5,True
2021-02-06,BRK,PHI,21:32,14,0,1,True
2021-02-09,BRK,DET,33:40,6,2,1,True
2021-02-10,BRK,IND,25:59,17,1,2,True
2021-02-13,BRK,GSW,27:04,15,0,4,True
2021-02-15,BRK,SAC,24:15,10,1,3,True
2021-02-16,BRK,PHO,31:06,22,1,4,True
2021-02-18,BRK,LAL,30:09,21,1,5,True
2021-02-21,BRK,LAC,35:53,13,2,2,True
2021-02-23,BRK,SAC,32:29,18,1,4,True
2021-02-25,BRK,ORL,25:22,14,2,3,True
2021-02-27,BRK,DAL,27:28,9,1,7,True
2021-03-01,BRK,SAS,40:04,9,2,3,True
2021-03-03,BRK,HOU,24:05,19,0,2,True
2021-03-11,BRK,BOS,31:21,12,0,3,True
2021-03-13,BRK,DET,31:53,10,1,4,True
2021-03-15,BRK,NYK,34:30,13,2,2,True
2021-03-17,BRK,IND,36:59,19,1,4,True
2021-03-19,BRK,ORL,32:25,16,4,6,True
2021-03-21,BRK,WAS,35:25,10,3,3,True
2021-03-23,BRK,POR,32:10,17,1,1,True
2021-03-24,BRK,UTA,4:57,0,0,0,True
2021-03-26,BRK,DET,29:13,9,3,2,True
2021-03-29,BRK,MIN,29:31,7,1,6,True
2021-03-31,BRK,HOU,37:03,28,0,6,True
2021-04-01,BRK,CHO,33:09,9,6,4,True
2021-04-04,BRK,CHI,34:34,11,2,6,True
2021-04-05,BRK,NYK,33:48,16,2,8,True
2021-04-07,BRK,NOP,22:20,14,4,6,True
2021-04-10,BRK,LAL,29:27,6,3,4,True
2021-04-13,BRK,MIN,28:48,23,3,3,True
2021-04-14,BRK,PHI,26:09,6,1,1,True
2021-04-16,BRK,CHO,29:15,26,1,2,True
2021-04-18,BRK,MIA,32:57,12,3,2,True
2021-04-20,BRK,NOP,32:29,24,2,2,True
2021-04-21,BRK,TOR,33:52,14,1,4,True
2021-04-23,BRK,BOS,34:33,20,3,4,True
2021-04-25,BRK,PHO,33:29,10,1,4,True
2021-04-27,BRK,TOR,32:19,16,6,3,True
2021-04-29,BRK,IND,24:35,14,0,3,True
2021-04-30,BRK,POR,31:37,12,3,1,True
2021-05-02,BRK,MIL,34:58,5,1,5,True
2021-05-04,BRK,MIL,33:14,12,0,2,True
2021-05-06,BRK,DAL,33:46,9,0,6,True
2021-05-08,BRK,DEN,33:08,8,5,5,True
2021-05-11,BRK,CHI,33:30,17,2,5,True
2021-05-12,BRK,SAS,N/A,N/A,N/A,N/A,False
2021-05-15,BRK,CHI,N/A,N/A,N/A,N/A,False
2021-05-16,BRK,CLE,N/A,N/A,N/A,N/A,False
