Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2020-12-23,NOP,TOR,26:41,6,1,5,False
2020-12-25,NOP,MIA,28:40,12,0,9,False
2020-12-27,NOP,SAS,32:59,12,0,10,False
2020-12-29,NOP,PHO,21:56,3,0,6,False
2020-12-31,NOP,OKC,34:20,12,2,11,False
2021-01-02,NOP,TOR,25:50,9,2,7,False
2021-01-04,NOP,IND,28:30,3,3,10,False
2021-01-06,NOP,OKC,27:45,0,1,10,False
2021-01-08,NOP,CHO,26:43,19,2,8,False
2021-01-13,NOP,LAC,38:17,6,3,7,True
2021-01-15,NOP,LAL,28:50,7,4,6,True
2021-01-17,NOP,SAC,24:46,5,3,5,False
2021-01-19,NOP,UTA,25:06,8,1,5,False
2021-01-21,NOP,UTA,24:31,7,3,8,False
2021-01-23,NOP,MIN,28:32,5,0,8,False
2021-01-27,NOP,WAS,29:28,6,1,8,False
2021-01-29,NOP,MIL,24:41,15,5,5,False
2021-01-30,NOP,HOU,18:55,3,2,4,False
2021-02-01,NOP,SAC,31:34,15,4,13,False
2021-02-03,NOP,PHO,22:30,10,2,3,False
2021-02-05,NOP,IND,23:45,11,2,7,False
2021-02-06,NOP,MEM,27:42,1,1,8,False
2021-02-09,NOP,HOU,40:13,20,3,17,False
2021-02-10,NOP,CHI,27:06,8,3,6,False
2021-02-12,NOP,DAL,30:20,6,5,5,False
2021-02-14,NOP,DET,23:26,8,4,3,False
2021-02-16,NOP,MEM,31:42,27,2,9,False
2021-02-17,NOP,POR,30:21,4,1,6,False
2021-02-19,NOP,PHO,28:54,8,3,9,False
2021-02-21,NOP,BOS,36:42,17,0,10,False
2021-02-24,NOP,DET,29:07,11,0,2,False
2021-02-25,NOP,MIL,22:12,6,4,5,False
2021-02-27,NOP,SAS,31:08,2,1,9,False
2021-03-01,NOP,UTA,24:18,13,1,7,False
2021-03-03,NOP,CHI,33:45,13,2,5,False
2021-03-04,NOP,MIA,41:01,12,3,8,True
2021-03-11,NOP,MIN,25:52,5,3,13,False
2021-03-12,NOP,CLE,22:32,6,0,4,False
2021-03-14,NOP,LAC,26:57,13,6,5,False
2021-03-16,NOP,POR,28:27,16,2,9,False
2021-03-18,NOP,POR,24:16,9,0,8,False
2021-03-21,NOP,DEN,29:21,12,6,9,False
2021-03-23,NOP,LAL,26:39,2,5,15,False
2021-03-26,NOP,DEN,27:08,10,2,8,False
2021-03-27,NOP,DAL,27:38,2,3,10,False
2021-03-29,NOP,BOS,31:36,15,3,15,False
2021-04-01,NOP,ORL,46:45,14,5,17,True
2021-04-02,NOP,ATL,N/A,N/A,N/A,N/A,False
2021-04-04,NOP,HOU,N/A,N/A,N/A,N/A,False
2021-04-06,NOP,ATL,N/A,N/A,N/A,N/A,False
2021-04-07,NOP,BRK,N/A,N/A,N/A,N/A,False
2021-04-09,NOP,PHI,N/A,N/A,N/A,N/A,False
2021-04-11,NOP,CLE,N/A,N/A,N/A,N/A,False
2021-04-12,NOP,SAC,N/A,N/A,N/A,N/A,False
2021-04-14,NOP,NYK,N/A,N/A,N/A,N/A,False
2021-04-16,NOP,WAS,N/A,N/A,N/A,N/A,False
2021-04-18,NOP,NYK,N/A,N/A,N/A,N/A,False
2021-04-20,NOP,BRK,N/A,N/A,N/A,N/A,False
2021-04-22,NOP,ORL,N/A,N/A,N/A,N/A,False
2021-04-24,NOP,SAS,N/A,N/A,N/A,N/A,False
2021-04-26,NOP,LAC,N/A,N/A,N/A,N/A,False
2021-04-28,NOP,DEN,N/A,N/A,N/A,N/A,False
2021-04-29,NOP,OKC,N/A,N/A,N/A,N/A,False
2021-05-01,NOP,MIN,N/A,N/A,N/A,N/A,False
2021-05-03,NOP,GSW,N/A,N/A,N/A,N/A,False
2021-05-04,NOP,GSW,N/A,N/A,N/A,N/A,False
2021-05-07,NOP,PHI,N/A,N/A,N/A,N/A,False
2021-05-09,NOP,CHO,N/A,N/A,N/A,N/A,False
2021-05-10,NOP,MEM,N/A,N/A,N/A,N/A,False
2021-05-12,NOP,DAL,N/A,N/A,N/A,N/A,False
2021-05-14,NOP,GSW,N/A,N/A,N/A,N/A,False
2021-05-16,NOP,LAL,N/A,N/A,N/A,N/A,False
