Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2019-10-22,NOP,TOR,N/A,N/A,N/A,N/A,False
2019-10-25,NOP,DAL,N/A,N/A,N/A,N/A,False
2019-10-26,NOP,HOU,N/A,N/A,N/A,N/A,False
2019-10-28,NOP,GSW,23:37,19,1,3,False
2019-10-31,NOP,DEN,9:28,5,0,2,False
2019-11-02,NOP,OKC,13:49,4,3,5,False
2019-11-04,NOP,BRK,16:26,3,1,5,False
2019-11-08,NOP,TOR,14:34,4,0,6,False
2019-11-09,NOP,CHO,18:03,9,0,1,False
2019-11-11,NOP,HOU,2:29,2,0,0,False
2019-11-14,NOP,LAC,13:10,9,1,3,False
2019-11-16,NOP,MIA,23:30,12,0,3,False
2019-11-17,NOP,GSW,31:57,10,0,10,True
2019-11-19,NOP,POR,20:37,9,0,7,True
2019-11-21,NOP,PHO,21:24,7,0,4,True
2019-11-23,NOP,UTA,30:28,13,1,5,True
2019-11-24,NOP,LAC,28:49,7,3,3,True
2019-11-27,NOP,LAL,21:17,7,1,4,True
2019-11-29,NOP,OKC,20:57,11,0,7,True
2019-12-01,NOP,OKC,26:25,9,1,7,False
2019-12-03,NOP,DAL,25:56,9,0,8,True
2019-12-05,NOP,PHO,32:50,17,1,5,True
2019-12-07,NOP,DAL,25:18,11,0,5,True
2019-12-09,NOP,DET,21:05,13,1,3,False
2019-12-11,NOP,MIL,23:53,12,1,5,False
2019-12-13,NOP,PHI,18:21,7,1,5,False
2019-12-15,NOP,ORL,28:30,10,3,7,False
2019-12-17,NOP,BRK,29:12,13,1,7,False
2019-12-18,NOP,MIN,14:11,3,1,4,False
2019-12-20,NOP,GSW,20:16,5,3,6,False
2019-12-23,NOP,POR,17:14,4,1,4,False
2019-12-25,NOP,DEN,7:12,2,0,1,False
2019-12-28,NOP,IND,21:13,2,1,4,False
2019-12-29,NOP,HOU,3:19,5,0,3,False
2020-01-03,NOP,LAL,14:06,6,3,3,False
2020-01-04,NOP,SAC,12:52,4,0,1,False
2020-01-06,NOP,UTA,19:00,7,3,3,False
2020-01-08,NOP,CHI,23:58,14,0,12,False
2020-01-10,NOP,NYK,29:23,18,1,10,False
2020-01-11,NOP,BOS,26:07,20,1,2,True
2020-01-13,NOP,DET,18:35,8,0,6,False
2020-01-16,NOP,UTA,12:46,9,2,5,False
2020-01-18,NOP,LAC,15:35,14,4,5,False
2020-01-20,NOP,MEM,19:04,5,0,6,True
2020-01-22,NOP,SAS,15:37,9,1,3,False
2020-01-24,NOP,DEN,6:42,1,0,1,False
2020-01-26,NOP,BOS,10:35,6,1,3,False
2020-01-28,NOP,CLE,15:07,8,1,2,False
2020-01-31,NOP,MEM,14:46,4,1,3,False
2020-02-02,NOP,HOU,3:32,2,0,2,False
2020-02-04,NOP,MIL,4:35,0,2,1,False
2020-02-06,NOP,CHI,11:31,9,1,5,False
2020-02-08,NOP,IND,8:52,2,0,2,False
2020-02-11,NOP,POR,11:00,9,0,3,False
2020-02-13,NOP,OKC,8:23,4,3,2,False
2020-02-21,NOP,POR,6:18,4,1,0,False
2020-02-23,NOP,GSW,2:53,0,0,0,False
2020-02-25,NOP,LAL,N/A,N/A,N/A,N/A,False
2020-02-28,NOP,CLE,9:59,4,0,1,False
2020-03-01,NOP,LAL,N/A,N/A,N/A,N/A,False
2020-03-03,NOP,MIN,N/A,N/A,N/A,N/A,False
2020-03-04,NOP,DAL,3:59,0,0,0,False
2020-03-06,NOP,MIA,N/A,N/A,N/A,N/A,False
2020-03-08,NOP,MIN,N/A,N/A,N/A,N/A,False
2020-07-30,NOP,UTA,19:33,3,1,7,False
2020-08-01,NOP,LAC,21:11,9,2,8,False
2020-08-03,NOP,MEM,6:13,2,0,2,False
2020-08-06,NOP,SAC,9:49,4,2,4,False
2020-08-07,NOP,WAS,8:35,6,0,3,False
2020-08-09,NOP,SAS,10:22,6,0,3,False
2020-08-11,NOP,SAC,22:17,9,0,5,True
2020-08-13,NOP,ORL,30:58,13,0,4,True
