Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2020-12-23,CHO,CLE,36:13,28,7,4,True
2020-12-26,CHO,OKC,34:41,12,7,5,True
2020-12-27,CHO,BRK,35:35,28,7,6,True
2020-12-30,CHO,DAL,30:59,11,3,7,True
2021-01-01,CHO,MEM,27:01,14,1,3,True
2021-01-02,CHO,PHI,38:30,20,6,6,True
2021-01-04,CHO,PHI,32:36,18,2,8,True
2021-01-06,CHO,ATL,39:07,44,2,7,True
2021-01-08,CHO,NOP,37:51,26,3,7,True
2021-01-09,CHO,ATL,35:52,13,3,1,True
2021-01-11,CHO,NYK,34:40,34,3,3,True
2021-01-13,CHO,DAL,26:48,16,1,4,True
2021-01-14,CHO,TOR,N/A,N/A,N/A,N/A,False
2021-01-16,CHO,TOR,38:09,25,3,5,True
2021-01-22,CHO,CHI,37:05,34,4,7,True
2021-01-24,CHO,ORL,38:01,39,1,9,True
2021-01-25,CHO,ORL,38:12,24,4,5,True
2021-01-27,CHO,IND,40:22,16,4,1,True
2021-01-29,CHO,IND,38:06,11,6,8,True
2021-01-30,CHO,MIL,36:29,27,2,3,True
2021-02-01,CHO,MIA,41:59,19,3,6,True
2021-02-03,CHO,PHI,37:33,22,9,6,True
2021-02-05,CHO,UTA,37:05,25,5,10,True
2021-02-07,CHO,WAS,30:15,25,3,5,True
2021-02-08,CHO,HOU,32:55,19,4,5,True
2021-02-10,CHO,MEM,30:14,15,2,4,True
2021-02-12,CHO,MIN,35:12,14,5,7,True
2021-02-14,CHO,SAS,N/A,N/A,N/A,N/A,False
2021-02-20,CHO,GSW,32:37,13,1,7,True
2021-02-22,CHO,UTA,25:44,21,2,3,True
2021-02-24,CHO,PHO,34:36,20,4,8,True
2021-02-26,CHO,GSW,33:52,12,5,2,True
2021-02-28,CHO,SAC,N/A,N/A,N/A,N/A,False
2021-03-01,CHO,POR,N/A,N/A,N/A,N/A,False
2021-03-03,CHO,MIN,31:28,23,9,5,True
2021-03-11,CHO,DET,38:05,17,3,3,True
2021-03-13,CHO,TOR,26:14,9,5,7,True
2021-03-15,CHO,SAC,36:19,25,4,8,True
2021-03-17,CHO,DEN,25:55,7,6,4,True
2021-03-18,CHO,LAL,36:56,7,10,9,True
2021-03-20,CHO,LAC,30:20,17,4,8,True
2021-03-22,CHO,SAS,36:52,27,6,7,True
2021-03-24,CHO,HOU,18:54,8,3,7,True
2021-03-26,CHO,MIA,38:42,11,3,9,True
2021-03-28,CHO,PHO,41:05,15,3,6,True
2021-03-30,CHO,WAS,39:03,26,6,11,True
2021-04-01,CHO,BRK,28:48,13,1,4,True
2021-04-02,CHO,IND,19:10,13,6,8,True
2021-04-04,CHO,BOS,N/A,N/A,N/A,N/A,False
2021-04-07,CHO,OKC,N/A,N/A,N/A,N/A,False
2021-04-09,CHO,MIL,N/A,N/A,N/A,N/A,False
2021-04-11,CHO,ATL,N/A,N/A,N/A,N/A,False
2021-04-13,CHO,LAL,N/A,N/A,N/A,N/A,False
2021-04-14,CHO,CLE,N/A,N/A,N/A,N/A,False
2021-04-16,CHO,BRK,N/A,N/A,N/A,N/A,False
2021-04-18,CHO,POR,N/A,N/A,N/A,N/A,False
2021-04-20,CHO,NYK,N/A,N/A,N/A,N/A,False
2021-04-22,CHO,CHI,N/A,N/A,N/A,N/A,False
2021-04-23,CHO,CLE,N/A,N/A,N/A,N/A,False
2021-04-25,CHO,BOS,N/A,N/A,N/A,N/A,False
2021-04-27,CHO,MIL,N/A,N/A,N/A,N/A,False
2021-04-28,CHO,BOS,N/A,N/A,N/A,N/A,False
2021-05-01,CHO,DET,N/A,N/A,N/A,N/A,False
2021-05-02,CHO,MIA,N/A,N/A,N/A,N/A,False
2021-05-04,CHO,DET,N/A,N/A,N/A,N/A,False
2021-05-06,CHO,CHI,N/A,N/A,N/A,N/A,False
2021-05-07,CHO,ORL,N/A,N/A,N/A,N/A,False
2021-05-09,CHO,NOP,N/A,N/A,N/A,N/A,False
2021-05-11,CHO,DEN,N/A,N/A,N/A,N/A,False
2021-05-13,CHO,LAC,N/A,N/A,N/A,N/A,False
2021-05-15,CHO,NYK,N/A,N/A,N/A,N/A,False
2021-05-16,CHO,WAS,N/A,N/A,N/A,N/A,False
