Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2020-12-23,SAC,DEN,41:07,22,3,4,True
2020-12-26,SAC,PHO,34:41,14,0,4,True
2020-12-27,SAC,PHO,33:55,17,3,0,True
2020-12-29,SAC,DEN,34:37,12,3,8,True
2020-12-31,SAC,HOU,37:47,19,5,3,True
2021-01-02,SAC,HOU,37:31,17,2,4,True
2021-01-04,SAC,GSW,29:59,10,1,6,True
2021-01-06,SAC,CHI,35:12,10,3,3,True
2021-01-08,SAC,TOR,32:27,15,6,5,True
2021-01-09,SAC,POR,25:54,8,1,5,True
2021-01-11,SAC,IND,30:46,18,3,4,True
2021-01-13,SAC,POR,38:16,26,5,6,True
2021-01-15,SAC,LAC,29:15,9,5,1,True
2021-01-17,SAC,NOP,35:45,18,3,4,True
2021-01-20,SAC,LAC,28:41,13,3,2,True
2021-01-22,SAC,NYK,29:20,11,2,6,True
2021-01-27,SAC,ORL,37:31,29,3,5,True
2021-01-29,SAC,TOR,39:37,22,2,3,True
2021-01-30,SAC,MIA,36:39,18,3,5,True
2021-02-01,SAC,NOP,39:00,16,3,8,True
2021-02-03,SAC,BOS,38:10,15,0,10,True
2021-02-06,SAC,DEN,39:05,5,7,4,True
2021-02-07,SAC,LAC,38:00,22,2,9,True
2021-02-09,SAC,PHI,37:51,21,4,8,True
2021-02-12,SAC,ORL,33:17,19,4,4,True
2021-02-14,SAC,MEM,31:33,8,1,6,True
2021-02-15,SAC,BRK,33:51,21,4,3,True
2021-02-18,SAC,MIA,24:45,5,3,0,True
2021-02-20,SAC,CHI,35:29,23,3,4,True
2021-02-21,SAC,MIL,30:50,13,3,3,True
2021-02-23,SAC,BRK,36:34,11,4,5,True
2021-02-25,SAC,NYK,30:14,9,1,4,True
2021-02-26,SAC,DET,37:41,14,3,2,True
2021-02-28,SAC,CHO,38:49,30,7,2,True
2021-03-03,SAC,LAL,42:10,29,6,6,True
2021-03-04,SAC,POR,37:02,21,3,6,True
2021-03-11,SAC,HOU,38:09,20,7,6,True
2021-03-13,SAC,ATL,36:48,10,5,4,True
2021-03-15,SAC,CHO,36:49,23,3,6,True
2021-03-17,SAC,WAS,30:47,16,3,5,True
2021-03-19,SAC,BOS,38:00,22,3,5,True
2021-03-20,SAC,PHI,34:07,25,3,5,True
2021-03-22,SAC,CLE,38:11,19,2,6,True
2021-03-24,SAC,ATL,38:25,14,3,3,True
2021-03-25,SAC,GSW,29:49,16,6,6,True
2021-03-27,SAC,CLE,31:57,10,1,3,True
2021-03-29,SAC,SAS,33:43,20,1,4,True
2021-03-31,SAC,SAS,31:08,14,1,1,True
2021-04-02,SAC,LAL,28:50,7,3,6,True
2021-04-03,SAC,MIL,31:48,19,4,3,True
2021-04-05,SAC,MIN,32:22,18,3,7,True
2021-04-08,SAC,DET,32:55,15,0,4,True
2021-04-10,SAC,UTA,33:56,19,7,5,True
2021-04-12,SAC,NOP,N/A,N/A,N/A,N/A,False
2021-04-14,SAC,WAS,35:42,19,2,3,True
2021-04-15,SAC,PHO,33:23,24,2,4,True
2021-04-18,SAC,DAL,22:41,2,1,3,True
2021-04-20,SAC,MIN,29:33,11,2,4,True
2021-04-21,SAC,MIN,38:09,29,5,6,True
2021-04-25,SAC,GSW,36:35,25,3,6,True
2021-04-26,SAC,DAL,30:37,16,5,5,True
2021-04-28,SAC,UTA,30:38,18,7,5,True
2021-04-30,SAC,LAL,32:24,2,7,6,True
2021-05-02,SAC,DAL,42:06,27,3,6,True
2021-05-04,SAC,OKC,37:32,18,4,11,True
2021-05-05,SAC,IND,40:00,16,8,8,True
2021-05-07,SAC,SAS,38:54,17,6,5,True
2021-05-09,SAC,OKC,28:53,14,7,5,True
2021-05-11,SAC,OKC,30:36,21,6,3,True
2021-05-13,SAC,MEM,34:39,16,6,4,True
2021-05-14,SAC,MEM,28:44,11,5,2,True
2021-05-16,SAC,UTA,30:43,13,9,7,True
