Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2023-10-25,BOS,NYK,25:47,8,2,7,False
2023-10-27,BOS,MIA,24:38,0,2,10,False
2023-10-30,BOS,WAS,15:31,8,1,5,False
2023-11-01,BOS,IND,11:03,5,0,4,False
2023-11-04,BOS,BRK,30:12,8,3,7,True
2023-11-06,BOS,MIN,36:02,3,4,5,True
2023-11-08,BOS,PHI,26:13,3,3,5,False
2023-11-10,BOS,BRK,N/A,N/A,N/A,N/A,False
2023-11-11,BOS,TOR,24:01,7,4,7,False
2023-11-13,BOS,NYK,21:45,2,0,4,False
2023-11-15,BOS,PHI,28:49,14,3,8,True
2023-11-17,BOS,TOR,22:50,11,2,4,False
2023-11-19,BOS,MEM,21:35,5,2,3,False
2023-11-20,BOS,CHO,N/A,N/A,N/A,N/A,False
2023-11-22,BOS,MIL,30:37,11,6,8,False
2023-11-24,BOS,ORL,32:58,3,3,5,True
2023-11-26,BOS,ATL,32:24,6,3,15,True
2023-11-28,BOS,CHI,28:24,16,6,9,True
2023-12-01,BOS,PHI,33:19,20,3,6,True
2023-12-04,BOS,IND,31:21,2,4,7,True
2023-12-08,BOS,NYK,27:21,14,2,10,False
2023-12-12,BOS,CLE,22:18,2,1,5,False
2023-12-14,BOS,CLE,23:34,7,3,10,False
2023-12-15,BOS,ORL,N/A,N/A,N/A,N/A,False
2023-12-17,BOS,ORL,23:41,8,2,8,False
2023-12-19,BOS,GSW,38:24,13,6,12,True
2023-12-20,BOS,SAC,N/A,N/A,N/A,N/A,False
2023-12-23,BOS,LAC,26:49,6,5,8,True
2023-12-25,BOS,LAL,23:19,6,1,6,False
2023-12-28,BOS,DET,37:11,8,3,5,True
2023-12-29,BOS,TOR,N/A,N/A,N/A,N/A,False
2023-12-31,BOS,SAS,19:39,7,4,7,True
2024-01-02,BOS,OKC,19:43,7,3,2,False
2024-01-05,BOS,UTA,N/A,N/A,N/A,N/A,False
2024-01-06,BOS,IND,29:35,10,8,7,False
2024-01-08,BOS,IND,32:15,11,0,6,True
2024-01-10,BOS,MIN,38:16,9,5,8,True
2024-01-11,BOS,MIL,N/A,N/A,N/A,N/A,False
2024-01-13,BOS,HOU,20:24,7,1,4,False
2024-01-15,BOS,TOR,35:10,10,2,11,True
2024-01-17,BOS,SAS,24:33,9,0,3,True
2024-01-19,BOS,DEN,27:15,6,2,10,False
2024-01-21,BOS,HOU,N/A,N/A,N/A,N/A,False
2024-01-22,BOS,DAL,31:14,11,3,6,True
2024-01-25,BOS,MIA,22:30,8,6,7,False
2024-01-27,BOS,LAC,19:13,0,1,2,True
2024-01-29,BOS,NOP,36:24,11,4,8,True
2024-01-30,BOS,IND,N/A,N/A,N/A,N/A,False
2024-02-01,BOS,LAL,23:48,6,1,9,False
2024-02-04,BOS,MEM,23:10,11,2,5,True
2024-02-07,BOS,ATL,36:11,14,8,8,True
2024-02-09,BOS,WAS,23:07,6,1,5,False
2024-02-11,BOS,MIA,24:51,4,0,5,False
2024-02-13,BOS,BRK,36:34,16,4,6,True
2024-02-14,BOS,BRK,N/A,N/A,N/A,N/A,False
2024-02-22,BOS,CHI,22:38,0,0,5,False
2024-02-24,BOS,NYK,26:19,10,0,7,False
2024-02-27,BOS,PHI,21:11,8,1,5,False
2024-03-01,BOS,DAL,27:44,12,3,8,False
2024-03-03,BOS,GSW,20:39,7,4,4,True
2024-03-05,BOS,CLE,19:50,7,0,5,False
2024-03-07,BOS,DEN,18:51,2,0,4,False
2024-03-09,BOS,PHO,32:11,9,3,12,True
2024-03-11,BOS,POR,29:51,11,4,4,True
2024-03-12,BOS,UTA,N/A,N/A,N/A,N/A,False
2024-03-14,BOS,PHO,32:48,24,3,3,True
2024-03-17,BOS,WAS,22:48,14,2,4,True
2024-03-18,BOS,DET,N/A,N/A,N/A,N/A,False
2024-03-20,BOS,MIL,38:07,8,4,4,True
2024-03-22,BOS,DET,N/A,N/A,N/A,N/A,False
2024-03-23,BOS,CHI,31:13,23,1,8,True
2024-03-25,BOS,ATL,35:32,7,2,9,True
2024-03-28,BOS,ATL,N/A,N/A,N/A,N/A,False
2024-03-30,BOS,NOP,30:03,9,2,6,False
2024-04-01,BOS,CHO,24:50,15,3,5,True
2024-04-03,BOS,OKC,24:41,16,2,4,False
2024-04-05,BOS,SAC,20:03,8,1,6,True
2024-04-07,BOS,POR,20:55,7,3,6,True
2024-04-09,BOS,MIL,N/A,N/A,N/A,N/A,False
2024-04-11,BOS,NYK,15:32,6,1,2,False
2024-04-12,BOS,CHO,N/A,N/A,N/A,N/A,False
2024-04-14,BOS,WAS,N/A,N/A,N/A,N/A,False
