Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2019-10-22,LAL,LAC,N/A,N/A,N/A,N/A,False
2019-10-25,LAL,UTA,N/A,N/A,N/A,N/A,False
2019-10-27,LAL,CHO,N/A,N/A,N/A,N/A,False
2019-10-29,LAL,MEM,N/A,N/A,N/A,N/A,False
2019-11-01,LAL,DAL,N/A,N/A,N/A,N/A,False
2019-11-03,LAL,SAS,N/A,N/A,N/A,N/A,False
2019-11-05,LAL,CHI,N/A,N/A,N/A,N/A,False
2019-11-08,LAL,MIA,N/A,N/A,N/A,N/A,False
2019-11-10,LAL,TOR,N/A,N/A,N/A,N/A,False
2019-11-12,LAL,PHO,N/A,N/A,N/A,N/A,False
2019-11-13,LAL,GSW,N/A,N/A,N/A,N/A,False
2019-11-15,LAL,SAC,N/A,N/A,N/A,N/A,False
2019-11-17,LAL,ATL,N/A,N/A,N/A,N/A,False
2019-11-19,LAL,OKC,N/A,N/A,N/A,N/A,False
2019-11-22,LAL,OKC,N/A,N/A,N/A,N/A,False
2019-11-23,LAL,MEM,N/A,N/A,N/A,N/A,False
2019-11-25,LAL,SAS,N/A,N/A,N/A,N/A,False
2019-11-27,LAL,NOP,N/A,N/A,N/A,N/A,False
2019-11-29,LAL,WAS,N/A,N/A,N/A,N/A,False
2019-12-01,LAL,DAL,N/A,N/A,N/A,N/A,False
2019-12-03,LAL,DEN,N/A,N/A,N/A,N/A,False
2019-12-04,LAL,UTA,N/A,N/A,N/A,N/A,False
2019-12-06,LAL,POR,N/A,N/A,N/A,N/A,False
2019-12-08,LAL,MIN,2:28,0,1,0,False
2019-12-11,LAL,ORL,N/A,N/A,N/A,N/A,False
2019-12-13,LAL,MIA,N/A,N/A,N/A,N/A,False
2019-12-15,LAL,ATL,N/A,N/A,N/A,N/A,False
2019-12-17,LAL,IND,N/A,N/A,N/A,N/A,False
2019-12-19,LAL,MIL,N/A,N/A,N/A,N/A,False
2019-12-22,LAL,DEN,2:51,0,1,0,False
2019-12-25,LAL,LAC,N/A,N/A,N/A,N/A,False
2019-12-28,LAL,POR,N/A,N/A,N/A,N/A,False
2019-12-29,LAL,DAL,N/A,N/A,N/A,N/A,False
2020-01-01,LAL,PHO,N/A,N/A,N/A,N/A,False
2020-01-03,LAL,NOP,N/A,N/A,N/A,N/A,False
2020-01-05,LAL,DET,N/A,N/A,N/A,N/A,False
2020-01-07,LAL,NYK,N/A,N/A,N/A,N/A,False
2020-01-10,LAL,DAL,N/A,N/A,N/A,N/A,False
2020-01-11,LAL,OKC,N/A,N/A,N/A,N/A,False
2020-01-13,LAL,CLE,N/A,N/A,N/A,N/A,False
2020-01-15,LAL,ORL,N/A,N/A,N/A,N/A,False
2020-01-18,LAL,HOU,N/A,N/A,N/A,N/A,False
2020-01-20,LAL,BOS,N/A,N/A,N/A,N/A,False
2020-01-22,LAL,NYK,N/A,N/A,N/A,N/A,False
2020-01-23,LAL,BRK,N/A,N/A,N/A,N/A,False
2020-01-25,LAL,PHI,N/A,N/A,N/A,N/A,False
2020-01-31,LAL,POR,N/A,N/A,N/A,N/A,False
2020-02-01,LAL,SAC,N/A,N/A,N/A,N/A,False
2020-02-04,LAL,SAS,N/A,N/A,N/A,N/A,False
2020-02-06,LAL,HOU,N/A,N/A,N/A,N/A,False
2020-02-08,LAL,GSW,N/A,N/A,N/A,N/A,False
2020-02-10,LAL,PHO,N/A,N/A,N/A,N/A,False
2020-02-12,LAL,DEN,N/A,N/A,N/A,N/A,False
2020-02-21,LAL,MEM,N/A,N/A,N/A,N/A,False
2020-02-23,LAL,BOS,N/A,N/A,N/A,N/A,False
2020-02-25,LAL,NOP,N/A,N/A,N/A,N/A,False
2020-02-27,LAL,GSW,N/A,N/A,N/A,N/A,False
2020-02-29,LAL,MEM,N/A,N/A,N/A,N/A,False
2020-03-01,LAL,NOP,N/A,N/A,N/A,N/A,False
2020-03-03,LAL,PHI,N/A,N/A,N/A,N/A,False
2020-03-06,LAL,MIL,N/A,N/A,N/A,N/A,False
2020-03-08,LAL,LAC,N/A,N/A,N/A,N/A,False
2020-03-10,LAL,BRK,N/A,N/A,N/A,N/A,False
2020-07-30,LAL,LAC,N/A,N/A,N/A,N/A,False
2020-08-01,LAL,TOR,N/A,N/A,N/A,N/A,False
2020-08-03,LAL,UTA,N/A,N/A,N/A,N/A,False
2020-08-05,LAL,OKC,N/A,N/A,N/A,N/A,False
2020-08-06,LAL,HOU,19:23,10,1,2,False
2020-08-08,LAL,IND,16:28,10,0,1,False
2020-08-10,LAL,DEN,5:58,0,0,0,False
2020-08-13,LAL,SAC,34:01,14,3,4,True
