Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2019-10-24,ATL,DET,25:27,14,0,2,True
2019-10-26,ATL,ORL,22:01,6,1,3,True
2019-10-28,ATL,PHI,30:13,14,1,9,True
2019-10-29,ATL,MIA,27:56,4,2,3,True
2019-10-31,ATL,MIA,28:23,4,1,3,True
2019-11-05,ATL,SAS,36:10,16,1,8,True
2019-11-06,ATL,CHI,26:40,4,3,4,True
2019-11-08,ATL,SAC,22:12,4,2,2,True
2019-11-10,ATL,POR,38:58,14,2,5,True
2019-11-12,ATL,DEN,40:19,12,2,6,True
2019-11-14,ATL,PHO,33:54,14,0,3,True
2019-11-16,ATL,LAC,25:43,12,1,2,True
2019-11-17,ATL,LAL,33:52,11,3,2,True
2019-11-20,ATL,MIL,28:32,27,2,11,True
2019-11-22,ATL,DET,35:17,18,4,2,True
2019-11-23,ATL,TOR,34:53,26,4,1,True
2019-11-25,ATL,MIN,37:16,7,2,3,True
2019-11-27,ATL,MIL,35:20,10,1,5,True
2019-11-29,ATL,IND,40:44,7,2,3,True
2019-11-30,ATL,HOU,29:03,14,1,5,True
2019-12-02,ATL,GSW,31:39,18,1,4,True
2019-12-04,ATL,BRK,N/A,N/A,N/A,N/A,False
2019-12-08,ATL,CHO,27:51,10,5,3,False
2019-12-10,ATL,MIA,40:16,28,3,4,True
2019-12-11,ATL,CHI,23:54,6,1,2,True
2019-12-13,ATL,IND,36:58,21,2,4,True
2019-12-15,ATL,LAL,36:50,8,2,6,True
2019-12-17,ATL,NYK,31:23,19,4,5,True
2019-12-19,ATL,UTA,23:01,5,0,2,True
2019-12-21,ATL,BRK,38:18,14,2,5,True
2019-12-23,ATL,CLE,39:20,23,1,3,True
2019-12-27,ATL,MIL,22:42,5,1,0,True
2019-12-28,ATL,CHI,30:12,6,3,3,True
2019-12-30,ATL,ORL,35:04,16,0,6,True
2020-01-03,ATL,BOS,26:45,11,0,1,True
2020-01-04,ATL,IND,30:10,0,0,2,True
2020-01-06,ATL,DEN,36:57,16,3,3,True
2020-01-08,ATL,HOU,25:42,5,2,2,True
2020-01-10,ATL,WAS,30:19,13,2,5,True
2020-01-12,ATL,BRK,17:28,2,1,1,True
2020-01-14,ATL,PHO,24:12,15,0,3,True
2020-01-17,ATL,SAS,29:07,6,2,6,True
2020-01-18,ATL,DET,30:32,19,3,5,True
2020-01-20,ATL,TOR,27:19,13,4,6,True
2020-01-22,ATL,LAC,36:23,8,1,4,True
2020-01-24,ATL,OKC,30:01,10,0,2,True
2020-01-26,ATL,WAS,27:38,25,2,3,True
2020-01-28,ATL,TOR,33:03,15,4,6,True
2020-01-30,ATL,PHI,36:28,15,4,2,True
2020-02-01,ATL,DAL,N/A,N/A,N/A,N/A,False
2020-02-03,ATL,BOS,N/A,N/A,N/A,N/A,False
2020-02-05,ATL,MIN,29:46,12,2,5,True
2020-02-07,ATL,BOS,34:49,4,1,5,True
2020-02-09,ATL,NYK,47:53,19,1,9,True
2020-02-10,ATL,ORL,33:29,10,1,3,True
2020-02-12,ATL,CLE,35:31,12,3,8,True
2020-02-20,ATL,MIA,29:57,17,2,6,True
2020-02-22,ATL,DAL,N/A,N/A,N/A,N/A,False
2020-02-24,ATL,PHI,39:03,22,2,7,True
2020-02-26,ATL,ORL,35:30,2,1,11,True
2020-02-28,ATL,BRK,32:00,18,2,10,True
2020-02-29,ATL,POR,38:15,22,0,4,True
2020-03-02,ATL,MEM,30:27,6,3,7,True
2020-03-06,ATL,WAS,37:01,10,2,9,True
2020-03-07,ATL,MEM,28:15,6,1,5,True
2020-03-09,ATL,CHO,37:19,13,2,11,True
2020-03-11,ATL,NYK,36:13,15,1,6,True
