Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2021-10-20,UTA,OKC,26:05,14,3,3,False
2021-10-22,UTA,SAC,5:44,0,0,0,False
2021-10-26,UTA,DEN,27:38,13,4,5,False
2021-10-28,UTA,HOU,26:02,14,2,5,False
2021-10-30,UTA,CHI,31:53,9,2,6,True
2021-10-31,UTA,MIL,22:32,5,1,1,False
2021-11-02,UTA,SAC,26:10,3,4,2,False
2021-11-04,UTA,ATL,27:43,19,3,4,True
2021-11-06,UTA,MIA,26:40,3,5,1,False
2021-11-07,UTA,ORL,34:26,5,6,3,True
2021-11-09,UTA,ATL,21:14,2,1,4,False
2021-11-11,UTA,IND,26:22,7,4,4,False
2021-11-13,UTA,MIA,23:13,4,2,1,False
2021-11-16,UTA,PHI,26:08,3,7,3,False
2021-11-18,UTA,TOR,23:46,10,8,7,False
2021-11-20,UTA,SAC,23:29,9,3,1,False
2021-11-22,UTA,MEM,24:07,2,2,1,False
2021-11-24,UTA,OKC,21:44,3,2,1,False
2021-11-26,UTA,NOP,22:39,12,1,5,False
2021-11-27,UTA,NOP,26:41,15,1,5,True
2021-11-29,UTA,POR,28:47,14,6,2,True
2021-12-03,UTA,BOS,22:28,9,2,3,False
2021-12-05,UTA,CLE,20:35,7,3,2,False
2021-12-08,UTA,MIN,25:10,11,7,4,False
2021-12-09,UTA,PHI,24:14,11,7,2,False
2021-12-11,UTA,WAS,22:18,4,3,4,False
2021-12-15,UTA,LAC,26:05,3,5,1,False
2021-12-17,UTA,SAS,25:25,5,4,2,False
2021-12-18,UTA,WAS,29:10,9,2,6,True
2021-12-20,UTA,CHO,26:26,6,4,5,False
2021-12-23,UTA,MIN,23:00,16,5,4,False
2021-12-25,UTA,DAL,26:03,2,6,2,False
2021-12-27,UTA,SAS,31:41,17,3,3,True
2021-12-29,UTA,POR,30:47,5,3,3,True
2021-12-31,UTA,MIN,N/A,N/A,N/A,N/A,False
2022-01-01,UTA,GSW,25:53,2,2,0,False
2022-01-03,UTA,NOP,26:08,2,6,1,False
2022-01-05,UTA,DEN,N/A,N/A,N/A,N/A,False
2022-01-07,UTA,TOR,N/A,N/A,N/A,N/A,False
2022-01-08,UTA,IND,N/A,N/A,N/A,N/A,False
2022-01-10,UTA,DET,N/A,N/A,N/A,N/A,False
2022-01-12,UTA,CLE,13:24,2,0,1,True
2022-01-16,UTA,DEN,20:42,3,5,4,False
2022-01-17,UTA,LAL,23:33,9,0,2,False
2022-01-19,UTA,HOU,31:00,10,6,5,True
2022-01-21,UTA,DET,32:16,5,5,3,True
2022-01-23,UTA,GSW,33:19,10,5,1,True
2022-01-24,UTA,PHO,N/A,N/A,N/A,N/A,False
2022-01-26,UTA,PHO,25:30,6,1,3,True
2022-01-28,UTA,MEM,21:28,5,4,4,True
2022-01-30,UTA,MIN,12:27,0,3,2,True
2022-02-02,UTA,DEN,N/A,N/A,N/A,N/A,False
2022-02-04,UTA,BRK,N/A,N/A,N/A,N/A,False
2022-02-07,UTA,NYK,N/A,N/A,N/A,N/A,False
2022-02-12,POR,NYK,N/A,N/A,N/A,N/A,False
2022-02-14,POR,MIL,N/A,N/A,N/A,N/A,False
2022-02-16,POR,MEM,N/A,N/A,N/A,N/A,False
2022-02-24,POR,GSW,N/A,N/A,N/A,N/A,False
2022-02-27,POR,DEN,N/A,N/A,N/A,N/A,False
2022-03-02,POR,PHO,N/A,N/A,N/A,N/A,False
2022-03-05,POR,MIN,N/A,N/A,N/A,N/A,False
2022-03-07,POR,MIN,N/A,N/A,N/A,N/A,False
2022-03-09,POR,UTA,N/A,N/A,N/A,N/A,False
2022-03-12,POR,WAS,N/A,N/A,N/A,N/A,False
2022-03-14,POR,ATL,N/A,N/A,N/A,N/A,False
2022-03-16,POR,NYK,N/A,N/A,N/A,N/A,False
2022-03-18,POR,BRK,N/A,N/A,N/A,N/A,False
2022-03-20,POR,IND,N/A,N/A,N/A,N/A,False
2022-03-21,POR,DET,N/A,N/A,N/A,N/A,False
2022-03-23,POR,SAS,N/A,N/A,N/A,N/A,False
2022-03-25,POR,HOU,N/A,N/A,N/A,N/A,False
2022-03-26,POR,HOU,N/A,N/A,N/A,N/A,False
2022-03-28,POR,OKC,N/A,N/A,N/A,N/A,False
2022-03-30,POR,NOP,N/A,N/A,N/A,N/A,False
2022-04-01,POR,SAS,N/A,N/A,N/A,N/A,False
2022-04-03,POR,SAS,N/A,N/A,N/A,N/A,False
2022-04-05,POR,OKC,N/A,N/A,N/A,N/A,False
2022-04-07,POR,NOP,N/A,N/A,N/A,N/A,False
2022-04-08,POR,DAL,N/A,N/A,N/A,N/A,False
2022-04-10,POR,UTA,N/A,N/A,N/A,N/A,False
