Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2022-10-19,BRK,NOP,34:10,15,5,2,True
2022-10-21,BRK,TOR,40:34,30,7,1,True
2022-10-24,BRK,MEM,38:43,37,5,8,True
2022-10-26,BRK,MIL,38:59,27,1,9,True
2022-10-27,BRK,DAL,42:04,39,4,7,True
2022-10-29,BRK,IND,39:31,35,6,2,True
2022-10-31,BRK,IND,42:42,28,6,6,True
2022-11-01,BRK,CHI,32:46,4,7,6,True
2022-11-04,BRK,WAS,N/A,N/A,N/A,N/A,False
2022-11-05,BRK,CHO,N/A,N/A,N/A,N/A,False
2022-11-07,BRK,DAL,N/A,N/A,N/A,N/A,False
2022-11-09,BRK,NYK,N/A,N/A,N/A,N/A,False
2022-11-12,BRK,LAC,N/A,N/A,N/A,N/A,False
2022-11-13,BRK,LAL,N/A,N/A,N/A,N/A,False
2022-11-15,BRK,SAC,N/A,N/A,N/A,N/A,False
2022-11-17,BRK,POR,N/A,N/A,N/A,N/A,False
2022-11-20,BRK,MEM,26:02,14,0,5,True
2022-11-22,BRK,PHI,30:32,23,2,2,True
2022-11-23,BRK,TOR,28:16,29,3,1,True
2022-11-25,BRK,IND,38:08,20,4,4,True
2022-11-27,BRK,POR,37:57,22,6,5,True
2022-11-28,BRK,ORL,38:43,20,3,2,True
2022-11-30,BRK,WAS,38:10,27,5,1,True
2022-12-02,BRK,TOR,39:14,27,5,5,True
2022-12-04,BRK,BOS,40:01,18,5,8,True
2022-12-07,BRK,CHO,34:20,33,9,5,True
2022-12-09,BRK,ATL,39:21,33,3,11,True
2022-12-10,BRK,IND,N/A,N/A,N/A,N/A,False
2022-12-12,BRK,WAS,36:12,24,5,6,True
2022-12-16,BRK,TOR,35:12,32,5,3,True
2022-12-18,BRK,DET,34:23,38,3,6,True
2022-12-21,BRK,GSW,N/A,N/A,N/A,N/A,False
2022-12-23,BRK,MIL,35:17,18,6,9,True
2022-12-26,BRK,CLE,39:30,32,5,4,True
2022-12-28,BRK,ATL,37:23,28,8,5,True
2022-12-31,BRK,CHO,33:14,28,4,6,True
2023-01-02,BRK,SAS,28:35,27,0,8,True
2023-01-04,BRK,CHI,37:54,25,8,4,True
2023-01-06,BRK,NOP,38:18,19,6,5,True
2023-01-08,BRK,MIA,40:15,29,6,1,True
2023-01-12,BRK,BOS,38:01,24,6,2,True
2023-01-15,BRK,OKC,38:08,15,6,6,True
2023-01-17,BRK,SAS,N/A,N/A,N/A,N/A,False
2023-01-19,BRK,PHO,38:31,30,7,7,True
2023-01-20,BRK,UTA,39:00,48,6,11,True
2023-01-22,BRK,GSW,40:45,38,9,7,True
2023-01-25,BRK,PHI,38:02,30,10,2,True
2023-01-26,BRK,DET,38:04,40,6,5,True
2023-01-28,BRK,NYK,41:21,32,9,6,True
2023-01-30,BRK,LAL,38:32,26,6,7,True
2023-02-01,BRK,BOS,31:01,20,4,4,True
2023-02-04,BRK,WAS,N/A,N/A,N/A,N/A,False
2023-02-06,DAL,UTA,N/A,N/A,N/A,N/A,False
2023-02-08,DAL,LAC,36:48,24,5,4,True
2023-02-10,DAL,SAC,35:00,25,10,3,True
2023-02-11,DAL,SAC,41:52,28,7,7,True
2023-02-13,DAL,MIN,39:50,36,6,5,True
2023-02-15,DAL,DEN,N/A,N/A,N/A,N/A,False
2023-02-23,DAL,SAS,29:58,23,6,1,True
2023-02-26,DAL,LAL,37:51,21,5,11,True
2023-02-28,DAL,IND,36:23,16,9,5,True
2023-03-02,DAL,PHI,42:18,40,6,4,True
2023-03-05,DAL,PHO,36:40,30,7,4,True
2023-03-07,DAL,UTA,38:40,33,8,6,True
2023-03-08,DAL,NOP,41:06,27,4,6,True
2023-03-11,DAL,MEM,N/A,N/A,N/A,N/A,False
2023-03-13,DAL,MEM,N/A,N/A,N/A,N/A,False
2023-03-15,DAL,SAS,N/A,N/A,N/A,N/A,False
2023-03-17,DAL,LAL,38:38,38,6,6,True
2023-03-20,DAL,MEM,33:22,28,0,4,True
2023-03-22,DAL,GSW,N/A,N/A,N/A,N/A,False
2023-03-24,DAL,CHO,38:29,18,7,9,True
2023-03-26,DAL,CHO,35:30,18,3,4,True
2023-03-27,DAL,IND,29:50,16,6,3,True
2023-03-29,DAL,PHI,40:06,23,5,6,True
2023-04-01,DAL,MIA,42:30,23,8,3,True
2023-04-02,DAL,ATL,44:22,41,4,5,True
2023-04-05,DAL,SAC,43:23,31,8,4,True
2023-04-07,DAL,CHI,N/A,N/A,N/A,N/A,False
2023-04-09,DAL,SAS,N/A,N/A,N/A,N/A,False
