Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2019-10-22,LAL,LAC,36:00,18,8,10,True
2019-10-25,LAL,UTA,30:34,32,10,7,True
2019-10-27,LAL,CHO,35:01,20,12,6,True
2019-10-29,LAL,MEM,28:19,23,8,2,True
2019-11-01,LAL,DAL,42:32,39,16,12,True
2019-11-03,LAL,SAS,37:18,21,13,11,True
2019-11-05,LAL,CHI,35:11,30,11,10,True
2019-11-08,LAL,MIA,36:03,25,6,4,True
2019-11-10,LAL,TOR,35:20,13,15,13,True
2019-11-12,LAL,PHO,37:04,19,11,7,True
2019-11-13,LAL,GSW,26:29,23,12,6,True
2019-11-15,LAL,SAC,38:40,29,11,4,True
2019-11-17,LAL,ATL,33:07,33,12,7,True
2019-11-19,LAL,OKC,37:08,25,10,11,True
2019-11-22,LAL,OKC,35:37,23,14,6,True
2019-11-23,LAL,MEM,38:50,30,4,6,True
2019-11-25,LAL,SAS,35:08,33,14,4,True
2019-11-27,LAL,NOP,37:35,29,11,5,True
2019-11-29,LAL,WAS,24:36,23,11,3,True
2019-12-01,LAL,DAL,36:25,25,8,9,True
2019-12-03,LAL,DEN,36:53,25,9,6,True
2019-12-04,LAL,UTA,29:28,20,12,4,True
2019-12-06,LAL,POR,33:45,31,8,7,True
2019-12-08,LAL,MIN,27:51,32,13,4,True
2019-12-11,LAL,ORL,37:55,25,10,11,True
2019-12-13,LAL,MIA,37:26,28,12,9,True
2019-12-15,LAL,ATL,36:56,32,7,13,True
2019-12-17,LAL,IND,34:54,20,9,9,True
2019-12-19,LAL,MIL,36:44,21,11,12,True
2019-12-22,LAL,DEN,N/A,N/A,N/A,N/A,False
2019-12-25,LAL,LAC,38:50,23,10,9,True
2019-12-28,LAL,POR,36:44,21,16,7,True
2019-12-29,LAL,DAL,34:19,13,13,6,True
2020-01-01,LAL,PHO,38:04,31,12,13,True
2020-01-03,LAL,NOP,37:13,17,15,8,True
2020-01-05,LAL,DET,35:01,21,11,14,True
2020-01-07,LAL,NYK,31:26,31,5,5,True
2020-01-10,LAL,DAL,32:16,35,7,16,True
2020-01-11,LAL,OKC,N/A,N/A,N/A,N/A,False
2020-01-13,LAL,CLE,32:43,31,8,2,True
2020-01-15,LAL,ORL,36:15,19,19,3,True
2020-01-18,LAL,HOU,35:24,31,12,5,True
2020-01-20,LAL,BOS,29:11,15,13,7,True
2020-01-22,LAL,NYK,36:03,21,5,6,True
2020-01-23,LAL,BRK,33:36,27,10,11,True
2020-01-25,LAL,PHI,35:21,29,8,7,True
2020-01-31,LAL,POR,37:59,22,10,8,True
2020-02-01,LAL,SAC,33:34,15,11,10,True
2020-02-04,LAL,SAS,34:11,36,9,7,True
2020-02-06,LAL,HOU,36:38,18,15,9,True
2020-02-08,LAL,GSW,33:34,22,11,8,True
2020-02-10,LAL,PHO,30:05,17,9,8,True
2020-02-12,LAL,DEN,41:30,32,14,12,True
2020-02-21,LAL,MEM,35:35,32,7,3,True
2020-02-23,LAL,BOS,35:29,29,9,8,True
2020-02-25,LAL,NOP,34:12,40,6,8,True
2020-02-27,LAL,GSW,N/A,N/A,N/A,N/A,False
2020-02-29,LAL,MEM,34:19,19,10,8,True
2020-03-01,LAL,NOP,36:23,34,13,12,True
2020-03-03,LAL,PHI,33:45,22,14,7,True
2020-03-06,LAL,MIL,36:30,37,8,8,True
2020-03-08,LAL,LAC,34:31,28,9,8,True
2020-03-10,LAL,BRK,34:52,29,9,12,True
2020-07-30,LAL,LAC,34:18,16,7,11,True
2020-08-01,LAL,TOR,34:36,20,5,10,True
2020-08-03,LAL,UTA,34:53,22,9,8,True
2020-08-05,LAL,OKC,30:17,19,4,11,True
2020-08-06,LAL,HOU,N/A,N/A,N/A,N/A,False
2020-08-08,LAL,IND,35:09,31,7,8,True
2020-08-10,LAL,DEN,38:06,29,12,1,True
2020-08-13,LAL,SAC,14:36,17,4,3,True
