Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2023-10-25,OKC,CHI,21:37,14,2,5,False
2023-10-27,OKC,CLE,22:18,5,2,3,False
2023-10-29,OKC,DEN,16:42,5,1,2,False
2023-10-30,OKC,DET,19:36,9,0,0,False
2023-11-01,OKC,NOP,14:28,9,1,1,False
2023-11-03,OKC,GSW,26:13,16,1,0,False
2023-11-06,OKC,ATL,20:06,12,3,3,False
2023-11-08,OKC,CLE,18:08,6,0,3,False
2023-11-10,OKC,SAC,20:14,9,0,1,False
2023-11-12,OKC,PHO,16:23,3,1,1,False
2023-11-14,OKC,SAS,13:38,8,1,2,False
2023-11-16,OKC,GSW,25:03,23,0,5,False
2023-11-18,OKC,GSW,26:39,10,3,4,False
2023-11-19,OKC,POR,14:13,15,1,1,False
2023-11-22,OKC,CHI,27:06,20,0,1,False
2023-11-25,OKC,PHI,25:35,13,2,3,False
2023-11-28,OKC,MIN,23:48,9,3,1,False
2023-11-30,OKC,LAL,19:46,10,0,5,False
2023-12-02,OKC,DAL,25:07,6,2,7,False
2023-12-06,OKC,HOU,13:34,3,0,1,False
2023-12-08,OKC,GSW,22:42,5,1,1,False
2023-12-11,OKC,UTA,14:30,9,1,0,False
2023-12-14,OKC,SAC,15:23,6,0,1,False
2023-12-16,OKC,DEN,26:42,12,1,2,False
2023-12-18,OKC,MEM,19:28,5,3,4,False
2023-12-21,OKC,LAC,25:14,11,0,2,False
2023-12-23,OKC,LAL,20:19,7,1,5,False
2023-12-26,OKC,MIN,16:16,8,2,2,False
2023-12-27,OKC,NYK,15:51,8,0,2,False
2023-12-29,OKC,DEN,13:15,5,1,1,False
2023-12-31,OKC,BRK,15:54,7,0,1,False
2024-01-02,OKC,BOS,12:32,10,0,3,False
2024-01-03,OKC,ATL,17:43,9,1,1,False
2024-01-05,OKC,BRK,19:52,3,1,1,False
2024-01-08,OKC,WAS,21:22,16,3,4,False
2024-01-10,OKC,MIA,22:01,11,0,2,False
2024-01-11,OKC,POR,6:57,0,1,1,False
2024-01-13,OKC,ORL,16:19,9,1,2,False
2024-01-15,OKC,LAL,20:02,4,1,7,False
2024-01-16,OKC,LAC,23:25,15,3,6,False
2024-01-18,OKC,UTA,11:45,6,1,2,False
2024-01-20,OKC,MIN,22:10,5,5,5,False
2024-01-23,OKC,POR,19:52,9,2,1,False
2024-01-24,OKC,SAS,12:49,9,0,1,False
2024-01-26,OKC,NOP,12:31,2,0,1,False
2024-01-28,OKC,DET,11:19,4,0,1,False
2024-01-29,OKC,MIN,16:16,5,0,4,False
2024-01-31,OKC,DEN,N/A,N/A,N/A,N/A,False
2024-02-02,OKC,CHO,N/A,N/A,N/A,N/A,False
2024-02-04,OKC,TOR,N/A,N/A,N/A,N/A,False
2024-02-06,OKC,UTA,N/A,N/A,N/A,N/A,False
2024-02-10,OKC,DAL,16:18,6,1,1,False
2024-02-11,OKC,SAC,16:21,3,2,3,False
2024-02-13,OKC,ORL,13:26,10,1,1,False
2024-02-22,OKC,LAC,19:01,9,1,2,False
2024-02-23,OKC,WAS,20:06,8,5,2,False
2024-02-25,OKC,HOU,16:55,5,0,3,False
2024-02-27,OKC,HOU,16:03,2,1,2,False
2024-02-29,OKC,SAS,22:55,15,0,1,False
2024-03-03,OKC,PHO,14:31,8,0,1,False
2024-03-04,OKC,LAL,13:41,0,0,2,False
2024-03-06,OKC,POR,16:00,0,2,1,False
2024-03-08,OKC,MIA,19:25,10,1,4,False
2024-03-10,OKC,MEM,15:42,7,0,1,False
2024-03-12,OKC,IND,18:45,6,1,3,False
2024-03-14,OKC,DAL,18:32,8,2,2,False
2024-03-16,OKC,MEM,19:55,10,1,2,False
2024-03-20,OKC,UTA,14:09,0,0,1,False
2024-03-22,OKC,TOR,17:18,8,2,1,False
2024-03-24,OKC,MIL,8:08,6,0,1,False
2024-03-26,OKC,NOP,16:13,6,2,3,False
2024-03-27,OKC,HOU,33:28,17,6,3,False
2024-03-29,OKC,PHO,21:52,14,1,3,False
2024-03-31,OKC,NYK,15:37,6,0,2,False
2024-04-02,OKC,PHI,27:53,14,7,4,False
2024-04-03,OKC,BOS,20:25,13,0,3,False
2024-04-05,OKC,IND,31:52,10,3,4,True
2024-04-07,OKC,CHO,21:01,10,3,1,False
2024-04-09,OKC,SAC,19:58,10,1,4,False
2024-04-10,OKC,SAS,12:25,8,0,3,False
2024-04-12,OKC,MIL,14:02,0,3,2,False
2024-04-14,OKC,DAL,10:11,2,1,2,False
