Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2022-10-19,POR,SAC,N/A,N/A,N/A,N/A,False
2022-10-21,POR,PHO,N/A,N/A,N/A,N/A,False
2022-10-23,POR,LAL,N/A,N/A,N/A,N/A,False
2022-10-24,POR,DEN,9:38,3,1,2,False
2022-10-26,POR,MIA,8:17,2,1,3,False
2022-10-28,POR,HOU,16:48,8,1,1,False
2022-11-02,POR,MEM,17:34,10,3,5,False
2022-11-04,POR,PHO,23:13,11,1,2,False
2022-11-05,POR,PHO,30:51,8,3,2,False
2022-11-07,POR,MIA,N/A,N/A,N/A,N/A,False
2022-11-09,POR,CHO,N/A,N/A,N/A,N/A,False
2022-11-10,POR,NOP,N/A,N/A,N/A,N/A,False
2022-11-12,POR,DAL,N/A,N/A,N/A,N/A,False
2022-11-15,POR,SAS,N/A,N/A,N/A,N/A,False
2022-11-17,POR,BRK,N/A,N/A,N/A,N/A,False
2022-11-19,POR,UTA,N/A,N/A,N/A,N/A,False
2022-11-21,POR,MIL,N/A,N/A,N/A,N/A,False
2022-11-23,POR,CLE,N/A,N/A,N/A,N/A,False
2022-11-25,POR,NYK,N/A,N/A,N/A,N/A,False
2022-11-27,POR,BRK,N/A,N/A,N/A,N/A,False
2022-11-29,POR,LAC,N/A,N/A,N/A,N/A,False
2022-11-30,POR,LAL,N/A,N/A,N/A,N/A,False
2022-12-03,POR,UTA,N/A,N/A,N/A,N/A,False
2022-12-04,POR,IND,N/A,N/A,N/A,N/A,False
2022-12-08,POR,DEN,0:29,3,0,0,False
2022-12-10,POR,MIN,N/A,N/A,N/A,N/A,False
2022-12-12,POR,MIN,6:03,0,1,1,False
2022-12-14,POR,SAS,3:14,3,0,0,False
2022-12-16,POR,DAL,18:41,13,3,3,False
2022-12-17,POR,HOU,17:13,6,1,3,False
2022-12-19,POR,OKC,13:33,9,1,4,False
2022-12-21,POR,OKC,7:51,3,1,0,False
2022-12-23,POR,DEN,15:48,6,2,1,False
2022-12-26,POR,CHO,18:03,8,1,1,False
2022-12-30,POR,GSW,N/A,N/A,N/A,N/A,False
2023-01-02,POR,DET,8:31,4,1,2,False
2023-01-04,POR,MIN,15:10,3,0,3,False
2023-01-06,POR,IND,7:59,0,0,0,False
2023-01-08,POR,TOR,4:27,0,0,1,False
2023-01-10,POR,ORL,0:02,0,0,0,False
2023-01-12,POR,CLE,N/A,N/A,N/A,N/A,False
2023-01-14,POR,DAL,5:56,0,0,0,False
2023-01-15,POR,DAL,4:01,0,1,0,False
2023-01-17,POR,DEN,2:22,4,1,0,False
2023-01-19,POR,PHI,N/A,N/A,N/A,N/A,False
2023-01-22,POR,LAL,N/A,N/A,N/A,N/A,False
2023-01-23,POR,SAS,5:16,3,1,0,False
2023-01-25,POR,UTA,N/A,N/A,N/A,N/A,False
2023-01-28,POR,TOR,1:32,3,0,0,False
2023-01-30,POR,ATL,N/A,N/A,N/A,N/A,False
2023-02-01,POR,MEM,N/A,N/A,N/A,N/A,False
2023-02-03,POR,WAS,N/A,N/A,N/A,N/A,False
2023-02-04,POR,CHI,N/A,N/A,N/A,N/A,False
2023-02-06,POR,MIL,N/A,N/A,N/A,N/A,False
2023-02-08,POR,GSW,N/A,N/A,N/A,N/A,False
2023-02-10,POR,OKC,1:41,2,0,0,False
2023-02-13,POR,LAL,6:42,2,1,0,False
2023-02-14,POR,WAS,2:45,0,1,0,False
2023-02-23,POR,SAC,18:43,16,3,1,False
2023-02-26,POR,HOU,8:49,0,3,0,False
2023-02-28,POR,GSW,12:50,4,3,0,False
2023-03-01,POR,NOP,0:44,0,0,0,False
2023-03-03,POR,ATL,2:17,2,0,0,False
2023-03-05,POR,ORL,N/A,N/A,N/A,N/A,False
2023-03-06,POR,DET,N/A,N/A,N/A,N/A,False
2023-03-08,POR,BOS,5:47,4,2,1,False
2023-03-10,POR,PHI,N/A,N/A,N/A,N/A,False
2023-03-12,POR,NOP,12:00,1,3,2,False
2023-03-14,POR,NYK,1:50,2,2,0,False
2023-03-17,POR,BOS,0:43,0,0,0,False
2023-03-19,POR,LAC,N/A,N/A,N/A,N/A,False
2023-03-22,POR,UTA,N/A,N/A,N/A,N/A,False
2023-03-24,POR,CHI,26:21,12,6,2,False
2023-03-26,POR,OKC,21:08,14,5,1,False
2023-03-27,POR,NOP,31:24,20,6,3,False
2023-03-29,POR,SAC,N/A,N/A,N/A,N/A,False
2023-03-31,POR,SAC,N/A,N/A,N/A,N/A,False
2023-04-02,POR,MIN,N/A,N/A,N/A,N/A,False
2023-04-04,POR,MEM,N/A,N/A,N/A,N/A,False
2023-04-06,POR,SAS,N/A,N/A,N/A,N/A,False
2023-04-08,POR,LAC,N/A,N/A,N/A,N/A,False
2023-04-09,POR,GSW,N/A,N/A,N/A,N/A,False
