Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2019-10-23,MIA,MEM,15:54,4,0,1,False
2019-10-26,MIA,MIL,15:32,14,0,2,False
2019-10-27,MIA,MIN,N/A,N/A,N/A,N/A,False
2019-10-29,MIA,ATL,N/A,N/A,N/A,N/A,False
2019-10-31,MIA,ATL,N/A,N/A,N/A,N/A,False
2019-11-03,MIA,HOU,N/A,N/A,N/A,N/A,False
2019-11-05,MIA,DEN,16:51,8,0,1,False
2019-11-07,MIA,PHO,9:10,2,2,4,False
2019-11-08,MIA,LAL,N/A,N/A,N/A,N/A,False
2019-11-12,MIA,DET,N/A,N/A,N/A,N/A,False
2019-11-14,MIA,CLE,N/A,N/A,N/A,N/A,False
2019-11-16,MIA,NOP,N/A,N/A,N/A,N/A,False
2019-11-20,MIA,CLE,N/A,N/A,N/A,N/A,False
2019-11-22,MIA,CHI,N/A,N/A,N/A,N/A,False
2019-11-23,MIA,PHI,N/A,N/A,N/A,N/A,False
2019-11-25,MIA,CHO,N/A,N/A,N/A,N/A,False
2019-11-27,MIA,HOU,N/A,N/A,N/A,N/A,False
2019-11-29,MIA,GSW,N/A,N/A,N/A,N/A,False
2019-12-01,MIA,BRK,0:10,0,0,0,False
2019-12-03,MIA,TOR,16:09,5,1,3,False
2019-12-04,MIA,BOS,5:19,0,1,2,False
2019-12-06,MIA,WAS,26:41,5,2,3,False
2019-12-08,MIA,CHI,26:04,3,1,4,False
2019-12-10,MIA,ATL,34:40,9,2,7,False
2019-12-13,MIA,LAL,27:54,17,4,4,False
2019-12-14,MIA,DAL,28:44,9,1,4,False
2019-12-16,MIA,MEM,31:00,15,0,1,False
2019-12-18,MIA,PHI,32:15,13,1,6,False
2019-12-20,MIA,NYK,26:04,14,0,7,False
2019-12-23,MIA,UTA,31:42,8,0,6,False
2019-12-27,MIA,IND,27:12,7,1,6,False
2019-12-28,MIA,PHI,37:04,13,3,6,False
2019-12-30,MIA,WAS,30:38,9,0,4,False
2020-01-02,MIA,TOR,28:14,10,0,6,False
2020-01-03,MIA,ORL,31:34,5,0,2,False
2020-01-05,MIA,POR,36:15,19,2,6,True
2020-01-08,MIA,IND,29:51,18,0,7,False
2020-01-10,MIA,BRK,23:26,6,2,4,False
2020-01-12,MIA,NYK,18:42,3,0,2,False
2020-01-15,MIA,SAS,24:44,7,1,12,False
2020-01-17,MIA,OKC,24:30,13,0,5,False
2020-01-19,MIA,SAS,15:36,6,2,3,False
2020-01-20,MIA,SAC,27:48,7,1,3,True
2020-01-22,MIA,WAS,28:37,6,0,4,False
2020-01-24,MIA,LAC,19:47,4,0,5,False
2020-01-27,MIA,ORL,22:18,8,1,2,False
2020-01-28,MIA,BOS,22:06,10,1,4,False
2020-02-01,MIA,ORL,27:38,3,3,7,False
2020-02-03,MIA,PHI,37:28,15,1,3,False
2020-02-05,MIA,LAC,31:21,25,3,9,False
2020-02-07,MIA,SAC,29:49,9,0,6,True
2020-02-09,MIA,POR,25:13,11,0,3,True
2020-02-10,MIA,GSW,19:47,8,0,1,True
2020-02-12,MIA,UTA,24:02,0,0,2,True
2020-02-20,MIA,ATL,13:07,6,2,4,False
2020-02-22,MIA,CLE,27:00,13,4,4,True
2020-02-24,MIA,CLE,36:40,10,0,7,True
2020-02-26,MIA,MIN,19:50,14,1,1,False
2020-02-28,MIA,DAL,22:15,4,4,1,True
2020-02-29,MIA,BRK,19:43,12,1,6,True
2020-03-02,MIA,MIL,17:52,4,2,4,True
2020-03-04,MIA,ORL,20:49,9,2,2,True
2020-03-06,MIA,NOP,23:03,7,1,7,True
2020-03-08,MIA,WAS,30:52,4,3,8,True
2020-03-11,MIA,CHO,29:39,23,1,2,True
2020-08-01,MIA,DEN,12:25,1,1,2,False
2020-08-03,MIA,TOR,0:16,0,0,0,False
2020-08-04,MIA,BOS,20:51,6,0,2,False
2020-08-06,MIA,MIL,14:58,12,1,4,False
2020-08-08,MIA,PHO,24:00,2,0,3,True
2020-08-10,MIA,IND,21:17,18,0,5,False
2020-08-12,MIA,OKC,16:33,4,1,2,False
2020-08-14,MIA,IND,16:03,3,2,2,False
