Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2022-10-19,NOP,BRK,27:58,6,3,4,True
2022-10-21,NOP,CHO,31:59,7,2,2,True
2022-10-23,NOP,UTA,35:27,9,1,4,True
2022-10-25,NOP,DAL,N/A,N/A,N/A,N/A,False
2022-10-28,NOP,PHO,N/A,N/A,N/A,N/A,False
2022-10-30,NOP,LAC,N/A,N/A,N/A,N/A,False
2022-11-02,NOP,LAL,N/A,N/A,N/A,N/A,False
2022-11-04,NOP,GSW,29:23,4,2,1,True
2022-11-05,NOP,ATL,33:42,19,2,9,True
2022-11-07,NOP,IND,28:34,16,2,2,True
2022-11-09,NOP,CHI,27:55,17,3,4,True
2022-11-10,NOP,POR,34:15,10,2,3,True
2022-11-12,NOP,HOU,19:27,6,1,3,True
2022-11-15,NOP,MEM,22:33,10,2,3,True
2022-11-16,NOP,CHI,31:36,10,3,4,True
2022-11-18,NOP,BOS,35:34,17,2,7,True
2022-11-21,NOP,GSW,19:46,3,2,3,True
2022-11-23,NOP,SAS,18:50,9,1,2,True
2022-11-25,NOP,MEM,22:37,13,3,5,True
2022-11-28,NOP,OKC,38:40,12,3,3,True
2022-11-30,NOP,TOR,20:15,12,1,4,True
2022-12-02,NOP,SAS,N/A,N/A,N/A,N/A,False
2022-12-04,NOP,DEN,N/A,N/A,N/A,N/A,False
2022-12-07,NOP,DET,N/A,N/A,N/A,N/A,False
2022-12-09,NOP,PHO,N/A,N/A,N/A,N/A,False
2022-12-11,NOP,PHO,N/A,N/A,N/A,N/A,False
2022-12-13,NOP,UTA,20:28,6,2,0,True
2022-12-15,NOP,UTA,21:12,12,4,4,True
2022-12-17,NOP,PHO,31:20,8,4,3,True
2022-12-19,NOP,MIL,30:44,9,1,2,True
2022-12-22,NOP,SAS,34:26,12,2,3,True
2022-12-23,NOP,OKC,36:33,15,3,6,True
2022-12-26,NOP,IND,N/A,N/A,N/A,N/A,False
2022-12-28,NOP,MIN,N/A,N/A,N/A,N/A,False
2022-12-30,NOP,PHI,N/A,N/A,N/A,N/A,False
2022-12-31,NOP,MEM,27:59,4,3,11,True
2023-01-02,NOP,PHI,29:27,8,2,3,True
2023-01-04,NOP,HOU,30:34,9,0,5,True
2023-01-06,NOP,BRK,25:30,5,3,2,True
2023-01-07,NOP,DAL,33:55,16,1,6,True
2023-01-09,NOP,WAS,12:31,5,0,0,True
2023-01-11,NOP,BOS,N/A,N/A,N/A,N/A,False
2023-01-13,NOP,DET,N/A,N/A,N/A,N/A,False
2023-01-16,NOP,CLE,N/A,N/A,N/A,N/A,False
2023-01-18,NOP,MIA,N/A,N/A,N/A,N/A,False
2023-01-20,NOP,ORL,18:51,10,3,1,True
2023-01-22,NOP,MIA,30:21,11,4,4,True
2023-01-24,NOP,DEN,23:38,6,1,6,True
2023-01-25,NOP,MIN,26:05,4,1,5,True
2023-01-28,NOP,WAS,31:21,8,1,4,True
2023-01-29,NOP,MIL,27:10,11,2,5,True
2023-01-31,NOP,DEN,36:40,21,4,4,True
2023-02-02,NOP,DAL,35:20,9,1,2,True
2023-02-04,NOP,LAL,40:26,4,3,4,True
2023-02-05,NOP,SAC,33:16,5,2,2,True
2023-02-07,NOP,ATL,39:36,11,4,9,True
2023-02-10,NOP,CLE,28:55,11,0,2,True
2023-02-13,NOP,OKC,23:42,4,2,5,True
2023-02-15,NOP,LAL,30:26,11,5,3,True
2023-02-23,NOP,TOR,33:41,2,2,5,True
2023-02-25,NOP,NYK,13:26,6,2,3,True
2023-02-27,NOP,ORL,32:39,10,2,6,True
2023-03-01,NOP,POR,28:18,7,2,5,True
2023-03-03,NOP,GSW,35:40,7,5,3,True
2023-03-06,NOP,SAC,37:13,13,8,8,True
2023-03-08,NOP,DAL,37:15,14,2,9,True
2023-03-11,NOP,OKC,18:08,4,1,2,True
2023-03-12,NOP,POR,30:43,16,7,4,True
2023-03-14,NOP,LAL,33:40,20,1,7,True
2023-03-17,NOP,HOU,28:19,9,1,1,True
2023-03-19,NOP,HOU,33:03,13,3,4,True
2023-03-21,NOP,SAS,24:58,4,4,2,True
2023-03-23,NOP,CHO,28:34,2,2,3,True
2023-03-25,NOP,LAC,23:24,4,2,6,True
2023-03-27,NOP,POR,26:03,7,4,2,True
2023-03-28,NOP,GSW,35:23,13,4,6,True
2023-03-30,NOP,DEN,33:56,6,1,7,True
2023-04-01,NOP,LAC,29:51,12,2,4,True
2023-04-04,NOP,SAC,30:53,11,3,4,True
2023-04-05,NOP,MEM,43:37,35,3,7,True
2023-04-07,NOP,NYK,34:02,15,4,4,True
2023-04-09,NOP,MIN,38:49,4,4,3,True
