Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2022-10-19,MEM,NYK,24:58,15,3,4,False
2022-10-21,MEM,HOU,21:53,11,4,4,False
2022-10-22,MEM,DAL,24:05,10,5,0,False
2022-10-24,MEM,BRK,24:17,8,1,3,False
2022-10-27,MEM,SAC,23:33,14,5,2,False
2022-10-29,MEM,UTA,32:56,23,10,1,True
2022-10-31,MEM,UTA,27:18,12,2,2,False
2022-11-02,MEM,POR,23:51,2,5,0,False
2022-11-04,MEM,CHO,14:08,11,3,2,False
2022-11-06,MEM,WAS,19:09,7,3,0,False
2022-11-07,MEM,BOS,15:11,6,3,1,False
2022-11-09,MEM,SAS,19:38,11,3,1,False
2022-11-11,MEM,MIN,19:01,6,3,1,False
2022-11-13,MEM,WAS,36:15,17,5,3,True
2022-11-15,MEM,NOP,19:36,3,3,1,False
2022-11-18,MEM,OKC,23:10,13,5,2,False
2022-11-20,MEM,BRK,34:21,13,6,3,True
2022-11-22,MEM,SAC,27:18,8,6,3,False
2022-11-25,MEM,NOP,21:24,9,6,1,False
2022-11-27,MEM,NYK,19:03,2,7,2,False
2022-11-30,MEM,MIN,29:44,13,1,6,False
2022-12-02,MEM,PHI,15:55,3,5,2,False
2022-12-04,MEM,DET,20:29,5,4,2,False
2022-12-05,MEM,MIA,36:15,28,10,5,True
2022-12-07,MEM,OKC,21:56,3,5,2,False
2022-12-09,MEM,DET,22:20,10,7,6,False
2022-12-12,MEM,ATL,25:10,22,11,1,True
2022-12-15,MEM,MIL,19:03,16,2,3,False
2022-12-17,MEM,OKC,33:33,15,2,1,False
2022-12-20,MEM,DEN,29:55,5,4,5,False
2022-12-23,MEM,PHO,15:20,2,4,2,False
2022-12-25,MEM,GSW,20:10,13,5,1,False
2022-12-27,MEM,PHO,12:51,1,2,1,False
2022-12-29,MEM,TOR,19:46,4,2,1,False
2022-12-31,MEM,NOP,20:58,8,8,4,False
2023-01-01,MEM,SAC,32:18,18,8,6,False
2023-01-04,MEM,CHO,14:46,8,4,0,False
2023-01-05,MEM,ORL,24:42,12,8,3,False
2023-01-08,MEM,UTA,33:59,21,6,2,True
2023-01-09,MEM,SAS,35:02,24,6,3,True
2023-01-11,MEM,SAS,17:39,16,3,0,False
2023-01-14,MEM,IND,23:36,8,5,2,False
2023-01-16,MEM,PHO,21:51,10,8,4,False
2023-01-18,MEM,CLE,18:07,2,2,3,False
2023-01-20,MEM,LAL,19:57,20,2,1,False
2023-01-22,MEM,PHO,24:34,11,4,1,False
2023-01-23,MEM,SAC,31:05,12,8,6,True
2023-01-25,MEM,GSW,19:00,7,5,1,False
2023-01-27,MEM,MIN,19:46,0,3,2,False
2023-01-29,MEM,IND,29:46,10,4,1,False
2023-02-01,MEM,POR,17:14,6,3,3,False
2023-02-02,MEM,CLE,23:42,6,3,1,False
2023-02-05,MEM,TOR,33:51,9,7,8,True
2023-02-07,MEM,CHI,14:32,0,3,0,False
2023-02-10,MEM,MIN,20:43,6,2,2,False
2023-02-12,MEM,BOS,14:05,4,1,0,False
2023-02-15,MEM,UTA,13:56,0,3,0,False
2023-02-23,MEM,PHI,15:48,2,6,2,False
2023-02-25,MEM,DEN,19:31,17,5,2,False
2023-02-28,MEM,LAL,13:34,7,4,1,False
2023-03-01,MEM,HOU,21:29,8,3,1,False
2023-03-03,MEM,DEN,12:27,0,2,2,False
2023-03-05,MEM,LAC,36:29,25,12,3,True
2023-03-07,MEM,LAL,33:55,16,3,3,True
2023-03-09,MEM,GSW,33:12,22,11,4,True
2023-03-11,MEM,DAL,33:01,11,10,4,True
2023-03-13,MEM,DAL,32:25,13,3,5,True
2023-03-15,MEM,MIA,28:16,11,5,4,True
2023-03-17,MEM,SAS,42:24,20,10,10,True
2023-03-18,MEM,GSW,30:12,13,14,2,True
2023-03-20,MEM,DAL,35:25,16,6,2,True
2023-03-22,MEM,HOU,26:48,14,7,3,True
2023-03-24,MEM,HOU,23:09,11,9,3,True
2023-03-26,MEM,ATL,22:35,13,5,2,False
2023-03-28,MEM,ORL,33:49,7,8,6,True
2023-03-29,MEM,LAC,N/A,N/A,N/A,N/A,False
2023-03-31,MEM,LAC,22:22,7,6,2,False
2023-04-02,MEM,CHI,17:07,6,4,1,False
2023-04-04,MEM,POR,21:46,2,5,3,False
2023-04-05,MEM,NOP,42:49,13,12,8,True
2023-04-07,MEM,MIL,22:16,10,9,0,False
2023-04-09,MEM,OKC,N/A,N/A,N/A,N/A,False
