Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2020-12-22,BRK,GSW,17:03,4,1,11,True
2020-12-25,BRK,BOS,19:14,4,2,7,True
2020-12-27,BRK,CHO,18:58,1,2,12,True
2020-12-28,BRK,MEM,29:56,4,5,9,True
2020-12-30,BRK,ATL,15:13,5,0,1,True
2021-01-01,BRK,ATL,18:18,8,1,5,True
2021-01-03,BRK,WAS,14:42,4,0,5,True
2021-01-05,BRK,UTA,8:53,5,1,4,False
2021-01-07,BRK,PHI,18:08,2,4,11,False
2021-01-08,BRK,MEM,17:22,4,3,5,False
2021-01-10,BRK,OKC,10:26,4,0,1,False
2021-01-12,BRK,DEN,N/A,N/A,N/A,N/A,False
2021-01-13,BRK,NYK,28:30,9,2,12,True
2021-01-16,BRK,ORL,23:04,2,3,5,True
2021-01-18,BRK,MIL,37:38,12,3,12,True
2021-01-20,BRK,CLE,24:25,13,0,4,True
2021-01-22,BRK,CLE,25:54,9,1,4,True
2021-01-23,BRK,MIA,20:37,8,2,8,True
2021-01-25,BRK,MIA,19:44,11,1,6,True
2021-01-27,BRK,ATL,22:22,11,1,7,True
2021-01-29,BRK,OKC,20:19,10,2,8,True
2021-01-31,BRK,WAS,18:58,8,2,8,True
2021-02-02,BRK,LAC,16:29,7,2,5,False
2021-02-05,BRK,TOR,18:05,10,1,4,True
2021-02-06,BRK,PHI,26:36,6,4,7,True
2021-02-09,BRK,DET,23:25,9,2,8,True
2021-02-10,BRK,IND,36:38,12,1,13,True
2021-02-13,BRK,GSW,N/A,N/A,N/A,N/A,False
2021-02-15,BRK,SAC,27:08,10,4,8,False
2021-02-16,BRK,PHO,28:04,9,3,6,True
2021-02-18,BRK,LAL,23:38,7,0,8,False
2021-02-21,BRK,LAC,31:34,13,2,11,False
2021-02-23,BRK,SAC,34:08,10,0,8,True
2021-02-25,BRK,ORL,25:58,8,2,11,True
2021-02-27,BRK,DAL,13:15,2,2,5,False
2021-03-01,BRK,SAS,35:28,8,5,13,True
2021-03-03,BRK,HOU,28:48,10,3,10,True
2021-03-11,BRK,BOS,26:31,4,1,8,True
2021-03-13,BRK,DET,29:27,14,0,9,True
2021-03-15,BRK,NYK,30:01,8,1,10,True
2021-03-17,BRK,IND,20:27,10,0,5,True
2021-03-19,BRK,ORL,23:16,8,2,6,True
2021-03-21,BRK,WAS,17:19,12,2,5,True
2021-03-23,BRK,POR,20:05,3,0,10,True
2021-03-24,BRK,UTA,12:10,4,1,4,False
2021-03-26,BRK,DET,20:13,10,0,9,True
2021-03-29,BRK,MIN,11:40,10,1,2,True
2021-03-31,BRK,HOU,11:48,2,0,1,True
2021-04-01,BRK,CHO,N/A,N/A,N/A,N/A,False
2021-04-04,BRK,CHI,N/A,N/A,N/A,N/A,False
2021-04-05,BRK,NYK,N/A,N/A,N/A,N/A,False
2021-04-07,BRK,NOP,N/A,N/A,N/A,N/A,False
2021-04-10,BRK,LAL,N/A,N/A,N/A,N/A,False
2021-04-13,BRK,MIN,20:37,13,2,7,False
2021-04-14,BRK,PHI,26:02,12,5,14,True
2021-04-16,BRK,CHO,17:19,8,0,5,True
2021-04-18,BRK,MIA,N/A,N/A,N/A,N/A,False
2021-04-20,BRK,NOP,21:28,8,1,6,True
2021-04-21,BRK,TOR,28:32,7,2,12,False
2021-04-23,BRK,BOS,24:33,8,3,11,True
2021-04-25,BRK,PHO,21:21,6,1,12,True
2021-04-27,BRK,TOR,N/A,N/A,N/A,N/A,False
2021-04-29,BRK,IND,N/A,N/A,N/A,N/A,False
2021-04-30,BRK,POR,19:40,7,2,6,False
2021-05-02,BRK,MIL,23:58,10,0,11,True
2021-05-04,BRK,MIL,15:42,2,1,9,True
2021-05-06,BRK,DAL,N/A,N/A,N/A,N/A,False
2021-05-08,BRK,DEN,5:04,1,1,3,False
2021-05-11,BRK,CHI,N/A,N/A,N/A,N/A,False
2021-05-12,BRK,SAS,N/A,N/A,N/A,N/A,False
2021-05-15,BRK,CHI,N/A,N/A,N/A,N/A,False
2021-05-16,BRK,CLE,N/A,N/A,N/A,N/A,False
