Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2019-10-23,DAL,WAS,23:34,0,1,8,True
2019-10-25,DAL,NOP,33:21,8,1,10,False
2019-10-27,DAL,POR,24:31,14,3,6,True
2019-10-29,DAL,DEN,30:19,14,1,7,False
2019-11-01,DAL,LAL,31:01,8,0,8,False
2019-11-03,DAL,CLE,N/A,N/A,N/A,N/A,False
2019-11-06,DAL,ORL,19:54,14,2,3,False
2019-11-08,DAL,NYK,29:29,8,0,5,False
2019-11-09,DAL,MEM,23:33,11,1,4,True
2019-11-11,DAL,BOS,32:44,15,2,8,True
2019-11-14,DAL,NYK,18:17,0,0,4,False
2019-11-16,DAL,TOR,38:20,10,2,6,True
2019-11-18,DAL,SAS,28:28,8,2,4,False
2019-11-20,DAL,GSW,13:46,3,1,6,False
2019-11-22,DAL,CLE,18:39,4,0,5,False
2019-11-24,DAL,HOU,25:26,11,1,2,False
2019-11-26,DAL,LAC,17:30,0,0,6,False
2019-11-29,DAL,PHO,24:24,9,0,7,False
2019-12-01,DAL,LAL,22:07,6,2,9,False
2019-12-03,DAL,NOP,20:54,12,0,4,False
2019-12-04,DAL,MIN,26:26,12,2,5,False
2019-12-07,DAL,NOP,18:20,7,1,3,False
2019-12-08,DAL,SAC,12:27,3,0,5,False
2019-12-12,DAL,DET,18:18,5,0,1,False
2019-12-14,DAL,MIA,29:52,17,3,3,False
2019-12-16,DAL,MIL,28:33,10,0,7,False
2019-12-18,DAL,BOS,21:18,7,0,2,False
2019-12-20,DAL,PHI,23:06,10,2,3,False
2019-12-22,DAL,TOR,14:37,7,0,5,False
2019-12-26,DAL,SAS,31:12,6,2,12,False
2019-12-28,DAL,GSW,20:40,8,2,4,False
2019-12-29,DAL,LAL,15:22,3,0,3,False
2019-12-31,DAL,OKC,35:16,14,2,14,True
2020-01-02,DAL,BRK,30:39,18,1,4,False
2020-01-04,DAL,CHO,34:31,24,2,4,False
2020-01-06,DAL,CHI,27:18,7,1,2,False
2020-01-08,DAL,DEN,23:28,13,1,7,False
2020-01-10,DAL,LAL,22:42,2,1,2,False
2020-01-11,DAL,PHI,30:43,10,1,8,True
2020-01-14,DAL,GSW,24:19,11,1,7,True
2020-01-15,DAL,SAC,30:11,14,0,4,True
2020-01-17,DAL,POR,33:02,10,1,5,True
2020-01-21,DAL,LAC,31:40,8,1,5,False
2020-01-23,DAL,POR,22:44,15,1,4,False
2020-01-25,DAL,UTA,17:00,8,0,3,False
2020-01-27,DAL,OKC,21:33,11,0,3,False
2020-01-28,DAL,PHO,19:36,6,2,5,False
2020-01-31,DAL,HOU,13:40,4,1,6,False
2020-02-01,DAL,ATL,30:12,18,1,6,True
2020-02-03,DAL,IND,35:06,5,2,8,True
2020-02-05,DAL,MEM,31:40,10,1,6,True
2020-02-07,DAL,WAS,26:15,7,2,7,False
2020-02-08,DAL,CHO,27:30,7,1,5,True
2020-02-10,DAL,UTA,22:48,5,1,2,True
2020-02-12,DAL,SAC,18:30,6,0,1,False
2020-02-21,DAL,ORL,22:38,26,1,3,False
2020-02-22,DAL,ATL,30:02,9,2,8,True
2020-02-24,DAL,MIN,20:56,11,2,7,False
2020-02-26,DAL,SAS,22:33,9,0,5,False
2020-02-28,DAL,MIA,29:22,8,3,6,False
2020-03-01,DAL,MIN,16:19,2,2,8,False
2020-03-02,DAL,CHI,33:31,13,1,10,True
2020-03-04,DAL,NOP,39:22,5,4,7,True
2020-03-06,DAL,MEM,29:55,9,2,4,True
2020-03-08,DAL,IND,34:15,2,1,5,True
2020-03-10,DAL,SAS,30:41,12,3,5,False
2020-03-11,DAL,DEN,38:26,15,1,4,True
2020-07-31,DAL,HOU,34:04,7,3,7,False
2020-08-02,DAL,PHO,21:52,2,1,5,False
2020-08-04,DAL,SAC,29:30,8,1,6,False
2020-08-06,DAL,LAC,27:00,10,2,4,False
2020-08-08,DAL,MIL,21:26,15,1,3,False
2020-08-10,DAL,UTA,23:31,11,3,3,False
2020-08-11,DAL,POR,26:41,12,0,4,False
2020-08-13,DAL,PHO,10:44,3,0,1,False
