Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2022-10-19,ATL,HOU,N/A,N/A,N/A,N/A,False
2022-10-21,ATL,ORL,N/A,N/A,N/A,N/A,False
2022-10-23,ATL,CHO,1:40,0,1,0,False
2022-10-26,ATL,DET,N/A,N/A,N/A,N/A,False
2022-10-28,ATL,DET,1:40,0,0,0,False
2022-10-29,ATL,MIL,N/A,N/A,N/A,N/A,False
2022-10-31,ATL,TOR,6:20,5,0,1,False
2022-11-02,ATL,NYK,1:07,0,0,0,False
2022-11-05,ATL,NOP,N/A,N/A,N/A,N/A,False
2022-11-07,ATL,MIL,2:32,3,0,1,False
2022-11-09,ATL,UTA,N/A,N/A,N/A,N/A,False
2022-11-10,ATL,PHI,N/A,N/A,N/A,N/A,False
2022-11-12,ATL,PHI,N/A,N/A,N/A,N/A,False
2022-11-14,ATL,MIL,0:52,0,0,0,False
2022-11-16,ATL,BOS,5:22,3,0,0,False
2022-11-19,ATL,TOR,N/A,N/A,N/A,N/A,False
2022-11-21,ATL,CLE,1:08,0,0,0,False
2022-11-23,ATL,SAC,N/A,N/A,N/A,N/A,False
2022-11-25,ATL,HOU,N/A,N/A,N/A,N/A,False
2022-11-27,ATL,MIA,N/A,N/A,N/A,N/A,False
2022-11-28,ATL,PHI,N/A,N/A,N/A,N/A,False
2022-11-30,ATL,ORL,18:05,0,1,1,False
2022-12-02,ATL,DEN,15:20,2,3,2,False
2022-12-05,ATL,OKC,10:59,0,3,0,False
2022-12-07,ATL,NYK,14:22,7,1,2,False
2022-12-09,ATL,BRK,N/A,N/A,N/A,N/A,False
2022-12-11,ATL,CHI,N/A,N/A,N/A,N/A,False
2022-12-12,ATL,MEM,15:55,4,1,3,False
2022-12-14,ATL,ORL,N/A,N/A,N/A,N/A,False
2022-12-16,ATL,CHO,2:42,0,0,0,False
2022-12-19,ATL,ORL,N/A,N/A,N/A,N/A,False
2022-12-21,ATL,CHI,N/A,N/A,N/A,N/A,False
2022-12-23,ATL,DET,2:37,0,0,0,False
2022-12-27,ATL,IND,4:15,2,0,1,False
2022-12-28,ATL,BRK,N/A,N/A,N/A,N/A,False
2022-12-30,ATL,LAL,N/A,N/A,N/A,N/A,False
2023-01-02,ATL,GSW,N/A,N/A,N/A,N/A,False
2023-01-04,ATL,SAC,N/A,N/A,N/A,N/A,False
2023-01-06,ATL,LAL,2:09,0,0,0,False
2023-01-08,ATL,LAC,N/A,N/A,N/A,N/A,False
2023-01-11,ATL,MIL,N/A,N/A,N/A,N/A,False
2023-01-13,ATL,IND,N/A,N/A,N/A,N/A,False
2023-01-14,ATL,TOR,N/A,N/A,N/A,N/A,False
2023-01-16,ATL,MIA,N/A,N/A,N/A,N/A,False
2023-01-18,ATL,DAL,N/A,N/A,N/A,N/A,False
2023-01-20,ATL,NYK,1:19,0,0,0,False
2023-01-21,ATL,CHO,N/A,N/A,N/A,N/A,False
2023-01-23,ATL,CHI,N/A,N/A,N/A,N/A,False
2023-01-25,ATL,OKC,N/A,N/A,N/A,N/A,False
2023-01-28,ATL,LAC,N/A,N/A,N/A,N/A,False
2023-01-30,ATL,POR,N/A,N/A,N/A,N/A,False
2023-02-01,ATL,PHO,5:41,0,1,1,False
2023-02-03,ATL,UTA,N/A,N/A,N/A,N/A,False
2023-02-04,ATL,DEN,2:37,0,0,1,False
2023-02-07,ATL,NOP,N/A,N/A,N/A,N/A,False
2023-02-09,ATL,PHO,N/A,N/A,N/A,N/A,False
2023-02-11,ATL,SAS,N/A,N/A,N/A,N/A,False
2023-02-13,ATL,CHO,N/A,N/A,N/A,N/A,False
2023-02-15,ATL,NYK,3:43,2,1,1,False
2023-02-24,ATL,CLE,2:03,0,0,0,False
2023-02-26,ATL,BRK,N/A,N/A,N/A,N/A,False
2023-02-28,ATL,WAS,N/A,N/A,N/A,N/A,False
2023-03-03,ATL,POR,N/A,N/A,N/A,N/A,False
2023-03-04,ATL,MIA,N/A,N/A,N/A,N/A,False
2023-03-06,ATL,MIA,N/A,N/A,N/A,N/A,False
2023-03-08,ATL,WAS,N/A,N/A,N/A,N/A,False
2023-03-10,ATL,WAS,N/A,N/A,N/A,N/A,False
2023-03-11,ATL,BOS,N/A,N/A,N/A,N/A,False
2023-03-13,ATL,MIN,1:48,0,0,0,False
2023-03-17,ATL,GSW,N/A,N/A,N/A,N/A,False
2023-03-19,ATL,SAS,N/A,N/A,N/A,N/A,False
2023-03-21,ATL,DET,2:52,4,0,1,False
2023-03-22,ATL,MIN,N/A,N/A,N/A,N/A,False
2023-03-25,ATL,IND,N/A,N/A,N/A,N/A,False
2023-03-26,ATL,MEM,N/A,N/A,N/A,N/A,False
2023-03-28,ATL,CLE,8:46,0,1,2,False
2023-03-31,ATL,BRK,4:08,2,1,1,False
2023-04-02,ATL,DAL,N/A,N/A,N/A,N/A,False
2023-04-04,ATL,CHI,2:06,2,0,1,False
2023-04-05,ATL,WAS,3:01,0,0,3,False
2023-04-07,ATL,PHI,N/A,N/A,N/A,N/A,False
2023-04-09,ATL,BOS,20:16,0,3,4,False
