Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2022-10-19,PHO,DAL,10:09,7,0,2,False
2022-10-21,PHO,POR,14:28,6,0,4,False
2022-10-23,PHO,LAC,17:19,9,1,10,False
2022-10-25,PHO,GSW,22:09,17,0,7,False
2022-10-28,PHO,NOP,17:00,8,2,2,False
2022-10-30,PHO,HOU,23:26,16,0,7,False
2022-11-01,PHO,MIN,16:27,4,1,1,False
2022-11-04,PHO,POR,14:43,9,1,6,False
2022-11-05,PHO,POR,18:18,5,4,3,False
2022-11-07,PHO,PHI,6:48,2,1,2,False
2022-11-09,PHO,MIN,12:00,4,1,4,False
2022-11-11,PHO,ORL,13:09,7,0,6,False
2022-11-14,PHO,MIA,8:25,2,0,3,False
2022-11-16,PHO,GSW,16:29,7,0,4,False
2022-11-18,PHO,UTA,11:22,7,0,0,False
2022-11-20,PHO,NYK,N/A,N/A,N/A,N/A,False
2022-11-22,PHO,LAL,N/A,N/A,N/A,N/A,False
2022-11-25,PHO,DET,N/A,N/A,N/A,N/A,False
2022-11-26,PHO,UTA,5:24,4,1,1,False
2022-11-28,PHO,SAC,4:17,2,1,0,False
2022-11-30,PHO,CHI,8:55,4,1,3,False
2022-12-02,PHO,HOU,6:51,0,0,3,False
2022-12-04,PHO,SAS,14:09,12,0,4,False
2022-12-05,PHO,DAL,6:12,0,0,4,False
2022-12-07,PHO,BOS,14:14,2,2,3,False
2022-12-09,PHO,NOP,11:54,9,0,0,False
2022-12-11,PHO,NOP,20:10,8,2,7,False
2022-12-13,PHO,HOU,11:32,7,0,1,False
2022-12-15,PHO,LAC,26:46,15,2,10,False
2022-12-17,PHO,NOP,16:29,2,0,4,False
2022-12-19,PHO,LAL,N/A,N/A,N/A,N/A,False
2022-12-20,PHO,WAS,N/A,N/A,N/A,N/A,False
2022-12-23,PHO,MEM,10:36,4,2,4,False
2022-12-25,PHO,DEN,N/A,N/A,N/A,N/A,False
2022-12-27,PHO,MEM,23:44,16,0,3,True
2022-12-28,PHO,WAS,15:43,5,2,2,True
2022-12-30,PHO,TOR,17:02,6,1,11,False
2023-01-02,PHO,NYK,18:36,2,1,3,False
2023-01-04,PHO,CLE,N/A,N/A,N/A,N/A,False
2023-01-06,PHO,MIA,12:16,4,0,4,False
2023-01-08,PHO,CLE,18:08,14,2,5,False
2023-01-10,PHO,GSW,22:40,6,1,4,False
2023-01-11,PHO,DEN,23:39,11,2,8,False
2023-01-13,PHO,MIN,10:28,3,3,2,False
2023-01-16,PHO,MEM,13:41,5,0,3,False
2023-01-19,PHO,BRK,N/A,N/A,N/A,N/A,False
2023-01-21,PHO,IND,17:06,10,1,10,False
2023-01-22,PHO,MEM,23:05,12,1,5,False
2023-01-24,PHO,CHO,14:32,15,3,3,False
2023-01-26,PHO,DAL,4:30,2,0,0,False
2023-01-28,PHO,SAS,N/A,N/A,N/A,N/A,False
2023-01-30,PHO,TOR,8:55,4,0,0,False
2023-02-01,PHO,ATL,10:31,6,0,5,False
2023-02-03,PHO,BOS,12:14,9,3,7,False
2023-02-04,PHO,DET,13:58,7,0,6,False
2023-02-07,PHO,BRK,12:35,7,1,4,False
2023-02-09,PHO,ATL,19:20,4,0,4,True
2023-02-10,PHO,IND,13:30,6,1,7,False
2023-02-14,PHO,SAC,11:19,0,1,2,False
2023-02-16,PHO,LAC,4:00,2,1,1,False
2023-02-24,PHO,OKC,16:41,5,1,7,False
2023-02-26,PHO,MIL,12:00,7,1,8,False
2023-03-01,PHO,CHO,14:40,6,2,3,False
2023-03-03,PHO,CHI,20:34,9,1,6,False
2023-03-05,PHO,DAL,7:42,2,0,2,False
2023-03-08,PHO,OKC,17:41,4,0,4,False
2023-03-11,PHO,SAC,5:25,4,1,2,False
2023-03-13,PHO,GSW,2:51,2,0,2,False
2023-03-14,PHO,MIL,14:19,12,2,3,False
2023-03-16,PHO,ORL,12:40,8,2,3,False
2023-03-19,PHO,OKC,14:50,5,1,3,False
2023-03-22,PHO,LAL,20:32,4,1,5,False
2023-03-24,PHO,SAC,24:38,17,3,6,False
2023-03-25,PHO,PHI,13:52,2,1,2,False
2023-03-27,PHO,UTA,N/A,N/A,N/A,N/A,False
2023-03-29,PHO,MIN,N/A,N/A,N/A,N/A,False
2023-03-31,PHO,DEN,N/A,N/A,N/A,N/A,False
2023-04-02,PHO,OKC,N/A,N/A,N/A,N/A,False
2023-04-04,PHO,SAS,2:56,0,1,1,False
2023-04-06,PHO,DEN,5:09,2,1,1,False
2023-04-07,PHO,LAL,29:32,17,2,10,False
2023-04-09,PHO,LAC,21:20,15,2,8,True
