Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2019-10-24,ATL,DET,23:53,4,1,6,True
2019-10-26,ATL,ORL,19:39,3,1,4,True
2019-10-28,ATL,PHI,18:10,5,3,3,True
2019-10-29,ATL,MIA,18:00,4,2,4,True
2019-10-31,ATL,MIA,14:10,5,1,4,True
2019-11-05,ATL,SAS,14:27,1,0,6,True
2019-11-06,ATL,CHI,11:09,6,0,4,True
2019-11-08,ATL,SAC,21:43,4,0,7,True
2019-11-10,ATL,POR,15:16,4,0,2,True
2019-11-12,ATL,DEN,21:56,17,1,7,False
2019-11-14,ATL,PHO,25:45,21,1,10,False
2019-11-16,ATL,LAC,17:48,5,1,3,False
2019-11-17,ATL,LAL,14:45,3,0,4,False
2019-11-20,ATL,MIL,8:32,0,1,3,False
2019-11-22,ATL,DET,15:54,12,1,3,False
2019-11-23,ATL,TOR,8:22,4,2,2,False
2019-11-25,ATL,MIN,3:54,0,1,1,False
2019-11-27,ATL,MIL,N/A,N/A,N/A,N/A,False
2019-11-29,ATL,IND,28:40,15,0,8,False
2019-11-30,ATL,HOU,15:19,12,0,1,False
2019-12-02,ATL,GSW,17:06,11,0,4,False
2019-12-04,ATL,BRK,16:57,18,3,7,False
2019-12-08,ATL,CHO,19:14,13,1,10,False
2019-12-10,ATL,MIA,22:12,9,1,3,False
2019-12-11,ATL,CHI,19:46,17,3,5,False
2019-12-13,ATL,IND,21:37,11,2,13,False
2019-12-15,ATL,LAL,23:22,9,3,7,False
2019-12-17,ATL,NYK,24:48,9,0,5,False
2019-12-19,ATL,UTA,16:47,4,3,4,False
2019-12-21,ATL,BRK,25:55,23,0,14,False
2019-12-23,ATL,CLE,6:28,0,1,2,False
2019-12-27,ATL,MIL,N/A,N/A,N/A,N/A,False
2019-12-28,ATL,CHI,20:05,10,2,5,False
2019-12-30,ATL,ORL,24:19,18,2,12,False
2020-01-03,ATL,BOS,22:28,5,2,8,False
2020-01-04,ATL,IND,27:11,16,1,9,False
2020-01-06,ATL,DEN,21:19,10,1,1,False
2020-01-08,ATL,HOU,23:07,14,0,10,False
2020-01-10,ATL,WAS,24:43,10,0,14,False
2020-01-12,ATL,BRK,16:21,10,1,4,False
2020-01-14,ATL,PHO,N/A,N/A,N/A,N/A,False
2020-01-17,ATL,SAS,N/A,N/A,N/A,N/A,False
2020-01-18,ATL,DET,N/A,N/A,N/A,N/A,False
2020-01-20,ATL,TOR,N/A,N/A,N/A,N/A,False
2020-01-22,ATL,LAC,19:48,7,0,7,False
2020-01-24,ATL,OKC,14:15,0,0,4,False
2020-01-26,ATL,WAS,N/A,N/A,N/A,N/A,False
2020-01-28,ATL,TOR,N/A,N/A,N/A,N/A,False
2020-01-30,ATL,PHI,N/A,N/A,N/A,N/A,False
2020-02-01,ATL,DAL,N/A,N/A,N/A,N/A,False
2020-02-03,ATL,BOS,N/A,N/A,N/A,N/A,False
2020-02-05,ATL,MIN,N/A,N/A,N/A,N/A,False
2020-02-07,SAC,MIA,N/A,N/A,N/A,N/A,False
2020-02-08,SAC,SAS,N/A,N/A,N/A,N/A,False
2020-02-10,SAC,MIL,N/A,N/A,N/A,N/A,False
2020-02-12,SAC,DAL,N/A,N/A,N/A,N/A,False
2020-02-20,SAC,MEM,N/A,N/A,N/A,N/A,False
2020-02-22,SAC,LAC,16:06,3,0,8,False
2020-02-25,SAC,GSW,15:22,0,1,4,False
2020-02-27,SAC,OKC,21:04,11,0,11,False
2020-02-28,SAC,MEM,16:24,6,3,7,False
2020-03-01,SAC,DET,27:33,8,0,13,False
2020-03-03,SAC,WAS,14:23,12,0,6,False
2020-03-05,SAC,PHI,14:39,4,0,4,False
2020-03-07,SAC,POR,9:41,0,0,4,False
2020-03-08,SAC,TOR,14:49,15,1,7,False
2020-07-31,SAC,SAS,N/A,N/A,N/A,N/A,False
2020-08-02,SAC,ORL,N/A,N/A,N/A,N/A,False
2020-08-04,SAC,DAL,3:23,3,0,0,False
2020-08-06,SAC,NOP,14:35,8,0,6,False
2020-08-07,SAC,BRK,15:57,6,2,11,False
2020-08-09,SAC,HOU,14:33,4,0,3,True
2020-08-11,SAC,NOP,12:38,6,1,4,True
2020-08-13,SAC,LAL,14:18,3,0,3,True
