Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2019-10-23,BRK,MIN,37:18,20,4,5,True
2019-10-25,BRK,NYK,24:14,12,4,2,True
2019-10-27,BRK,MEM,38:57,27,5,4,True
2019-10-30,BRK,IND,32:58,15,3,6,True
2019-11-01,BRK,HOU,32:13,25,4,4,True
2019-11-02,BRK,DET,27:39,14,1,6,True
2019-11-04,BRK,NOP,35:08,23,5,7,True
2019-11-08,BRK,POR,29:14,7,5,9,True
2019-11-10,BRK,PHO,26:16,8,5,2,True
2019-11-12,BRK,UTA,N/A,N/A,N/A,N/A,False
2019-11-14,BRK,DEN,N/A,N/A,N/A,N/A,False
2019-11-16,BRK,CHI,N/A,N/A,N/A,N/A,False
2019-11-18,BRK,IND,N/A,N/A,N/A,N/A,False
2019-11-20,BRK,CHO,N/A,N/A,N/A,N/A,False
2019-11-22,BRK,SAC,N/A,N/A,N/A,N/A,False
2019-11-24,BRK,NYK,N/A,N/A,N/A,N/A,False
2019-11-25,BRK,CLE,N/A,N/A,N/A,N/A,False
2019-11-27,BRK,BOS,N/A,N/A,N/A,N/A,False
2019-11-29,BRK,BOS,N/A,N/A,N/A,N/A,False
2019-12-01,BRK,MIA,N/A,N/A,N/A,N/A,False
2019-12-04,BRK,ATL,N/A,N/A,N/A,N/A,False
2019-12-06,BRK,CHO,N/A,N/A,N/A,N/A,False
2019-12-08,BRK,DEN,N/A,N/A,N/A,N/A,False
2019-12-11,BRK,CHO,N/A,N/A,N/A,N/A,False
2019-12-14,BRK,TOR,N/A,N/A,N/A,N/A,False
2019-12-15,BRK,PHI,N/A,N/A,N/A,N/A,False
2019-12-17,BRK,NOP,N/A,N/A,N/A,N/A,False
2019-12-19,BRK,SAS,N/A,N/A,N/A,N/A,False
2019-12-21,BRK,ATL,N/A,N/A,N/A,N/A,False
2019-12-26,BRK,NYK,N/A,N/A,N/A,N/A,False
2019-12-28,BRK,HOU,N/A,N/A,N/A,N/A,False
2019-12-30,BRK,MIN,N/A,N/A,N/A,N/A,False
2020-01-02,BRK,DAL,N/A,N/A,N/A,N/A,False
2020-01-04,BRK,TOR,15:43,13,1,0,False
2020-01-06,BRK,ORL,N/A,N/A,N/A,N/A,False
2020-01-07,BRK,OKC,22:29,20,3,6,False
2020-01-10,BRK,MIA,23:43,11,4,3,False
2020-01-12,BRK,ATL,22:16,13,1,2,False
2020-01-14,BRK,UTA,26:27,11,3,2,False
2020-01-15,BRK,PHI,22:33,12,3,3,False
2020-01-18,BRK,MIL,24:53,6,2,3,False
2020-01-20,BRK,PHI,28:44,16,6,6,False
2020-01-23,BRK,LAL,22:55,16,3,4,False
2020-01-25,BRK,DET,22:55,11,1,2,False
2020-01-26,BRK,NYK,22:45,7,3,3,False
2020-01-29,BRK,DET,21:58,11,1,0,False
2020-01-31,BRK,CHI,21:00,3,6,0,False
2020-02-01,BRK,WAS,19:01,6,1,3,False
2020-02-03,BRK,PHO,32:01,29,7,3,True
2020-02-05,BRK,GSW,26:42,23,8,4,True
2020-02-08,BRK,TOR,33:13,37,4,3,True
2020-02-10,BRK,IND,33:17,11,3,2,True
2020-02-12,BRK,TOR,36:28,20,4,7,True
2020-02-20,BRK,PHI,39:03,25,5,6,True
2020-02-22,BRK,CHO,29:58,17,2,3,True
2020-02-24,BRK,ORL,34:06,19,8,5,True
2020-02-26,BRK,WAS,34:09,34,7,6,True
2020-02-28,BRK,ATL,27:04,18,3,3,True
2020-02-29,BRK,MIA,35:14,15,4,3,True
2020-03-03,BRK,BOS,35:49,51,5,4,True
2020-03-04,BRK,MEM,27:08,14,6,4,True
2020-03-06,BRK,SAS,31:26,27,10,11,True
2020-03-08,BRK,CHI,36:43,23,5,6,True
2020-03-10,BRK,LAL,37:34,22,4,7,True
2020-07-31,BRK,ORL,27:49,17,7,2,True
2020-08-02,BRK,WAS,39:12,34,3,7,True
2020-08-04,BRK,MIL,N/A,N/A,N/A,N/A,False
2020-08-05,BRK,BOS,27:21,13,1,5,True
2020-08-07,BRK,SAC,36:06,22,7,5,True
2020-08-09,BRK,LAC,35:18,27,13,5,True
2020-08-11,BRK,ORL,N/A,N/A,N/A,N/A,False
2020-08-13,BRK,POR,32:48,37,9,6,True
