Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2019-10-24,GSW,LAC,10:27,3,1,9,True
2019-10-27,GSW,OKC,N/A,N/A,N/A,N/A,False
2019-10-28,GSW,NOP,N/A,N/A,N/A,N/A,False
2019-10-30,GSW,PHO,N/A,N/A,N/A,N/A,False
2019-11-01,GSW,SAS,N/A,N/A,N/A,N/A,False
2019-11-02,GSW,CHO,N/A,N/A,N/A,N/A,False
2019-11-04,GSW,POR,N/A,N/A,N/A,N/A,False
2019-11-06,GSW,HOU,N/A,N/A,N/A,N/A,False
2019-11-08,GSW,MIN,N/A,N/A,N/A,N/A,False
2019-11-09,GSW,OKC,N/A,N/A,N/A,N/A,False
2019-11-11,GSW,UTA,N/A,N/A,N/A,N/A,False
2019-11-13,GSW,LAL,N/A,N/A,N/A,N/A,False
2019-11-15,GSW,BOS,N/A,N/A,N/A,N/A,False
2019-11-17,GSW,NOP,N/A,N/A,N/A,N/A,False
2019-11-19,GSW,MEM,N/A,N/A,N/A,N/A,False
2019-11-20,GSW,DAL,N/A,N/A,N/A,N/A,False
2019-11-22,GSW,UTA,N/A,N/A,N/A,N/A,False
2019-11-25,GSW,OKC,N/A,N/A,N/A,N/A,False
2019-11-27,GSW,CHI,N/A,N/A,N/A,N/A,False
2019-11-29,GSW,MIA,N/A,N/A,N/A,N/A,False
2019-12-01,GSW,ORL,N/A,N/A,N/A,N/A,False
2019-12-02,GSW,ATL,14:43,2,0,2,True
2019-12-04,GSW,CHO,12:18,7,1,3,False
2019-12-06,GSW,CHI,7:48,3,0,1,False
2019-12-09,GSW,MEM,10:18,0,0,3,False
2019-12-11,GSW,NYK,5:20,5,0,1,False
2019-12-13,GSW,UTA,18:21,2,0,4,True
2019-12-15,GSW,SAC,11:16,0,1,1,False
2019-12-18,GSW,POR,N/A,N/A,N/A,N/A,False
2019-12-20,GSW,NOP,5:42,0,0,4,False
2019-12-23,GSW,MIN,8:43,4,1,1,False
2019-12-25,GSW,HOU,N/A,N/A,N/A,N/A,False
2019-12-27,GSW,PHO,N/A,N/A,N/A,N/A,False
2019-12-28,GSW,DAL,N/A,N/A,N/A,N/A,False
2019-12-31,GSW,SAS,N/A,N/A,N/A,N/A,False
2020-01-02,GSW,MIN,N/A,N/A,N/A,N/A,False
2020-01-04,GSW,DET,N/A,N/A,N/A,N/A,False
2020-01-06,GSW,SAC,N/A,N/A,N/A,N/A,False
2020-01-08,GSW,MIL,N/A,N/A,N/A,N/A,False
2020-01-10,GSW,LAC,N/A,N/A,N/A,N/A,False
2020-01-12,GSW,MEM,N/A,N/A,N/A,N/A,False
2020-01-14,GSW,DAL,N/A,N/A,N/A,N/A,False
2020-01-16,GSW,DEN,N/A,N/A,N/A,N/A,False
2020-01-18,GSW,ORL,N/A,N/A,N/A,N/A,False
2020-01-20,GSW,POR,N/A,N/A,N/A,N/A,False
2020-01-22,GSW,UTA,N/A,N/A,N/A,N/A,False
2020-01-24,GSW,IND,N/A,N/A,N/A,N/A,False
2020-01-28,GSW,PHI,N/A,N/A,N/A,N/A,False
2020-01-30,GSW,BOS,N/A,N/A,N/A,N/A,False
2020-02-01,GSW,CLE,12:30,2,0,4,False
2020-02-03,GSW,WAS,9:32,2,3,4,False
2020-02-05,GSW,BRK,17:51,11,3,5,False
2020-02-08,GSW,LAL,14:25,2,0,1,False
2020-02-10,GSW,MIA,16:26,0,1,3,False
2020-02-12,GSW,PHO,N/A,N/A,N/A,N/A,False
2020-02-20,GSW,HOU,18:26,4,2,1,False
2020-02-23,GSW,NOP,18:47,2,0,6,True
2020-02-25,GSW,SAC,14:45,5,2,3,False
2020-02-27,GSW,LAL,19:16,4,2,4,False
2020-02-29,GSW,PHO,14:43,10,3,6,False
2020-03-01,GSW,WAS,N/A,N/A,N/A,N/A,False
2020-03-03,GSW,DEN,N/A,N/A,N/A,N/A,False
2020-03-05,GSW,TOR,N/A,N/A,N/A,N/A,False
2020-03-07,GSW,PHI,N/A,N/A,N/A,N/A,False
2020-03-10,GSW,LAC,N/A,N/A,N/A,N/A,False
