Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2020-12-23,MIL,BOS,29:05,7,0,3,True
2020-12-25,MIL,GSW,19:43,8,0,4,True
2020-12-27,MIL,NYK,20:51,6,0,2,True
2020-12-29,MIL,MIA,18:11,14,0,2,True
2020-12-30,MIL,MIA,25:43,7,0,8,True
2021-01-01,MIL,CHI,15:56,9,1,3,True
2021-01-04,MIL,DET,30:09,8,1,7,True
2021-01-06,MIL,DET,27:48,17,5,4,True
2021-01-08,MIL,UTA,32:21,12,0,3,True
2021-01-09,MIL,CLE,34:44,7,0,8,True
2021-01-11,MIL,ORL,28:23,6,3,3,True
2021-01-13,MIL,DET,29:30,9,1,11,True
2021-01-15,MIL,DAL,33:40,11,1,11,True
2021-01-18,MIL,BRK,33:35,15,0,7,True
2021-01-21,MIL,LAL,32:49,13,0,4,True
2021-01-24,MIL,ATL,25:34,12,0,3,True
2021-01-27,MIL,TOR,32:03,20,0,7,True
2021-01-29,MIL,NOP,32:27,16,0,3,True
2021-01-30,MIL,CHO,26:33,9,1,4,True
2021-02-01,MIL,POR,17:15,7,0,2,True
2021-02-03,MIL,IND,23:20,11,1,6,True
2021-02-05,MIL,CLE,28:46,13,0,6,True
2021-02-06,MIL,CLE,27:52,7,0,5,True
2021-02-08,MIL,DEN,27:37,13,1,7,True
2021-02-10,MIL,PHO,31:12,10,2,6,True
2021-02-12,MIL,UTA,26:05,23,0,6,True
2021-02-14,MIL,OKC,19:48,2,0,2,True
2021-02-16,MIL,TOR,29:06,9,0,5,True
2021-02-18,MIL,TOR,20:23,12,0,4,True
2021-02-19,MIL,OKC,28:23,7,2,5,True
2021-02-21,MIL,SAC,23:32,6,0,8,True
2021-02-23,MIL,MIN,25:24,15,0,5,True
2021-02-25,MIL,NOP,34:31,12,1,5,True
2021-02-28,MIL,LAC,30:40,10,1,3,True
2021-03-02,MIL,DEN,24:48,12,0,5,True
2021-03-04,MIL,MEM,27:21,12,1,6,True
2021-03-11,MIL,NYK,25:01,14,2,3,True
2021-03-13,MIL,WAS,27:03,11,2,5,True
2021-03-15,MIL,WAS,32:34,22,2,7,True
2021-03-17,MIL,PHI,36:54,14,2,7,True
2021-03-20,MIL,SAS,27:10,11,0,4,True
2021-03-22,MIL,IND,19:11,18,1,2,True
2021-03-24,MIL,BOS,30:55,17,0,5,True
2021-03-26,MIL,BOS,19:20,6,0,6,True
2021-03-27,MIL,NYK,30:20,12,1,10,True
2021-03-29,MIL,LAC,21:39,7,1,1,True
2021-03-31,MIL,LAL,31:00,4,3,5,True
2021-04-02,MIL,POR,23:47,9,0,3,True
2021-04-03,MIL,SAC,31:03,26,0,4,True
2021-04-06,MIL,GSW,33:13,9,2,3,True
2021-04-08,MIL,DAL,30:41,16,1,4,True
2021-04-09,MIL,CHO,N/A,N/A,N/A,N/A,False
2021-04-11,MIL,ORL,22:09,9,1,4,True
2021-04-14,MIL,MIN,22:50,18,0,8,True
2021-04-15,MIL,ATL,31:17,19,0,12,True
2021-04-17,MIL,MEM,28:32,17,0,3,True
2021-04-19,MIL,PHO,33:13,7,0,5,True
2021-04-22,MIL,PHI,23:11,16,1,4,True
2021-04-24,MIL,PHI,18:27,5,1,2,True
2021-04-25,MIL,ATL,28:43,11,0,1,True
2021-04-27,MIL,CHO,26:43,22,2,4,True
2021-04-29,MIL,HOU,30:52,15,1,4,True
2021-04-30,MIL,CHI,33:58,22,3,2,True
2021-05-02,MIL,BRK,25:28,4,0,6,True
2021-05-04,MIL,BRK,24:09,8,0,2,True
2021-05-05,MIL,WAS,26:16,11,1,8,True
2021-05-07,MIL,HOU,24:26,24,1,7,True
2021-05-10,MIL,SAS,22:41,12,0,3,True
2021-05-11,MIL,ORL,27:21,17,0,6,True
2021-05-13,MIL,IND,29:51,21,0,8,True
2021-05-15,MIL,MIA,26:43,18,0,6,True
2021-05-16,MIL,CHI,N/A,N/A,N/A,N/A,False
