Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2021-10-20,DET,CHI,16:44,4,1,6,False
2021-10-23,DET,CHI,19:17,12,0,5,False
2021-10-25,DET,ATL,21:26,8,2,4,False
2021-10-28,DET,PHI,14:21,9,2,4,False
2021-10-30,DET,ORL,12:55,12,2,1,False
2021-10-31,DET,BRK,16:31,8,3,4,False
2021-11-02,DET,MIL,18:30,13,1,7,False
2021-11-04,DET,PHI,10:02,2,0,1,False
2021-11-05,DET,BRK,11:18,5,0,7,False
2021-11-10,DET,HOU,15:46,7,0,6,False
2021-11-12,DET,CLE,15:18,2,0,2,False
2021-11-13,DET,TOR,17:03,8,1,3,False
2021-11-15,DET,SAC,14:58,3,0,1,False
2021-11-17,DET,IND,16:19,5,0,2,False
2021-11-19,DET,GSW,16:47,4,2,3,False
2021-11-21,DET,LAL,11:07,7,0,2,False
2021-11-23,DET,MIA,24:46,6,0,9,False
2021-11-24,DET,MIL,22:34,19,0,7,False
2021-11-26,DET,LAC,14:40,13,0,5,False
2021-11-28,DET,LAL,17:10,13,2,7,False
2021-11-30,DET,POR,11:49,5,1,2,False
2021-12-02,DET,PHO,11:47,4,0,2,False
2021-12-06,DET,OKC,14:27,5,0,6,False
2021-12-08,DET,WAS,23:22,4,1,6,False
2021-12-10,DET,NOP,25:38,18,0,5,False
2021-12-12,DET,BRK,8:01,0,1,0,False
2021-12-16,DET,IND,21:35,10,3,3,False
2021-12-18,DET,HOU,18:58,6,2,2,False
2021-12-19,DET,MIA,18:26,8,3,6,False
2021-12-21,DET,NYK,16:39,13,1,5,False
2021-12-23,DET,MIA,37:04,28,2,8,True
2021-12-26,DET,SAS,N/A,N/A,N/A,N/A,False
2021-12-29,DET,NYK,N/A,N/A,N/A,N/A,False
2022-01-01,DET,SAS,N/A,N/A,N/A,N/A,False
2022-01-03,DET,MIL,34:17,11,3,7,True
2022-01-05,DET,CHO,23:59,17,1,7,True
2022-01-06,DET,MEM,25:36,10,1,6,False
2022-01-08,DET,ORL,27:55,16,2,13,False
2022-01-10,DET,UTA,28:53,14,5,6,False
2022-01-11,DET,CHI,15:10,6,1,3,False
2022-01-14,DET,TOR,33:23,21,1,7,False
2022-01-16,DET,PHO,19:13,18,2,6,False
2022-01-18,DET,GSW,24:52,13,2,5,False
2022-01-19,DET,SAC,19:14,9,0,6,False
2022-01-21,DET,UTA,24:40,16,2,5,False
2022-01-23,DET,DEN,21:17,18,1,5,False
2022-01-25,DET,DEN,22:41,10,2,6,False
2022-01-28,DET,ORL,22:50,18,0,1,False
2022-01-30,DET,CLE,19:50,15,2,7,False
2022-02-01,DET,NOP,21:11,9,1,4,False
2022-02-03,DET,MIN,18:01,13,0,0,False
2022-02-04,DET,BOS,15:56,9,0,6,False
2022-02-06,DET,MIN,17:17,16,1,7,False
2022-02-08,DET,DAL,17:59,12,1,6,False
2022-02-10,DET,MEM,N/A,N/A,N/A,N/A,False
2022-02-12,SAC,WAS,N/A,N/A,N/A,N/A,False
2022-02-14,SAC,BRK,3:14,0,0,1,False
2022-02-16,SAC,CHI,5:14,4,0,2,False
2022-02-24,SAC,DEN,5:43,1,0,4,False
2022-02-26,SAC,DEN,15:39,7,0,1,False
2022-02-28,SAC,OKC,30:40,24,2,6,True
2022-03-02,SAC,NOP,19:54,4,0,4,True
2022-03-03,SAC,SAS,20:08,9,2,4,True
2022-03-05,SAC,DAL,18:13,11,1,6,True
2022-03-07,SAC,NYK,17:06,6,0,4,True
2022-03-09,SAC,DEN,34:39,14,1,9,True
2022-03-12,SAC,UTA,23:50,13,1,5,True
2022-03-14,SAC,CHI,23:50,9,1,11,True
2022-03-16,SAC,MIL,33:25,12,3,12,True
2022-03-18,SAC,BOS,31:41,19,4,6,True
2022-03-20,SAC,PHO,32:55,11,1,5,True
2022-03-23,SAC,IND,22:04,11,2,3,True
2022-03-26,SAC,ORL,36:11,11,3,18,True
2022-03-28,SAC,MIA,30:44,11,2,6,True
2022-03-30,SAC,HOU,36:42,24,3,7,True
2022-04-01,SAC,HOU,26:18,14,2,1,True
2022-04-03,SAC,GSW,21:05,7,1,3,True
2022-04-05,SAC,NOP,19:21,8,0,4,True
2022-04-09,SAC,LAC,19:38,15,0,6,True
2022-04-10,SAC,PHO,18:24,9,1,7,True
