Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2021-10-21,LAC,GSW,39:24,11,3,8,False
2021-10-23,LAC,MEM,26:26,3,3,8,False
2021-10-25,LAC,POR,24:39,13,5,5,False
2021-10-27,LAC,CLE,25:09,7,3,3,False
2021-10-29,LAC,POR,29:14,9,4,5,False
2021-11-01,LAC,OKC,32:29,10,1,5,False
2021-11-03,LAC,MIN,31:12,17,3,2,False
2021-11-05,LAC,MIN,30:08,13,1,6,False
2021-11-07,LAC,CHO,34:15,17,3,10,False
2021-11-09,LAC,POR,32:42,7,1,5,False
2021-11-11,LAC,MIA,17:40,0,2,1,False
2021-11-13,LAC,MIN,30:17,16,4,3,False
2021-11-14,LAC,CHI,32:33,8,3,5,False
2021-11-16,LAC,SAS,N/A,N/A,N/A,N/A,False
2021-11-18,LAC,MEM,24:29,5,1,2,False
2021-11-19,LAC,NOP,26:31,11,1,5,False
2021-11-21,LAC,DAL,27:00,7,0,4,False
2021-11-23,LAC,DAL,19:06,7,2,2,False
2021-11-26,LAC,DET,31:04,16,2,10,False
2021-11-28,LAC,GSW,25:52,8,3,5,False
2021-11-29,LAC,NOP,28:43,6,5,7,False
2021-12-01,LAC,SAC,25:52,19,4,4,False
2021-12-03,LAC,LAL,16:24,2,1,6,False
2021-12-04,LAC,SAC,24:39,9,0,5,False
2021-12-06,LAC,POR,18:13,6,1,6,False
2021-12-08,LAC,BOS,32:06,10,1,10,True
2021-12-11,LAC,ORL,35:24,16,2,9,True
2021-12-13,LAC,PHO,38:23,17,3,9,True
2021-12-15,LAC,UTA,28:44,3,2,5,True
2021-12-18,LAC,OKC,40:36,18,3,7,True
2021-12-20,LAC,SAS,36:35,11,5,4,True
2021-12-22,LAC,SAC,31:53,13,2,1,True
2021-12-26,LAC,DEN,36:22,11,8,7,True
2021-12-27,LAC,BRK,25:56,6,1,2,True
2021-12-29,LAC,BOS,36:09,17,3,5,True
2021-12-31,LAC,TOR,36:44,18,1,11,True
2022-01-01,LAC,BRK,33:42,19,0,3,True
2022-01-03,LAC,MIN,24:36,7,3,1,True
2022-01-06,LAC,PHO,33:06,8,4,4,True
2022-01-08,LAC,MEM,26:34,9,1,8,False
2022-01-09,LAC,ATL,33:03,10,1,7,False
2022-01-11,LAC,DEN,27:36,13,1,2,False
2022-01-13,LAC,NOP,31:07,15,1,4,False
2022-01-15,LAC,SAS,30:36,6,3,4,False
2022-01-17,LAC,IND,20:18,9,3,5,False
2022-01-19,LAC,DEN,38:54,7,3,8,True
2022-01-21,LAC,PHI,18:29,2,0,6,False
2022-01-23,LAC,NYK,24:32,9,0,4,False
2022-01-25,LAC,WAS,32:27,16,3,5,True
2022-01-26,LAC,ORL,26:51,14,2,0,True
2022-01-28,LAC,MIA,25:17,4,0,4,True
2022-01-30,LAC,CHO,21:28,4,2,3,True
2022-01-31,LAC,IND,22:51,6,2,5,True
2022-02-03,LAC,LAL,13:44,5,1,2,False
2022-02-06,LAC,MIL,25:12,6,5,7,False
2022-02-08,LAC,MEM,26:21,14,7,6,False
2022-02-10,LAC,DAL,30:37,13,3,5,False
2022-02-12,LAC,DAL,34:51,21,2,9,True
2022-02-14,LAC,GSW,39:05,25,6,7,True
2022-02-15,LAC,PHO,31:52,2,1,3,True
2022-02-17,LAC,HOU,28:19,20,1,8,True
2022-02-25,LAC,LAL,36:12,19,4,10,True
2022-02-27,LAC,HOU,27:25,9,2,8,True
2022-03-01,LAC,HOU,30:08,11,5,7,True
2022-03-03,LAC,LAL,26:25,9,4,4,True
2022-03-06,LAC,NYK,31:51,11,4,8,True
2022-03-08,LAC,GSW,27:30,7,2,7,True
2022-03-09,LAC,WAS,29:19,9,3,9,False
2022-03-11,LAC,ATL,20:46,6,1,4,False
2022-03-13,LAC,DET,23:17,6,2,4,False
2022-03-14,LAC,CLE,44:51,18,4,10,True
2022-03-16,LAC,TOR,30:14,16,4,9,False
2022-03-18,LAC,UTA,27:09,14,6,2,False
2022-03-22,LAC,DEN,35:23,24,4,8,False
2022-03-25,LAC,PHI,22:32,12,2,2,False
2022-03-29,LAC,UTA,22:40,8,3,2,False
2022-03-31,LAC,CHI,19:55,4,2,3,False
2022-04-01,LAC,MIL,31:44,18,5,3,True
2022-04-03,LAC,NOP,29:10,15,3,3,False
2022-04-06,LAC,PHO,25:49,10,2,4,False
2022-04-09,LAC,SAC,15:38,5,2,1,False
2022-04-10,LAC,OKC,24:22,10,3,5,True
