Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2018-10-18,CHI,PHI,N/A,N/A,N/A,N/A,False
2018-10-20,CHI,DET,N/A,N/A,N/A,N/A,False
2018-10-22,CHI,DAL,N/A,N/A,N/A,N/A,False
2018-10-24,CHI,CHO,N/A,N/A,N/A,N/A,False
2018-10-26,CHI,CHO,N/A,N/A,N/A,N/A,False
2018-10-27,CHI,ATL,N/A,N/A,N/A,N/A,False
2018-10-29,CHI,GSW,N/A,N/A,N/A,N/A,False
2018-10-31,CHI,DEN,N/A,N/A,N/A,N/A,False
2018-11-02,CHI,IND,N/A,N/A,N/A,N/A,False
2018-11-03,CHI,HOU,N/A,N/A,N/A,N/A,False
2018-11-05,CHI,NYK,N/A,N/A,N/A,N/A,False
2018-11-07,CHI,NOP,N/A,N/A,N/A,N/A,False
2018-11-10,CHI,CLE,N/A,N/A,N/A,N/A,False
2018-11-12,CHI,DAL,N/A,N/A,N/A,N/A,False
2018-11-14,CHI,BOS,N/A,N/A,N/A,N/A,False
2018-11-16,CHI,MIL,N/A,N/A,N/A,N/A,False
2018-11-17,CHI,TOR,N/A,N/A,N/A,N/A,False
2018-11-21,CHI,PHO,N/A,N/A,N/A,N/A,False
2018-11-23,CHI,MIA,N/A,N/A,N/A,N/A,False
2018-11-24,CHI,MIN,N/A,N/A,N/A,N/A,False
2018-11-26,CHI,SAS,N/A,N/A,N/A,N/A,False
2018-11-28,CHI,MIL,N/A,N/A,N/A,N/A,False
2018-11-30,CHI,DET,N/A,N/A,N/A,N/A,False
2018-12-01,CHI,HOU,25:34,10,0,4,False
2018-12-04,CHI,IND,32:11,21,1,10,True
2018-12-07,CHI,OKC,28:28,24,2,7,True
2018-12-08,CHI,BOS,18:19,8,1,4,True
2018-12-10,CHI,SAC,28:34,13,1,6,True
2018-12-13,CHI,ORL,27:58,7,0,5,True
2018-12-15,CHI,SAS,36:36,23,1,7,True
2018-12-17,CHI,OKC,27:51,16,0,15,True
2018-12-19,CHI,BRK,33:05,8,2,6,True
2018-12-21,CHI,ORL,36:45,32,3,6,True
2018-12-23,CHI,CLE,32:21,31,3,4,True
2018-12-26,CHI,MIN,32:04,16,0,7,True
2018-12-28,CHI,WAS,28:49,14,0,14,True
2018-12-30,CHI,TOR,39:04,18,1,10,True
2019-01-02,CHI,ORL,28:08,14,1,6,True
2019-01-04,CHI,IND,41:42,27,2,9,True
2019-01-06,CHI,BRK,33:29,14,0,6,True
2019-01-09,CHI,POR,32:29,10,2,5,True
2019-01-11,CHI,GSW,25:47,8,0,5,True
2019-01-12,CHI,UTA,34:00,16,1,5,True
2019-01-15,CHI,LAL,31:03,17,0,3,True
2019-01-17,CHI,DEN,25:10,27,1,10,True
2019-01-19,CHI,MIA,33:31,20,0,9,True
2019-01-21,CHI,CLE,31:40,13,0,8,True
2019-01-23,CHI,ATL,34:29,22,1,6,True
2019-01-25,CHI,LAC,31:13,13,0,8,True
2019-01-27,CHI,CLE,38:55,21,1,15,True
2019-01-29,CHI,BRK,30:32,18,1,19,True
2019-01-30,CHI,MIA,33:51,14,4,13,True
2019-02-02,CHI,CHO,33:01,30,1,9,True
2019-02-06,CHI,NOP,40:52,30,2,10,True
2019-02-08,CHI,BRK,38:25,31,0,18,True
2019-02-09,CHI,WAS,31:40,20,4,11,True
2019-02-11,CHI,MIL,37:57,20,3,17,True
2019-02-13,CHI,MEM,34:59,21,6,9,True
2019-02-22,CHI,ORL,37:40,25,2,11,True
2019-02-23,CHI,BOS,37:00,35,2,15,True
2019-02-25,CHI,MIL,35:39,26,3,12,True
2019-02-27,CHI,MEM,35:29,22,1,10,True
2019-03-01,CHI,ATL,53:53,31,2,17,True
2019-03-03,CHI,ATL,28:40,19,3,9,True
2019-03-05,CHI,IND,33:51,14,2,13,True
2019-03-06,CHI,PHI,30:23,11,1,8,True
2019-03-08,CHI,DET,35:50,18,2,6,True
2019-03-10,CHI,DET,25:58,17,2,6,True
2019-03-12,CHI,LAL,34:50,11,0,5,True
2019-03-15,CHI,LAC,27:57,10,1,8,True
2019-03-17,CHI,SAC,22:51,11,2,3,True
2019-03-18,CHI,PHO,30:56,17,2,9,True
2019-03-20,CHI,WAS,37:55,32,5,13,True
2019-03-23,CHI,UTA,26:16,18,0,10,True
2019-03-26,CHI,TOR,16:29,10,0,9,True
2019-03-27,CHI,POR,N/A,N/A,N/A,N/A,False
2019-03-30,CHI,TOR,N/A,N/A,N/A,N/A,False
2019-04-01,CHI,NYK,N/A,N/A,N/A,N/A,False
2019-04-03,CHI,WAS,N/A,N/A,N/A,N/A,False
2019-04-06,CHI,PHI,N/A,N/A,N/A,N/A,False
2019-04-09,CHI,NYK,N/A,N/A,N/A,N/A,False
2019-04-10,CHI,PHI,N/A,N/A,N/A,N/A,False
