Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2018-10-17,ORL,MIA,N/A,N/A,N/A,N/A,False
2018-10-19,ORL,CHO,12:00,6,1,2,False
2018-10-20,ORL,PHI,N/A,N/A,N/A,N/A,False
2018-10-22,ORL,BOS,N/A,N/A,N/A,N/A,False
2018-10-25,ORL,POR,N/A,N/A,N/A,N/A,False
2018-10-27,ORL,MIL,6:49,2,1,2,False
2018-10-30,ORL,SAC,N/A,N/A,N/A,N/A,False
2018-11-02,ORL,LAC,8:22,6,0,1,False
2018-11-04,ORL,SAS,6:47,5,0,2,False
2018-11-05,ORL,CLE,14:33,0,1,6,False
2018-11-07,ORL,DET,19:56,0,2,2,False
2018-11-09,ORL,WAS,5:40,0,0,0,False
2018-11-11,ORL,NYK,27:31,7,3,6,True
2018-11-12,ORL,WAS,14:37,2,1,2,False
2018-11-14,ORL,PHI,N/A,N/A,N/A,N/A,False
2018-11-17,ORL,LAL,1:44,2,0,1,False
2018-11-18,ORL,NYK,N/A,N/A,N/A,N/A,False
2018-11-20,ORL,TOR,N/A,N/A,N/A,N/A,False
2018-11-23,ORL,DEN,5:32,0,0,4,False
2018-11-25,ORL,LAL,1:39,0,0,0,False
2018-11-26,ORL,GSW,1:27,0,0,1,False
2018-11-28,ORL,POR,17:36,10,0,3,False
2018-11-30,ORL,PHO,N/A,N/A,N/A,N/A,False
2018-12-04,ORL,MIA,N/A,N/A,N/A,N/A,False
2018-12-05,ORL,DEN,N/A,N/A,N/A,N/A,False
2018-12-07,ORL,IND,4:08,0,0,0,False
2018-12-10,ORL,DAL,5:20,3,1,0,False
2018-12-13,ORL,CHI,N/A,N/A,N/A,N/A,False
2018-12-15,ORL,UTA,4:49,0,0,0,False
2018-12-19,ORL,SAS,6:16,1,1,3,False
2018-12-21,ORL,CHI,3:42,0,0,0,False
2018-12-23,ORL,MIA,3:46,0,0,0,False
2018-12-26,ORL,PHO,N/A,N/A,N/A,N/A,False
2018-12-28,ORL,TOR,3:22,2,0,3,False
2018-12-30,ORL,DET,N/A,N/A,N/A,N/A,False
2018-12-31,ORL,CHO,7:49,4,0,2,False
2019-01-02,ORL,CHI,3:48,3,0,0,False
2019-01-04,ORL,MIN,3:45,0,0,0,False
2019-01-06,ORL,LAC,1:55,0,0,0,False
2019-01-07,ORL,SAC,6:10,4,0,3,False
2019-01-09,ORL,UTA,N/A,N/A,N/A,N/A,False
2019-01-12,ORL,BOS,N/A,N/A,N/A,N/A,False
2019-01-13,ORL,HOU,N/A,N/A,N/A,N/A,False
2019-01-16,ORL,DET,N/A,N/A,N/A,N/A,False
2019-01-18,ORL,BRK,N/A,N/A,N/A,N/A,False
2019-01-19,ORL,MIL,18:41,12,2,2,False
2019-01-21,ORL,ATL,16:14,8,0,1,False
2019-01-23,ORL,BRK,N/A,N/A,N/A,N/A,False
2019-01-25,ORL,WAS,N/A,N/A,N/A,N/A,False
2019-01-27,ORL,HOU,N/A,N/A,N/A,N/A,False
2019-01-29,ORL,OKC,N/A,N/A,N/A,N/A,False
2019-01-31,ORL,IND,N/A,N/A,N/A,N/A,False
2019-02-02,ORL,BRK,N/A,N/A,N/A,N/A,False
2019-02-05,ORL,OKC,N/A,N/A,N/A,N/A,False
2019-02-07,ORL,MIN,N/A,N/A,N/A,N/A,False
2019-02-09,ORL,MIL,3:06,0,0,1,False
2019-02-10,ORL,ATL,7:40,6,0,3,False
2019-02-12,ORL,NOP,3:52,3,0,1,False
2019-02-14,ORL,CHO,5:21,6,1,1,False
2019-02-22,ORL,CHI,N/A,N/A,N/A,N/A,False
2019-02-24,ORL,TOR,N/A,N/A,N/A,N/A,False
2019-02-26,ORL,NYK,N/A,N/A,N/A,N/A,False
2019-02-28,ORL,GSW,N/A,N/A,N/A,N/A,False
2019-03-02,ORL,IND,N/A,N/A,N/A,N/A,False
2019-03-03,ORL,CLE,N/A,N/A,N/A,N/A,False
2019-03-05,ORL,PHI,11:53,5,1,4,False
2019-03-08,ORL,DAL,N/A,N/A,N/A,N/A,False
2019-03-10,ORL,MEM,6:41,3,0,2,False
2019-03-13,ORL,WAS,N/A,N/A,N/A,N/A,False
2019-03-14,ORL,CLE,4:07,6,0,1,False
2019-03-17,ORL,ATL,N/A,N/A,N/A,N/A,False
2019-03-20,ORL,NOP,6:28,0,0,3,False
2019-03-22,ORL,MEM,N/A,N/A,N/A,N/A,False
2019-03-25,ORL,PHI,3:38,0,0,1,False
2019-03-26,ORL,MIA,N/A,N/A,N/A,N/A,False
2019-03-28,ORL,DET,2:15,0,0,1,False
2019-03-30,ORL,IND,N/A,N/A,N/A,N/A,False
2019-04-01,ORL,TOR,5:45,5,0,1,False
2019-04-03,ORL,NYK,N/A,N/A,N/A,N/A,False
2019-04-05,ORL,ATL,11:17,2,2,5,False
2019-04-07,ORL,BOS,1:40,0,0,0,False
2019-04-10,ORL,CHO,20:12,2,1,3,False
