Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2019-10-23,WAS,DAL,0:37,0,1,0,False
2019-10-25,WAS,OKC,13:04,0,1,1,False
2019-10-26,WAS,SAS,N/A,N/A,N/A,N/A,False
2019-10-30,WAS,HOU,N/A,N/A,N/A,N/A,False
2019-11-02,WAS,MIN,N/A,N/A,N/A,N/A,False
2019-11-04,WAS,DET,N/A,N/A,N/A,N/A,False
2019-11-06,WAS,IND,N/A,N/A,N/A,N/A,False
2019-11-08,WAS,CLE,N/A,N/A,N/A,N/A,False
2019-11-13,WAS,BOS,N/A,N/A,N/A,N/A,False
2019-11-15,WAS,MIN,N/A,N/A,N/A,N/A,False
2019-11-17,WAS,ORL,N/A,N/A,N/A,N/A,False
2019-11-20,WAS,SAS,N/A,N/A,N/A,N/A,False
2019-11-22,WAS,CHO,N/A,N/A,N/A,N/A,False
2019-11-24,WAS,SAC,N/A,N/A,N/A,N/A,False
2019-11-26,WAS,DEN,N/A,N/A,N/A,N/A,False
2019-11-27,WAS,PHO,N/A,N/A,N/A,N/A,False
2019-11-29,WAS,LAL,N/A,N/A,N/A,N/A,False
2019-12-01,WAS,LAC,N/A,N/A,N/A,N/A,False
2019-12-03,WAS,ORL,N/A,N/A,N/A,N/A,False
2019-12-05,WAS,PHI,N/A,N/A,N/A,N/A,False
2019-12-06,WAS,MIA,N/A,N/A,N/A,N/A,False
2019-12-08,WAS,LAC,N/A,N/A,N/A,N/A,False
2019-12-10,WAS,CHO,N/A,N/A,N/A,N/A,False
2019-12-14,WAS,MEM,5:04,3,0,1,False
2019-12-16,WAS,DET,10:48,4,0,0,False
2019-12-18,WAS,CHI,12:19,5,0,4,False
2019-12-20,WAS,TOR,16:29,6,2,2,False
2019-12-21,WAS,PHI,6:45,2,0,0,False
2019-12-23,WAS,NYK,18:37,6,1,3,False
2019-12-26,WAS,DET,8:24,4,1,3,False
2019-12-28,WAS,NYK,8:49,0,0,1,False
2019-12-30,WAS,MIA,29:10,28,0,4,False
2020-01-01,WAS,ORL,17:02,10,1,1,False
2020-01-03,WAS,POR,24:43,18,1,2,False
2020-01-04,WAS,DEN,20:37,7,0,1,False
2020-01-06,WAS,BOS,3:58,0,2,0,False
2020-01-08,WAS,ORL,N/A,N/A,N/A,N/A,False
2020-01-10,WAS,ATL,N/A,N/A,N/A,N/A,False
2020-01-12,WAS,UTA,N/A,N/A,N/A,N/A,False
2020-01-15,WAS,CHI,N/A,N/A,N/A,N/A,False
2020-01-17,WAS,TOR,N/A,N/A,N/A,N/A,False
2020-01-20,WAS,DET,N/A,N/A,N/A,N/A,False
2020-01-22,WAS,MIA,N/A,N/A,N/A,N/A,False
2020-01-23,WAS,CLE,N/A,N/A,N/A,N/A,False
2020-01-26,WAS,ATL,N/A,N/A,N/A,N/A,False
2020-01-28,WAS,MIL,N/A,N/A,N/A,N/A,False
2020-01-30,WAS,CHO,N/A,N/A,N/A,N/A,False
2020-02-01,WAS,BRK,N/A,N/A,N/A,N/A,False
2020-02-03,WAS,GSW,N/A,N/A,N/A,N/A,False
2020-02-07,WAS,DAL,5:20,0,0,0,False
2020-02-09,WAS,MEM,N/A,N/A,N/A,N/A,False
2020-02-11,WAS,CHI,N/A,N/A,N/A,N/A,False
2020-02-12,WAS,NYK,N/A,N/A,N/A,N/A,False
2020-02-21,WAS,CLE,N/A,N/A,N/A,N/A,False
2020-02-23,WAS,CHI,N/A,N/A,N/A,N/A,False
2020-02-24,WAS,MIL,N/A,N/A,N/A,N/A,False
2020-02-26,WAS,BRK,N/A,N/A,N/A,N/A,False
2020-02-28,WAS,UTA,N/A,N/A,N/A,N/A,False
2020-03-01,WAS,GSW,N/A,N/A,N/A,N/A,False
2020-03-03,WAS,SAC,N/A,N/A,N/A,N/A,False
2020-03-04,WAS,POR,N/A,N/A,N/A,N/A,False
2020-03-06,WAS,ATL,N/A,N/A,N/A,N/A,False
2020-03-08,WAS,MIA,17:04,0,0,1,False
2020-03-10,WAS,NYK,8:33,5,0,0,False
2020-07-31,WAS,PHO,N/A,N/A,N/A,N/A,False
2020-08-02,WAS,BRK,N/A,N/A,N/A,N/A,False
2020-08-03,WAS,IND,N/A,N/A,N/A,N/A,False
2020-08-05,WAS,PHI,N/A,N/A,N/A,N/A,False
2020-08-07,WAS,NOP,N/A,N/A,N/A,N/A,False
2020-08-09,WAS,OKC,N/A,N/A,N/A,N/A,False
2020-08-11,WAS,MIL,N/A,N/A,N/A,N/A,False
2020-08-13,WAS,BOS,N/A,N/A,N/A,N/A,False
