Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2021-10-20,PHI,NOP,33:40,20,5,7,True
2021-10-22,PHI,BRK,36:15,15,2,2,True
2021-10-24,PHI,OKC,34:03,14,2,5,True
2021-10-26,PHI,NYK,30:12,7,3,2,True
2021-10-28,PHI,DET,31:03,16,6,6,True
2021-10-30,PHI,ATL,25:07,16,3,0,True
2021-11-01,PHI,POR,30:18,10,7,1,True
2021-11-03,PHI,CHI,37:00,14,6,1,True
2021-11-04,PHI,DET,44:41,20,5,4,True
2021-11-06,PHI,CHI,44:13,10,8,3,True
2021-11-08,PHI,NYK,39:16,16,5,9,True
2021-11-09,PHI,MIL,39:00,31,4,5,True
2021-11-11,PHI,TOR,39:41,33,5,4,True
2021-11-13,PHI,IND,42:56,24,3,2,True
2021-11-16,PHI,UTA,28:53,16,2,4,True
2021-11-18,PHI,DEN,34:49,22,4,5,True
2021-11-20,PHI,POR,35:11,28,9,3,True
2021-11-22,PHI,SAC,35:01,24,4,1,True
2021-11-24,PHI,GSW,33:07,19,5,3,True
2021-11-27,PHI,MIN,43:30,15,9,4,True
2021-11-29,PHI,ORL,31:38,9,9,8,True
2021-12-01,PHI,BOS,32:54,6,1,6,True
2021-12-03,PHI,ATL,32:38,11,5,3,True
2021-12-06,PHI,CHO,N/A,N/A,N/A,N/A,False
2021-12-08,PHI,CHO,26:05,6,3,2,True
2021-12-09,PHI,UTA,25:42,11,2,3,True
2021-12-11,PHI,GSW,29:40,14,2,2,True
2021-12-13,PHI,MEM,30:12,23,7,0,True
2021-12-15,PHI,MIA,41:52,27,5,3,True
2021-12-16,PHI,BRK,N/A,N/A,N/A,N/A,False
2021-12-20,PHI,BOS,N/A,N/A,N/A,N/A,False
2021-12-23,PHI,ATL,33:30,17,3,1,False
2021-12-26,PHI,WAS,33:21,13,4,3,True
2021-12-28,PHI,TOR,36:20,5,1,2,True
2021-12-30,PHI,BRK,33:17,25,4,7,True
2022-01-03,PHI,HOU,N/A,N/A,N/A,N/A,False
2022-01-05,PHI,ORL,N/A,N/A,N/A,N/A,False
2022-01-07,PHI,SAS,N/A,N/A,N/A,N/A,False
2022-01-10,PHI,HOU,N/A,N/A,N/A,N/A,False
2022-01-12,PHI,CHO,38:21,10,3,3,True
2022-01-14,PHI,BOS,37:59,23,5,0,True
2022-01-15,PHI,MIA,40:11,13,4,7,True
2022-01-17,PHI,WAS,33:23,18,3,4,True
2022-01-19,PHI,ORL,35:01,14,2,3,True
2022-01-21,PHI,LAC,45:34,19,8,2,True
2022-01-23,PHI,SAS,41:44,18,6,4,True
2022-01-25,PHI,NOP,35:04,10,5,3,True
2022-01-27,PHI,LAL,38:36,14,10,7,True
2022-01-29,PHI,SAC,41:24,13,7,2,True
2022-01-31,PHI,MEM,42:30,33,8,3,True
2022-02-02,PHI,WAS,37:32,22,7,8,True
2022-02-04,PHI,DAL,36:26,18,6,2,True
2022-02-06,PHI,CHI,37:31,16,6,4,True
2022-02-08,PHI,PHO,34:13,14,4,6,True
2022-02-11,PHI,OKC,31:46,24,2,5,True
2022-02-12,PHI,CLE,32:53,16,2,2,True
2022-02-15,PHI,BOS,30:37,11,1,2,True
2022-02-17,PHI,MIL,40:02,19,4,2,True
2022-02-25,PHI,MIN,32:09,28,2,2,True
2022-02-27,PHI,NYK,36:51,21,3,7,True
2022-03-02,PHI,NYK,35:31,25,3,4,True
2022-03-04,PHI,CLE,37:55,33,5,4,True
2022-03-05,PHI,MIA,35:17,17,1,2,True
2022-03-07,PHI,CHI,36:09,17,4,1,True
2022-03-10,PHI,BRK,28:44,4,1,1,True
2022-03-13,PHI,ORL,44:52,10,5,2,True
2022-03-14,PHI,DEN,41:43,19,3,3,True
2022-03-16,PHI,CLE,38:26,25,2,2,True
2022-03-18,PHI,DAL,30:47,8,3,2,True
2022-03-20,PHI,TOR,36:45,19,4,1,True
2022-03-21,PHI,MIA,28:25,28,4,5,True
2022-03-23,PHI,LAL,38:07,21,7,5,True
2022-03-25,PHI,LAC,29:18,11,1,5,True
2022-03-27,PHI,PHO,37:53,18,3,0,True
2022-03-29,PHI,MIL,39:42,7,6,1,True
2022-03-31,PHI,DET,34:31,13,2,2,True
2022-04-02,PHI,CHO,33:07,19,4,2,True
2022-04-03,PHI,CLE,29:01,11,3,0,True
2022-04-05,PHI,IND,38:20,30,7,3,True
2022-04-07,PHI,TOR,36:43,22,4,3,True
2022-04-09,PHI,IND,30:44,18,5,1,True
2022-04-10,PHI,DET,23:22,25,3,2,True
