Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2018-10-18,POR,LAL,31:01,21,1,5,True
2018-10-20,POR,SAS,30:16,24,2,2,True
2018-10-22,POR,WAS,38:22,13,4,4,True
2018-10-25,POR,ORL,29:01,22,2,2,True
2018-10-27,POR,MIA,35:43,19,2,7,True
2018-10-29,POR,IND,32:30,17,1,6,True
2018-10-30,POR,HOU,27:36,19,2,4,True
2018-11-01,POR,NOP,29:47,8,4,2,True
2018-11-03,POR,LAL,35:48,30,4,5,True
2018-11-04,POR,MIN,28:01,16,1,3,True
2018-11-06,POR,MIL,35:53,40,6,4,True
2018-11-08,POR,LAC,34:57,23,2,7,True
2018-11-11,POR,BOS,34:49,14,1,2,True
2018-11-14,POR,LAL,35:23,23,4,1,True
2018-11-16,POR,MIN,30:40,18,2,1,True
2018-11-18,POR,WAS,39:10,25,0,7,True
2018-11-20,POR,NYK,38:28,31,2,4,True
2018-11-21,POR,MIL,32:53,22,1,1,True
2018-11-23,POR,GSW,36:15,19,5,1,True
2018-11-25,POR,LAC,36:14,18,1,9,True
2018-11-28,POR,ORL,34:47,15,2,6,True
2018-11-30,POR,DEN,37:51,33,1,4,True
2018-12-02,POR,SAS,38:33,24,3,2,True
2018-12-04,POR,DAL,39:35,18,4,3,True
2018-12-06,POR,PHO,N/A,N/A,N/A,N/A,False
2018-12-08,POR,MIN,33:04,19,4,5,True
2018-12-11,POR,HOU,39:16,23,4,3,True
2018-12-12,POR,MEM,39:27,40,2,5,True
2018-12-14,POR,TOR,28:06,14,4,1,True
2018-12-17,POR,LAC,34:18,27,3,3,True
2018-12-19,POR,MEM,29:33,11,1,4,True
2018-12-21,POR,UTA,30:12,12,2,4,True
2018-12-23,POR,DAL,34:02,22,5,5,True
2018-12-25,POR,UTA,33:44,11,3,3,True
2018-12-27,POR,GSW,39:20,24,3,4,True
2018-12-29,POR,GSW,35:14,14,1,5,True
2018-12-30,POR,PHI,27:50,35,3,3,True
2019-01-01,POR,SAC,38:40,16,2,1,True
2019-01-04,POR,OKC,31:57,10,5,2,True
2019-01-05,POR,HOU,40:01,24,4,4,True
2019-01-07,POR,NYK,37:03,17,2,3,True
2019-01-09,POR,CHI,30:47,24,4,3,True
2019-01-11,POR,CHO,28:44,30,2,6,True
2019-01-13,POR,DEN,37:13,18,3,3,True
2019-01-14,POR,SAC,30:13,6,1,6,True
2019-01-16,POR,CLE,29:22,19,1,3,True
2019-01-18,POR,NOP,32:17,20,3,6,True
2019-01-21,POR,UTA,38:04,14,4,4,True
2019-01-22,POR,OKC,38:10,31,3,3,True
2019-01-24,POR,PHO,25:22,20,2,3,True
2019-01-26,POR,ATL,37:06,28,10,10,True
2019-01-30,POR,UTA,30:12,30,1,3,True
2019-02-05,POR,MIA,39:32,33,2,5,True
2019-02-07,POR,SAS,33:59,30,2,9,True
2019-02-10,POR,DAL,33:39,14,5,6,True
2019-02-11,POR,OKC,37:10,13,4,4,True
2019-02-13,POR,GSW,25:40,15,2,3,True
2019-02-21,POR,BRK,30:35,21,5,6,True
2019-02-23,POR,PHI,33:40,15,4,5,True
2019-02-25,POR,CLE,35:54,35,2,7,True
2019-02-27,POR,BOS,37:28,14,3,5,True
2019-03-01,POR,TOR,39:48,35,5,4,True
2019-03-03,POR,CHO,34:26,6,6,2,True
2019-03-05,POR,MEM,35:20,27,2,2,True
2019-03-07,POR,OKC,44:47,25,0,5,True
2019-03-09,POR,PHO,30:24,26,4,3,True
2019-03-12,POR,LAC,35:28,35,4,4,True
2019-03-15,POR,NOP,38:00,23,4,5,True
2019-03-16,POR,SAS,22:31,10,5,3,True
2019-03-18,POR,IND,N/A,N/A,N/A,N/A,False
2019-03-20,POR,DAL,N/A,N/A,N/A,N/A,False
2019-03-23,POR,DET,N/A,N/A,N/A,N/A,False
2019-03-25,POR,BRK,N/A,N/A,N/A,N/A,False
2019-03-27,POR,CHI,N/A,N/A,N/A,N/A,False
2019-03-29,POR,ATL,N/A,N/A,N/A,N/A,False
2019-03-30,POR,DET,N/A,N/A,N/A,N/A,False
2019-04-01,POR,MIN,N/A,N/A,N/A,N/A,False
2019-04-03,POR,MEM,N/A,N/A,N/A,N/A,False
2019-04-05,POR,DEN,N/A,N/A,N/A,N/A,False
2019-04-07,POR,DEN,24:39,9,6,6,True
2019-04-09,POR,LAL,29:23,11,3,1,True
2019-04-10,POR,SAC,N/A,N/A,N/A,N/A,False
