Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2020-12-23,MIL,BOS,37:33,27,8,14,True
2020-12-25,MIL,GSW,25:47,31,5,4,True
2020-12-27,MIL,NYK,32:46,22,5,4,True
2020-12-29,MIL,MIA,25:15,25,5,4,True
2020-12-30,MIL,MIA,37:00,8,9,7,True
2021-01-01,MIL,CHI,25:20,14,6,2,True
2021-01-04,MIL,DET,35:50,19,4,9,True
2021-01-06,MIL,DET,31:02,23,7,5,True
2021-01-08,MIL,UTA,35:58,31,4,10,True
2021-01-09,MIL,CLE,35:28,27,6,5,True
2021-01-11,MIL,ORL,29:49,20,3,10,True
2021-01-13,MIL,DET,31:19,12,6,2,True
2021-01-15,MIL,DAL,37:05,25,6,8,True
2021-01-18,MIL,BRK,36:15,25,4,4,True
2021-01-21,MIL,LAL,36:24,20,7,5,True
2021-01-24,MIL,ATL,33:08,19,7,8,True
2021-01-27,MIL,TOR,34:43,24,7,10,True
2021-01-29,MIL,NOP,36:23,16,8,8,True
2021-01-30,MIL,CHO,32:27,18,4,4,True
2021-02-01,MIL,POR,25:16,17,9,5,True
2021-02-03,MIL,IND,26:00,12,4,5,True
2021-02-05,MIL,CLE,30:59,15,5,4,True
2021-02-06,MIL,CLE,29:23,20,4,1,True
2021-02-08,MIL,DEN,36:23,29,12,8,True
2021-02-10,MIL,PHO,35:36,18,11,5,True
2021-02-12,MIL,UTA,37:48,18,4,2,True
2021-02-14,MIL,OKC,35:23,23,3,3,True
2021-02-16,MIL,TOR,37:33,11,0,7,True
2021-02-18,MIL,TOR,37:08,13,5,8,True
2021-02-19,MIL,OKC,35:50,20,4,8,True
2021-02-21,MIL,SAC,32:37,32,6,8,True
2021-02-23,MIL,MIN,33:34,15,4,7,True
2021-02-25,MIL,NOP,38:51,31,6,7,True
2021-02-28,MIL,LAC,32:47,19,8,6,True
2021-03-02,MIL,DEN,29:06,20,6,4,True
2021-03-04,MIL,MEM,39:07,22,4,10,True
2021-03-11,MIL,NYK,26:22,14,2,5,True
2021-03-13,MIL,WAS,33:22,16,8,5,True
2021-03-15,MIL,WAS,34:12,23,3,5,True
2021-03-17,MIL,PHI,40:06,15,2,4,True
2021-03-20,MIL,SAS,36:10,23,3,5,True
2021-03-22,MIL,IND,31:21,25,6,8,True
2021-03-24,MIL,BOS,35:52,27,4,13,True
2021-03-26,MIL,BOS,28:35,19,4,3,True
2021-03-27,MIL,NYK,N/A,N/A,N/A,N/A,False
2021-03-29,MIL,LAC,35:48,15,3,3,True
2021-03-31,MIL,LAL,35:55,17,8,6,True
2021-04-02,MIL,POR,32:10,20,8,7,True
2021-04-03,MIL,SAC,34:26,16,5,3,True
2021-04-06,MIL,GSW,37:22,28,7,2,True
2021-04-08,MIL,DAL,35:20,14,3,8,True
2021-04-09,MIL,CHO,N/A,N/A,N/A,N/A,False
2021-04-11,MIL,ORL,28:36,21,5,8,True
2021-04-14,MIL,MIN,25:11,27,7,8,True
2021-04-15,MIL,ATL,33:48,10,7,9,True
2021-04-17,MIL,MEM,34:58,16,10,5,True
2021-04-19,MIL,PHO,38:22,26,5,7,True
2021-04-22,MIL,PHI,33:30,24,5,1,True
2021-04-24,MIL,PHI,19:57,4,1,2,True
2021-04-25,MIL,ATL,33:57,23,2,6,True
2021-04-27,MIL,CHO,37:52,17,6,5,True
2021-04-29,MIL,HOU,37:08,33,8,4,True
2021-04-30,MIL,CHI,33:02,22,6,8,True
2021-05-02,MIL,BRK,36:07,26,6,11,True
2021-05-04,MIL,BRK,36:14,23,4,7,True
2021-05-05,MIL,WAS,N/A,N/A,N/A,N/A,False
2021-05-07,MIL,HOU,32:14,23,3,2,True
2021-05-10,MIL,SAS,32:25,23,5,7,True
2021-05-11,MIL,ORL,29:32,11,5,7,True
2021-05-13,MIL,IND,33:58,22,6,4,True
2021-05-15,MIL,MIA,31:51,21,7,7,True
2021-05-16,MIL,CHI,N/A,N/A,N/A,N/A,False
