Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2018-10-17,SAS,MIN,29:53,6,1,2,False
2018-10-20,SAS,POR,22:09,9,1,3,False
2018-10-22,SAS,LAL,31:02,12,3,2,False
2018-10-24,SAS,IND,24:38,0,0,4,False
2018-10-27,SAS,LAL,25:17,10,1,3,False
2018-10-29,SAS,DAL,34:05,10,2,3,False
2018-10-31,SAS,PHO,20:22,9,1,1,False
2018-11-03,SAS,NOP,28:37,15,7,8,False
2018-11-04,SAS,ORL,32:25,16,3,3,False
2018-11-07,SAS,MIA,27:45,20,0,4,False
2018-11-10,SAS,HOU,28:53,5,2,6,False
2018-11-12,SAS,SAC,21:49,5,4,3,False
2018-11-14,SAS,PHO,21:01,8,3,1,False
2018-11-15,SAS,LAC,33:15,12,5,4,False
2018-11-18,SAS,GSW,24:31,8,5,5,False
2018-11-19,SAS,NOP,13:22,2,0,0,False
2018-11-21,SAS,MEM,24:43,15,3,2,False
2018-11-23,SAS,IND,29:16,14,2,1,False
2018-11-24,SAS,MIL,22:48,9,3,2,False
2018-11-26,SAS,CHI,23:18,17,2,1,False
2018-11-28,SAS,MIN,18:13,6,3,1,False
2018-11-30,SAS,HOU,21:02,6,2,4,False
2018-12-02,SAS,POR,24:46,15,6,1,False
2018-12-04,SAS,UTA,17:26,8,2,1,False
2018-12-05,SAS,LAL,20:30,6,4,1,False
2018-12-07,SAS,LAL,29:17,14,5,1,False
2018-12-09,SAS,UTA,27:34,8,2,2,False
2018-12-11,SAS,PHO,24:26,7,3,1,False
2018-12-13,SAS,LAC,19:32,11,4,4,False
2018-12-15,SAS,CHI,25:17,3,4,3,False
2018-12-17,SAS,PHI,21:11,8,3,1,False
2018-12-19,SAS,ORL,16:50,5,0,2,False
2018-12-21,SAS,MIN,22:35,6,5,3,False
2018-12-22,SAS,HOU,20:28,5,3,0,False
2018-12-26,SAS,DEN,19:42,2,3,4,False
2018-12-28,SAS,DEN,19:54,5,3,3,False
2018-12-29,SAS,LAC,19:36,9,3,1,False
2018-12-31,SAS,BOS,19:15,11,0,1,False
2019-01-03,SAS,TOR,15:14,12,2,1,False
2019-01-05,SAS,MEM,23:34,15,4,2,False
2019-01-07,SAS,DET,26:25,13,2,4,False
2019-01-09,SAS,MEM,30:37,13,3,3,False
2019-01-10,SAS,OKC,29:23,14,6,3,False
2019-01-12,SAS,OKC,15:46,4,4,2,False
2019-01-14,SAS,CHO,23:42,14,1,2,False
2019-01-16,SAS,DAL,23:33,14,4,2,False
2019-01-18,SAS,MIN,22:27,3,8,1,False
2019-01-20,SAS,LAC,18:57,6,2,3,False
2019-01-23,SAS,PHI,23:03,17,1,1,False
2019-01-26,SAS,NOP,20:50,6,5,3,False
2019-01-27,SAS,WAS,21:55,15,7,1,False
2019-01-29,SAS,PHO,26:43,12,5,4,False
2019-01-31,SAS,BRK,30:11,17,1,1,False
2019-02-02,SAS,NOP,22:24,12,2,2,False
2019-02-04,SAS,SAC,24:32,12,2,3,False
2019-02-06,SAS,GSW,17:27,16,4,2,True
2019-02-07,SAS,POR,29:12,7,8,0,False
2019-02-09,SAS,UTA,23:42,14,5,4,False
2019-02-12,SAS,MEM,27:25,22,3,1,False
2019-02-22,SAS,TOR,27:47,15,4,3,False
2019-02-24,SAS,NYK,32:41,8,4,3,False
2019-02-25,SAS,BRK,19:27,3,0,4,False
2019-02-27,SAS,DET,18:55,11,1,3,False
2019-03-02,SAS,OKC,18:28,2,1,1,False
2019-03-04,SAS,DEN,15:32,8,1,1,False
2019-03-06,SAS,ATL,21:40,12,1,2,False
2019-03-10,SAS,MIL,22:37,16,4,2,False
2019-03-12,SAS,DAL,22:03,3,3,1,False
2019-03-15,SAS,NYK,27:38,9,5,1,False
2019-03-16,SAS,POR,24:53,12,4,1,False
2019-03-18,SAS,GSW,20:10,10,1,2,False
2019-03-20,SAS,MIA,28:40,17,6,2,False
2019-03-22,SAS,HOU,15:31,8,3,0,False
2019-03-24,SAS,BOS,21:53,12,4,1,False
2019-03-26,SAS,CHO,19:00,0,3,3,False
2019-03-28,SAS,CLE,23:22,11,3,4,False
2019-03-31,SAS,SAC,22:03,5,1,3,False
2019-04-02,SAS,ATL,21:13,14,2,1,False
2019-04-03,SAS,DEN,19:44,5,0,1,False
2019-04-05,SAS,WAS,20:25,17,3,2,False
2019-04-07,SAS,CLE,21:03,14,4,1,False
2019-04-10,SAS,DAL,19:12,4,5,3,False
