Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2020-12-23,UTA,POR,30:47,20,5,3,True
2020-12-26,UTA,MIN,37:16,21,5,2,True
2020-12-28,UTA,OKC,34:47,20,5,2,True
2020-12-31,UTA,PHO,36:14,23,3,6,True
2021-01-01,UTA,LAC,35:10,15,5,4,True
2021-01-03,UTA,SAS,28:36,22,9,4,True
2021-01-05,UTA,BRK,29:51,31,4,4,True
2021-01-06,UTA,NYK,36:18,18,4,4,True
2021-01-08,UTA,MIL,32:26,32,7,5,True
2021-01-10,UTA,DET,37:14,28,3,2,True
2021-01-12,UTA,CLE,30:06,27,4,3,True
2021-01-15,UTA,ATL,29:08,26,4,3,True
2021-01-17,UTA,DEN,37:56,18,7,3,True
2021-01-19,UTA,NOP,33:24,28,4,7,True
2021-01-21,UTA,NOP,34:09,36,5,7,True
2021-01-23,UTA,GSW,27:28,23,6,7,True
2021-01-26,UTA,NYK,34:12,9,3,8,True
2021-01-27,UTA,DAL,N/A,N/A,N/A,N/A,False
2021-01-29,UTA,DAL,N/A,N/A,N/A,N/A,False
2021-01-31,UTA,DEN,31:06,13,3,1,True
2021-02-02,UTA,DET,34:37,32,1,6,True
2021-02-04,UTA,ATL,31:32,18,5,3,True
2021-02-05,UTA,CHO,33:50,30,5,3,True
2021-02-07,UTA,IND,38:28,27,11,8,True
2021-02-09,UTA,BOS,35:49,36,9,4,True
2021-02-12,UTA,MIL,37:09,26,8,6,True
2021-02-13,UTA,MIA,31:52,26,2,3,True
2021-02-15,UTA,PHI,34:48,24,5,3,True
2021-02-17,UTA,LAC,33:20,24,7,8,True
2021-02-19,UTA,LAC,34:04,35,5,4,True
2021-02-22,UTA,CHO,33:12,23,8,4,True
2021-02-24,UTA,LAL,30:38,13,8,10,True
2021-02-26,UTA,MIA,35:56,30,3,6,True
2021-02-27,UTA,ORL,35:22,31,6,4,True
2021-03-01,UTA,NOP,35:07,21,8,4,True
2021-03-03,UTA,PHI,42:19,33,6,8,True
2021-03-12,UTA,HOU,36:00,28,8,7,True
2021-03-14,UTA,GSW,35:39,24,4,0,True
2021-03-16,UTA,BOS,33:12,21,5,2,True
2021-03-18,UTA,WAS,38:34,42,6,4,True
2021-03-19,UTA,TOR,34:42,31,6,5,True
2021-03-22,UTA,CHI,29:49,30,6,6,True
2021-03-24,UTA,BRK,27:21,27,7,6,True
2021-03-26,UTA,MEM,35:41,35,6,5,True
2021-03-27,UTA,MEM,28:07,35,7,2,True
2021-03-29,UTA,CLE,24:55,19,4,2,True
2021-03-31,UTA,MEM,N/A,N/A,N/A,N/A,False
2021-04-02,UTA,CHI,36:01,26,5,3,True
2021-04-03,UTA,ORL,20:49,22,4,2,True
2021-04-05,UTA,DAL,34:58,16,4,5,True
2021-04-07,UTA,PHO,40:53,41,3,8,True
2021-04-08,UTA,POR,32:53,37,4,5,True
2021-04-10,UTA,SAC,35:02,42,4,3,True
2021-04-12,UTA,WAS,38:33,42,6,3,True
2021-04-13,UTA,OKC,33:01,22,3,4,True
2021-04-16,UTA,IND,21:07,22,2,4,True
2021-04-17,UTA,LAL,N/A,N/A,N/A,N/A,False
2021-04-19,UTA,LAL,N/A,N/A,N/A,N/A,False
2021-04-21,UTA,HOU,N/A,N/A,N/A,N/A,False
2021-04-24,UTA,MIN,N/A,N/A,N/A,N/A,False
2021-04-26,UTA,MIN,N/A,N/A,N/A,N/A,False
2021-04-28,UTA,SAC,N/A,N/A,N/A,N/A,False
2021-04-30,UTA,PHO,N/A,N/A,N/A,N/A,False
2021-05-01,UTA,TOR,N/A,N/A,N/A,N/A,False
2021-05-03,UTA,SAS,N/A,N/A,N/A,N/A,False
2021-05-05,UTA,SAS,N/A,N/A,N/A,N/A,False
2021-05-07,UTA,DEN,N/A,N/A,N/A,N/A,False
2021-05-08,UTA,HOU,N/A,N/A,N/A,N/A,False
2021-05-10,UTA,GSW,N/A,N/A,N/A,N/A,False
2021-05-12,UTA,POR,N/A,N/A,N/A,N/A,False
2021-05-14,UTA,OKC,N/A,N/A,N/A,N/A,False
2021-05-16,UTA,SAC,N/A,N/A,N/A,N/A,False
