Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2022-10-19,SAC,POR,15:42,6,3,2,False
2022-10-22,SAC,LAC,13:03,0,1,2,False
2022-10-23,SAC,GSW,28:33,16,8,7,False
2022-10-27,SAC,MEM,22:01,15,7,2,False
2022-10-29,SAC,MIA,13:31,6,2,2,False
2022-10-31,SAC,CHO,15:08,7,2,1,False
2022-11-02,SAC,MIA,22:00,19,7,0,False
2022-11-05,SAC,ORL,28:31,15,5,1,False
2022-11-07,SAC,GSW,30:35,24,4,6,False
2022-11-09,SAC,CLE,27:22,14,5,2,False
2022-11-11,SAC,LAL,20:58,8,3,1,False
2022-11-13,SAC,GSW,24:22,12,4,1,False
2022-11-15,SAC,BRK,17:21,15,6,3,False
2022-11-17,SAC,SAS,28:01,26,2,4,False
2022-11-20,SAC,DET,19:05,8,3,1,False
2022-11-22,SAC,MEM,23:25,14,4,2,False
2022-11-23,SAC,ATL,26:17,27,4,0,False
2022-11-25,SAC,BOS,22:35,9,3,2,False
2022-11-28,SAC,PHO,30:17,30,8,1,False
2022-11-30,SAC,IND,20:23,20,6,4,False
2022-12-03,SAC,LAC,16:14,13,2,0,False
2022-12-04,SAC,CHI,24:11,20,5,2,False
2022-12-07,SAC,MIL,28:32,16,1,6,False
2022-12-09,SAC,CLE,21:47,9,0,1,False
2022-12-11,SAC,NYK,22:47,12,1,4,False
2022-12-13,SAC,PHI,23:34,16,4,3,False
2022-12-14,SAC,TOR,32:34,24,3,3,False
2022-12-16,SAC,DET,26:18,11,6,2,False
2022-12-19,SAC,CHO,24:51,12,4,1,False
2022-12-21,SAC,LAL,18:13,2,6,1,False
2022-12-23,SAC,WAS,26:34,16,4,5,False
2022-12-27,SAC,DEN,26:17,8,1,2,False
2022-12-28,SAC,DEN,30:02,33,3,2,False
2022-12-30,SAC,UTA,18:51,9,5,1,False
2023-01-01,SAC,MEM,26:19,18,3,5,False
2023-01-03,SAC,UTA,15:09,2,4,1,False
2023-01-04,SAC,ATL,19:19,9,5,2,False
2023-01-07,SAC,LAL,N/A,N/A,N/A,N/A,False
2023-01-09,SAC,ORL,26:19,14,6,7,False
2023-01-11,SAC,HOU,20:40,11,3,3,False
2023-01-13,SAC,HOU,15:01,15,1,1,False
2023-01-15,SAC,SAS,14:41,2,5,2,False
2023-01-18,SAC,LAL,10:38,2,2,3,False
2023-01-20,SAC,OKC,15:40,5,5,3,False
2023-01-21,SAC,PHI,20:15,9,3,2,False
2023-01-23,SAC,MEM,23:53,13,8,9,False
2023-01-25,SAC,TOR,19:50,7,2,1,False
2023-01-28,SAC,MIN,18:53,13,3,3,False
2023-01-30,SAC,MIN,31:35,19,5,2,False
2023-02-01,SAC,SAS,32:53,22,5,3,False
2023-02-03,SAC,IND,27:58,12,5,5,False
2023-02-05,SAC,NOP,23:35,16,3,4,False
2023-02-06,SAC,HOU,22:25,20,2,1,False
2023-02-08,SAC,HOU,28:55,17,3,4,False
2023-02-10,SAC,DAL,15:04,8,4,2,False
2023-02-11,SAC,DAL,N/A,N/A,N/A,N/A,False
2023-02-14,SAC,PHO,N/A,N/A,N/A,N/A,False
2023-02-23,SAC,POR,20:45,15,2,3,False
2023-02-24,SAC,LAC,40:38,45,6,2,False
2023-02-26,SAC,OKC,20:07,12,2,3,False
2023-02-28,SAC,OKC,15:26,7,2,3,False
2023-03-03,SAC,LAC,23:14,4,8,2,False
2023-03-04,SAC,MIN,20:01,8,5,1,False
2023-03-06,SAC,NOP,12:16,11,1,1,False
2023-03-09,SAC,NYK,19:57,19,5,5,False
2023-03-11,SAC,PHO,24:58,18,5,4,False
2023-03-13,SAC,MIL,20:01,6,5,2,False
2023-03-15,SAC,CHI,23:40,19,3,4,False
2023-03-16,SAC,BRK,28:34,12,6,5,False
2023-03-18,SAC,WAS,23:23,17,6,4,False
2023-03-20,SAC,UTA,23:43,15,3,3,False
2023-03-21,SAC,BOS,17:08,6,2,1,False
2023-03-24,SAC,PHO,18:55,8,3,3,False
2023-03-25,SAC,UTA,9:46,8,1,1,False
2023-03-27,SAC,MIN,26:36,12,3,1,False
2023-03-29,SAC,POR,21:55,19,6,6,False
2023-03-31,SAC,POR,24:47,20,5,2,False
2023-04-02,SAC,SAS,N/A,N/A,N/A,N/A,False
2023-04-04,SAC,NOP,23:03,17,3,2,False
2023-04-05,SAC,DAL,23:48,13,4,5,False
2023-04-07,SAC,GSW,N/A,N/A,N/A,N/A,False
2023-04-09,SAC,DEN,17:42,4,3,0,False
