Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2019-10-23,MEM,MIA,25:09,14,4,4,True
2019-10-25,MEM,CHI,28:20,10,5,3,True
2019-10-27,MEM,BRK,32:21,30,9,4,True
2019-10-29,MEM,LAL,25:16,16,2,3,True
2019-11-02,MEM,PHO,28:43,24,7,3,True
2019-11-04,MEM,HOU,28:23,23,6,5,True
2019-11-06,MEM,MIN,25:44,26,4,4,True
2019-11-08,MEM,ORL,25:51,8,7,2,True
2019-11-09,MEM,DAL,N/A,N/A,N/A,N/A,False
2019-11-11,MEM,SAS,24:42,9,3,4,True
2019-11-13,MEM,CHO,30:03,23,11,1,True
2019-11-15,MEM,UTA,30:24,25,8,4,True
2019-11-17,MEM,DEN,21:04,13,6,2,True
2019-11-19,MEM,GSW,34:35,20,6,2,True
2019-11-23,MEM,LAL,32:38,26,6,3,True
2019-11-25,MEM,IND,30:06,19,10,2,True
2019-11-27,MEM,LAC,33:46,20,11,5,True
2019-11-29,MEM,UTA,31:02,11,4,3,True
2019-12-01,MEM,MIN,N/A,N/A,N/A,N/A,False
2019-12-02,MEM,IND,N/A,N/A,N/A,N/A,False
2019-12-04,MEM,CHI,N/A,N/A,N/A,N/A,False
2019-12-07,MEM,UTA,N/A,N/A,N/A,N/A,False
2019-12-09,MEM,GSW,29:27,26,7,2,True
2019-12-11,MEM,PHO,33:23,13,6,4,True
2019-12-13,MEM,MIL,N/A,N/A,N/A,N/A,False
2019-12-14,MEM,WAS,28:27,18,5,4,True
2019-12-16,MEM,MIA,32:11,20,10,1,True
2019-12-18,MEM,OKC,32:56,22,7,5,True
2019-12-20,MEM,CLE,28:33,8,11,5,True
2019-12-21,MEM,SAC,30:09,13,4,1,True
2019-12-23,MEM,SAS,30:25,19,4,3,True
2019-12-26,MEM,OKC,26:26,10,3,5,True
2019-12-28,MEM,DEN,30:26,16,8,3,True
2019-12-29,MEM,CHO,28:22,6,7,3,True
2020-01-02,MEM,SAC,32:37,23,7,1,True
2020-01-04,MEM,LAC,29:35,22,9,4,True
2020-01-05,MEM,PHO,27:50,13,7,3,True
2020-01-07,MEM,MIN,31:27,25,7,4,True
2020-01-10,MEM,SAS,33:35,22,14,7,True
2020-01-12,MEM,GSW,29:35,11,10,7,True
2020-01-14,MEM,HOU,36:53,26,8,5,True
2020-01-17,MEM,CLE,33:14,16,8,5,True
2020-01-20,MEM,NOP,34:34,16,9,3,True
2020-01-22,MEM,BOS,23:59,2,5,1,True
2020-01-24,MEM,DET,31:42,16,12,2,True
2020-01-26,MEM,PHO,33:53,23,8,5,True
2020-01-28,MEM,DEN,29:49,14,7,6,True
2020-01-29,MEM,NYK,27:31,18,10,3,True
2020-01-31,MEM,NOP,26:45,16,3,1,True
2020-02-03,MEM,DET,27:01,12,7,4,True
2020-02-05,MEM,DAL,30:44,21,3,1,True
2020-02-07,MEM,PHI,27:53,15,6,3,True
2020-02-09,MEM,WAS,35:00,27,10,10,True
2020-02-12,MEM,POR,32:08,20,9,5,True
2020-02-20,MEM,SAC,30:15,19,2,1,True
2020-02-21,MEM,LAL,30:31,17,3,1,True
2020-02-24,MEM,LAC,27:00,16,1,0,True
2020-02-26,MEM,HOU,28:00,12,9,3,True
2020-02-28,MEM,SAC,35:19,20,11,3,True
2020-02-29,MEM,LAL,33:37,27,14,6,True
2020-03-02,MEM,ATL,24:06,13,5,4,True
2020-03-04,MEM,BRK,28:56,15,5,7,True
2020-03-06,MEM,DAL,32:25,11,8,4,True
2020-03-07,MEM,ATL,31:20,24,6,5,True
2020-03-10,MEM,ORL,35:20,21,5,4,True
2020-07-31,MEM,POR,40:45,22,11,6,True
2020-08-02,MEM,SAS,36:36,25,9,9,True
2020-08-03,MEM,NOP,39:00,11,8,5,True
2020-08-05,MEM,UTA,37:03,20,9,6,True
2020-08-07,MEM,OKC,31:58,19,9,4,True
2020-08-09,MEM,TOR,40:59,17,10,4,True
2020-08-11,MEM,BOS,42:19,26,13,4,True
2020-08-13,MEM,MIL,34:05,12,10,13,True
