Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2021-10-20,NOP,PHI,18:09,6,2,0,False
2021-10-22,NOP,CHI,24:34,5,1,2,False
2021-10-23,NOP,MIN,21:57,6,0,5,False
2021-10-25,NOP,MIN,19:37,6,0,3,False
2021-10-27,NOP,ATL,25:52,8,0,3,False
2021-10-29,NOP,SAC,22:09,3,1,1,False
2021-10-30,NOP,NYK,18:11,7,1,1,False
2021-11-02,NOP,PHO,24:54,8,1,5,False
2021-11-03,NOP,SAC,13:59,0,3,4,False
2021-11-05,NOP,GSW,18:25,6,1,1,False
2021-11-08,NOP,DAL,10:36,0,0,1,False
2021-11-10,NOP,OKC,16:06,5,0,4,False
2021-11-12,NOP,BRK,17:52,8,1,6,False
2021-11-13,NOP,MEM,9:58,8,0,2,False
2021-11-15,NOP,WAS,8:30,3,0,3,False
2021-11-17,NOP,MIA,7:58,0,0,0,False
2021-11-19,NOP,LAC,1:11,0,0,0,False
2021-11-20,NOP,IND,20:36,8,1,6,False
2021-11-22,NOP,MIN,3:51,0,0,1,False
2021-11-24,NOP,WAS,5:26,8,0,1,False
2021-11-26,NOP,UTA,N/A,N/A,N/A,N/A,False
2021-11-27,NOP,UTA,16:16,6,0,2,False
2021-11-29,NOP,LAC,2:25,5,0,0,False
2021-12-01,NOP,DAL,17:59,5,2,2,False
2021-12-03,NOP,DAL,9:41,9,0,1,False
2021-12-05,NOP,HOU,15:29,0,0,6,False
2021-12-08,NOP,DEN,N/A,N/A,N/A,N/A,False
2021-12-10,NOP,DET,2:39,0,0,0,False
2021-12-12,NOP,SAS,4:52,2,0,0,False
2021-12-15,NOP,OKC,4:56,1,1,1,False
2021-12-17,NOP,MIL,4:06,0,2,1,False
2021-12-21,NOP,POR,13:13,0,0,1,False
2021-12-23,NOP,ORL,14:41,6,1,3,False
2021-12-26,NOP,OKC,15:15,0,2,5,False
2021-12-28,NOP,CLE,19:54,3,0,1,False
2022-01-01,NOP,MIL,2:48,2,0,0,False
2022-01-03,NOP,UTA,N/A,N/A,N/A,N/A,False
2022-01-04,NOP,PHO,N/A,N/A,N/A,N/A,False
2022-01-06,NOP,GSW,N/A,N/A,N/A,N/A,False
2022-01-09,NOP,TOR,N/A,N/A,N/A,N/A,False
2022-01-11,NOP,MIN,N/A,N/A,N/A,N/A,False
2022-01-13,NOP,LAC,2:39,1,0,4,False
2022-01-15,NOP,BRK,2:13,0,0,0,False
2022-01-17,NOP,BOS,N/A,N/A,N/A,N/A,False
2022-01-20,NOP,NYK,N/A,N/A,N/A,N/A,False
2022-01-24,NOP,IND,N/A,N/A,N/A,N/A,False
2022-01-25,NOP,PHI,N/A,N/A,N/A,N/A,False
2022-01-28,NOP,DEN,N/A,N/A,N/A,N/A,False
2022-01-29,NOP,BOS,N/A,N/A,N/A,N/A,False
2022-01-31,NOP,CLE,N/A,N/A,N/A,N/A,False
2022-02-01,NOP,DET,14:37,12,0,5,False
2022-02-04,NOP,DEN,16:43,2,0,3,False
2022-02-06,NOP,HOU,4:57,2,0,1,False
2022-02-08,NOP,HOU,18:48,9,0,2,False
2022-02-10,NOP,MIA,N/A,N/A,N/A,N/A,False
2022-02-12,NOP,SAS,N/A,N/A,N/A,N/A,False
2022-02-14,NOP,TOR,4:39,0,0,1,False
2022-02-15,NOP,MEM,N/A,N/A,N/A,N/A,False
2022-02-17,NOP,DAL,N/A,N/A,N/A,N/A,False
2022-02-25,NOP,PHO,1:51,0,0,1,False
2022-02-27,NOP,LAL,3:23,3,1,0,False
2022-03-02,NOP,SAC,2:53,3,1,0,False
2022-03-04,NOP,UTA,5:23,3,1,0,False
2022-03-06,NOP,DEN,N/A,N/A,N/A,N/A,False
2022-03-08,NOP,MEM,N/A,N/A,N/A,N/A,False
2022-03-09,NOP,ORL,23:44,4,0,4,False
2022-03-11,NOP,CHO,28:23,32,2,9,False
2022-03-13,NOP,HOU,21:14,8,2,4,False
2022-03-15,NOP,PHO,23:44,11,0,4,False
2022-03-18,NOP,SAS,17:32,7,3,2,False
2022-03-20,NOP,ATL,14:34,0,0,1,False
2022-03-21,NOP,CHO,18:11,6,3,2,False
2022-03-24,NOP,CHI,13:38,7,1,2,False
2022-03-26,NOP,SAS,12:11,3,2,1,False
2022-03-27,NOP,LAL,25:12,21,0,4,False
2022-03-30,NOP,POR,23:10,10,0,6,False
2022-04-01,NOP,LAL,14:05,0,0,2,False
2022-04-03,NOP,LAC,17:28,7,1,5,False
2022-04-05,NOP,SAC,18:41,14,0,2,False
2022-04-07,NOP,POR,17:16,12,0,2,False
2022-04-09,NOP,MEM,15:35,8,0,2,False
2022-04-10,NOP,GSW,26:45,15,1,6,True
