Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2019-10-23,DET,IND,N/A,N/A,N/A,N/A,False
2019-10-24,DET,ATL,N/A,N/A,N/A,N/A,False
2019-10-26,DET,PHI,N/A,N/A,N/A,N/A,False
2019-10-28,DET,IND,N/A,N/A,N/A,N/A,False
2019-10-30,DET,TOR,8:34,9,0,1,False
2019-11-01,DET,CHI,N/A,N/A,N/A,N/A,False
2019-11-02,DET,BRK,14:58,3,1,1,False
2019-11-04,DET,WAS,27:13,6,3,0,False
2019-11-06,DET,NYK,15:37,0,2,2,False
2019-11-08,DET,IND,16:18,7,2,2,False
2019-11-11,DET,MIN,4:49,0,0,0,False
2019-11-12,DET,MIA,5:46,6,0,3,False
2019-11-15,DET,CHO,11:50,0,0,0,False
2019-11-20,DET,CHI,14:40,3,1,0,False
2019-11-22,DET,ATL,31:56,5,4,1,False
2019-11-23,DET,MIL,18:31,6,2,1,False
2019-11-25,DET,ORL,22:11,12,0,2,False
2019-11-27,DET,CHO,12:38,3,0,1,False
2019-11-29,DET,CHO,14:33,3,2,2,False
2019-12-01,DET,SAS,22:32,13,0,2,False
2019-12-03,DET,CLE,25:56,15,4,2,False
2019-12-04,DET,MIL,27:37,6,3,1,True
2019-12-06,DET,IND,8:32,3,0,1,False
2019-12-09,DET,NOP,20:14,8,1,1,False
2019-12-12,DET,DAL,12:07,0,1,1,False
2019-12-14,DET,HOU,4:58,0,0,0,False
2019-12-16,DET,WAS,12:39,7,1,1,False
2019-12-18,DET,TOR,16:03,8,1,2,False
2019-12-20,DET,BOS,27:41,12,1,2,True
2019-12-21,DET,CHI,14:07,4,2,1,False
2019-12-23,DET,PHI,32:11,13,4,2,True
2019-12-26,DET,WAS,24:33,12,4,4,True
2019-12-28,DET,SAS,13:46,5,0,1,True
2019-12-30,DET,UTA,31:41,15,0,3,True
2020-01-02,DET,LAC,28:43,14,2,2,True
2020-01-04,DET,GSW,30:23,14,3,2,True
2020-01-05,DET,LAL,31:37,14,2,1,False
2020-01-07,DET,CLE,34:30,12,5,1,True
2020-01-09,DET,CLE,29:27,5,0,0,True
2020-01-11,DET,CHI,27:47,10,2,6,True
2020-01-13,DET,NOP,34:28,13,4,2,True
2020-01-15,DET,BOS,29:16,21,5,1,False
2020-01-18,DET,ATL,28:51,25,3,2,False
2020-01-20,DET,WAS,24:22,10,0,2,False
2020-01-22,DET,SAC,29:08,13,0,3,True
2020-01-24,DET,MEM,31:55,14,0,1,True
2020-01-25,DET,BRK,37:46,19,3,5,True
2020-01-27,DET,CLE,26:03,13,1,2,True
2020-01-29,DET,BRK,19:17,3,1,1,False
2020-01-31,DET,TOR,26:09,13,2,4,True
2020-02-02,DET,DEN,35:17,13,4,1,True
2020-02-03,DET,MEM,N/A,N/A,N/A,N/A,False
2020-02-05,DET,PHO,N/A,N/A,N/A,N/A,False
2020-02-07,DET,OKC,N/A,N/A,N/A,N/A,False
2020-02-08,DET,NYK,N/A,N/A,N/A,N/A,False
2020-02-10,DET,CHO,N/A,N/A,N/A,N/A,False
2020-02-12,DET,ORL,17:48,8,0,3,False
2020-02-20,DET,MIL,28:30,7,2,5,True
2020-02-23,DET,POR,15:24,5,2,1,True
2020-02-25,DET,DEN,17:14,6,1,0,True
2020-02-28,DET,PHO,30:19,13,4,0,True
2020-03-01,DET,SAC,38:51,14,2,6,True
2020-03-04,DET,OKC,23:34,13,4,1,True
2020-03-07,DET,UTA,23:44,3,6,5,True
2020-03-08,DET,NYK,26:20,9,5,5,True
2020-03-11,DET,PHI,24:06,16,4,2,True
