Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2020-12-23,BOS,MIL,N/A,N/A,N/A,N/A,False
2020-12-25,BOS,BRK,8:45,3,0,0,False
2020-12-27,BOS,IND,N/A,N/A,N/A,N/A,False
2020-12-29,BOS,IND,N/A,N/A,N/A,N/A,False
2020-12-30,BOS,MEM,19:49,5,1,3,False
2021-01-01,BOS,DET,N/A,N/A,N/A,N/A,False
2021-01-03,BOS,DET,N/A,N/A,N/A,N/A,False
2021-01-04,BOS,TOR,10:28,0,0,2,False
2021-01-06,BOS,MIA,N/A,N/A,N/A,N/A,False
2021-01-08,BOS,WAS,N/A,N/A,N/A,N/A,False
2021-01-15,BOS,ORL,18:27,5,2,0,False
2021-01-17,BOS,NYK,8:26,0,0,1,False
2021-01-20,BOS,PHI,N/A,N/A,N/A,N/A,False
2021-01-22,BOS,PHI,N/A,N/A,N/A,N/A,False
2021-01-24,BOS,CLE,16:39,11,1,6,False
2021-01-25,BOS,CHI,18:47,9,0,1,False
2021-01-27,BOS,SAS,5:18,0,0,1,False
2021-01-30,BOS,LAL,8:21,0,0,1,False
2021-02-02,BOS,GSW,N/A,N/A,N/A,N/A,False
2021-02-03,BOS,SAC,N/A,N/A,N/A,N/A,False
2021-02-05,BOS,LAC,N/A,N/A,N/A,N/A,False
2021-02-07,BOS,PHO,N/A,N/A,N/A,N/A,False
2021-02-09,BOS,UTA,N/A,N/A,N/A,N/A,False
2021-02-11,BOS,TOR,2:05,0,1,0,False
2021-02-12,BOS,DET,N/A,N/A,N/A,N/A,False
2021-02-14,BOS,WAS,28:39,5,0,5,False
2021-02-16,BOS,DEN,24:10,9,0,4,False
2021-02-17,BOS,ATL,21:04,2,2,6,False
2021-02-19,BOS,ATL,19:36,3,0,4,False
2021-02-21,BOS,NOP,26:35,10,0,4,False
2021-02-23,BOS,DAL,22:12,0,0,3,False
2021-02-24,BOS,ATL,14:16,13,0,3,False
2021-02-26,BOS,IND,7:06,0,0,0,False
2021-02-28,BOS,WAS,N/A,N/A,N/A,N/A,False
2021-03-02,BOS,LAC,N/A,N/A,N/A,N/A,False
2021-03-04,BOS,TOR,N/A,N/A,N/A,N/A,False
2021-03-11,BOS,BRK,N/A,N/A,N/A,N/A,False
2021-03-14,BOS,HOU,9:08,3,1,0,False
2021-03-16,BOS,UTA,N/A,N/A,N/A,N/A,False
2021-03-17,BOS,CLE,N/A,N/A,N/A,N/A,False
2021-03-19,BOS,SAC,13:56,2,0,0,False
2021-03-21,BOS,ORL,15:22,3,0,4,False
2021-03-22,BOS,MEM,17:22,5,0,5,False
2021-03-24,BOS,MIL,N/A,N/A,N/A,N/A,False
2021-03-26,BOS,MIL,13:54,0,0,1,False
2021-03-27,BOS,OKC,16:16,2,2,2,False
2021-03-29,BOS,NOP,8:09,5,0,2,False
2021-03-31,BOS,DAL,3:59,0,0,1,False
2021-04-02,BOS,HOU,3:50,3,0,0,False
2021-04-04,BOS,CHO,12:00,0,0,6,False
2021-04-06,BOS,PHI,1:43,2,0,0,False
2021-04-07,BOS,NYK,N/A,N/A,N/A,N/A,False
2021-04-09,BOS,MIN,N/A,N/A,N/A,N/A,False
2021-04-11,BOS,DEN,1:33,3,0,0,False
2021-04-13,BOS,POR,N/A,N/A,N/A,N/A,False
2021-04-15,BOS,LAL,4:26,0,0,0,False
2021-04-17,BOS,GSW,N/A,N/A,N/A,N/A,False
2021-04-19,BOS,CHI,4:22,0,1,2,False
2021-04-22,BOS,PHO,8:58,6,0,1,False
2021-04-23,BOS,BRK,16:50,5,2,8,False
2021-04-25,BOS,CHO,8:01,5,0,2,False
2021-04-27,BOS,OKC,12:27,2,0,0,False
2021-04-28,BOS,CHO,31:23,15,0,9,False
2021-04-30,BOS,SAS,30:14,16,1,6,False
2021-05-02,BOS,POR,20:02,16,0,4,False
2021-05-05,BOS,ORL,20:29,5,0,4,False
2021-05-07,BOS,CHI,12:34,4,1,5,False
2021-05-09,BOS,MIA,19:26,16,1,4,False
2021-05-11,BOS,MIA,17:30,6,2,3,False
2021-05-12,BOS,CLE,22:10,8,2,7,True
2021-05-15,BOS,MIN,22:27,9,1,4,False
2021-05-16,BOS,NYK,19:28,2,2,3,False
