Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2018-10-18,CHI,PHI,21:34,0,5,1,True
2018-10-20,CHI,DET,28:21,17,4,3,True
2018-10-22,CHI,DAL,17:42,6,2,2,False
2018-10-24,CHI,CHO,30:51,21,4,5,True
2018-10-26,CHI,CHO,23:07,15,3,1,True
2018-10-27,CHI,ATL,17:47,2,5,2,True
2018-10-29,CHI,GSW,20:05,15,1,3,True
2018-10-31,CHI,DEN,24:43,5,2,0,True
2018-11-02,CHI,IND,25:15,3,8,2,True
2018-11-03,CHI,HOU,24:38,8,3,3,True
2018-11-05,CHI,NYK,40:44,8,2,3,True
2018-11-07,CHI,NOP,14:54,4,2,0,True
2018-11-10,CHI,CLE,N/A,N/A,N/A,N/A,False
2018-11-12,CHI,DAL,N/A,N/A,N/A,N/A,False
2018-11-14,CHI,BOS,8:27,2,0,1,False
2018-11-16,CHI,MIL,3:29,2,0,0,False
2018-11-17,CHI,TOR,22:19,4,4,3,True
2018-11-21,CHI,PHO,8:01,3,1,4,False
2018-11-23,CHI,MIA,5:49,0,0,2,False
2018-11-24,CHI,MIN,6:37,0,1,0,False
2018-11-26,CHI,SAS,8:55,2,0,0,False
2018-11-28,CHI,MIL,16:34,7,2,1,False
2018-11-30,CHI,DET,25:11,8,5,6,False
2018-12-01,CHI,HOU,17:52,0,6,0,False
2018-12-04,CHI,IND,20:23,10,4,1,False
2018-12-07,CHI,OKC,11:36,5,5,1,False
2018-12-08,CHI,BOS,24:32,10,3,3,False
2018-12-10,CHI,SAC,2:08,0,0,0,False
2018-12-13,CHI,ORL,N/A,N/A,N/A,N/A,False
2018-12-15,CHI,SAS,13:10,4,1,1,False
2018-12-17,CHI,OKC,22:28,11,6,3,False
2018-12-19,CHI,BRK,19:48,4,3,1,False
2018-12-21,CHI,ORL,N/A,N/A,N/A,N/A,False
2018-12-23,CHI,CLE,N/A,N/A,N/A,N/A,False
2018-12-26,CHI,MIN,3:40,0,0,0,False
2018-12-28,CHI,WAS,N/A,N/A,N/A,N/A,False
2018-12-30,CHI,TOR,N/A,N/A,N/A,N/A,False
2019-01-02,CHI,ORL,5:29,0,1,1,False
2019-01-08,CLE,IND,22:03,10,3,2,False
2019-01-09,CLE,NOP,22:17,16,2,0,False
2019-01-11,CLE,HOU,20:41,9,5,4,False
2019-01-13,CLE,LAL,5:50,0,1,1,False
2019-01-16,CLE,POR,20:38,12,2,3,False
2019-01-18,CLE,UTA,24:12,14,3,4,False
2019-01-19,CLE,DEN,19:42,0,3,1,True
2019-01-21,CLE,CHI,25:47,11,3,4,False
2019-01-23,CLE,BOS,14:53,2,1,0,False
2019-01-25,CLE,MIA,N/A,N/A,N/A,N/A,False
